	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
Number of genes	8298	10384	9892	11141	10070
Number of genes in orthogroups	7659	9793	9405	10537	9630
Number of unassigned genes	639	591	487	604	440
Percentage of genes in orthogroups	92.3	94.3	95.1	94.6	95.6
Percentage of unassigned genes	7.7	5.7	4.9	5.4	4.4
Number of orthogroups containing species	6323	7558	7478	8081	7400
Percentage of orthogroups containing species	68.2	81.5	80.7	87.2	79.8
Number of species-specific orthogroups	71	177	65	139	155
Number of genes in species-specific orthogroups	200	492	194	675	434
Percentage of genes in species-specific orthogroups	2.4	4.7	2.0	6.1	4.3


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2947	1712	1792	1189	1870
'1	5513	6107	6375	6796	5997
'2	605	1053	802	979	1029
'3	120	252	158	177	231
'4	35	74	48	57	89
'5	14	36	40	20	20
'6	9	11	14	9	9
'7	4	2	10	10	8
'8	6	8	5	5	2
'9	5	2	4	4	6
'10	1	0	7	2	0
11-15	8	9	8	9	7
16-20	0	3	2	2	0
21-50	3	1	5	8	0
51-100	0	0	0	2	1
101-150	0	0	0	0	1
151-200	0	0	0	1	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	31.8	18.5	19.3	12.8	20.2
'1	59.5	65.9	68.8	73.3	64.7
'2	6.5	11.4	8.7	10.6	11.1
'3	1.3	2.7	1.7	1.9	2.5
'4	0.4	0.8	0.5	0.6	1.0
'5	0.2	0.4	0.4	0.2	0.2
'6	0.1	0.1	0.2	0.1	0.1
'7	0.0	0.0	0.1	0.1	0.1
'8	0.1	0.1	0.1	0.1	0.0
'9	0.1	0.0	0.0	0.0	0.1
'10	0.0	0.0	0.1	0.0	0.0
11-15	0.1	0.1	0.1	0.1	0.1
16-20	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.1	0.1	0.0
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0
'1	5513	6107	6375	6796	5997
'2	1210	2106	1604	1958	2058
'3	360	756	474	531	693
'4	140	296	192	228	356
'5	70	180	200	100	100
'6	54	66	84	54	54
'7	28	14	70	70	56
'8	48	64	40	40	16
'9	45	18	36	36	54
'10	10	0	70	20	0
11-15	103	107	100	113	85
16-20	0	58	37	37	0
21-50	78	21	123	247	0
51-100	0	0	0	118	51
101-150	0	0	0	0	110
151-200	0	0	0	189	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0
'1	66.4	58.8	64.4	61.0	59.6
'2	14.6	20.3	16.2	17.6	20.4
'3	4.3	7.3	4.8	4.8	6.9
'4	1.7	2.9	1.9	2.0	3.5
'5	0.8	1.7	2.0	0.9	1.0
'6	0.7	0.6	0.8	0.5	0.5
'7	0.3	0.1	0.7	0.6	0.6
'8	0.6	0.6	0.4	0.4	0.2
'9	0.5	0.2	0.4	0.3	0.5
'10	0.1	0.0	0.7	0.2	0.0
11-15	1.2	1.0	1.0	1.0	0.8
16-20	0.0	0.6	0.4	0.3	0.0
21-50	0.9	0.2	1.2	2.2	0.0
51-100	0.0	0.0	0.0	1.1	0.5
101-150	0.0	0.0	0.0	0.0	1.1
151-200	0.0	0.0	0.0	1.7	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0
