	oneline_A99_genome_proteins	oneline_c_sorokiniana_genome_proteins	oneline_c_variabilis_genome_proteins	oneline_c_vulgaris_genome_proteins	oneline_m_conductrix_genome_proteins
Number of genes	8298	10384	9780	11059	10070
Number of genes in orthogroups	7657	9792	9310	10457	9630
Number of unassigned genes	641	592	470	602	440
Percentage of genes in orthogroups	92.3	94.3	95.2	94.6	95.6
Percentage of unassigned genes	7.7	5.7	4.8	5.4	4.4
Number of orthogroups containing species	6320	7556	7399	8004	7398
Percentage of orthogroups containing species	68.7	82.2	80.5	87.1	80.5
Number of species-specific orthogroups	72	177	62	140	155
Number of genes in species-specific orthogroups	203	495	187	708	434
Percentage of genes in species-specific orthogroups	2.4	4.8	1.9	6.4	4.3


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2873	1637	1794	1189	1795
'1	5508	6106	6311	6724	5994
'2	605	1051	786	976	1029
'3	123	253	159	172	233
'4	36	72	51	59	88
'5	13	38	38	21	19
'6	8	11	14	9	10
'7	4	2	9	10	8
'8	6	7	5	5	2
'9	5	4	4	4	6
'10	1	0	6	2	0
11-15	8	8	9	9	7
16-20	0	3	2	2	0
21-50	3	1	5	8	0
51-100	0	0	0	2	1
101-150	0	0	0	0	1
151-200	0	0	0	1	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	31.3	17.8	19.5	12.9	19.5
'1	59.9	66.4	68.7	73.1	65.2
'2	6.6	11.4	8.5	10.6	11.2
'3	1.3	2.8	1.7	1.9	2.5
'4	0.4	0.8	0.6	0.6	1.0
'5	0.1	0.4	0.4	0.2	0.2
'6	0.1	0.1	0.2	0.1	0.1
'7	0.0	0.0	0.1	0.1	0.1
'8	0.1	0.1	0.1	0.1	0.0
'9	0.1	0.0	0.0	0.0	0.1
'10	0.0	0.0	0.1	0.0	0.0
11-15	0.1	0.1	0.1	0.1	0.1
16-20	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.1	0.1	0.0
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0
'1	5508	6106	6311	6724	5994
'2	1210	2102	1572	1952	2058
'3	369	759	477	516	699
'4	144	288	204	236	352
'5	65	190	190	105	95
'6	48	66	84	54	60
'7	28	14	63	70	56
'8	48	56	40	40	16
'9	45	36	36	36	54
'10	10	0	60	20	0
11-15	103	96	111	113	85
16-20	0	58	37	37	0
21-50	79	21	125	247	0
51-100	0	0	0	118	51
101-150	0	0	0	0	110
151-200	0	0	0	189	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0
'1	66.4	58.8	64.5	60.8	59.5
'2	14.6	20.2	16.1	17.7	20.4
'3	4.4	7.3	4.9	4.7	6.9
'4	1.7	2.8	2.1	2.1	3.5
'5	0.8	1.8	1.9	0.9	0.9
'6	0.6	0.6	0.9	0.5	0.6
'7	0.3	0.1	0.6	0.6	0.6
'8	0.6	0.5	0.4	0.4	0.2
'9	0.5	0.3	0.4	0.3	0.5
'10	0.1	0.0	0.6	0.2	0.0
11-15	1.2	0.9	1.1	1.0	0.8
16-20	0.0	0.6	0.4	0.3	0.0
21-50	1.0	0.2	1.3	2.2	0.0
51-100	0.0	0.0	0.0	1.1	0.5
101-150	0.0	0.0	0.0	0.0	1.1
151-200	0.0	0.0	0.0	1.7	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0
