	Algal (Endosymbiont) Species	Algal (Endosymbiont) Strain	Host Species	Host Strain	Taxonomic Designation of the Host	Origin	Database	rbcL	18srRNA	28S rRNA	3_rpl36-5_infA	ITS1-5.8S-ITS2	Ref
													
1	Chl_vulgaris_P_bursaria	CVG-SHT-56	Paramecium bursaria	SHT-56	R1	Tajikistan	GenBank	nd	nd	KX639563	KX639603	KX639535	Greczek-Stachura et al.2021
2	Chl_vulgaris_P_bursaria	CVG-TR54-4	Paramecium bursaria	TR54-4	R2	"Tver, Russia"	GenBank	nd	nd	KX639564	KX639604	KX639536	Greczek-Stachura et al.2021
3	Chl_vulgaris_P_bursaria	CVG-RA2-1	Paramecium bursaria	RA2-1	R2	"Altai Forelands, Russia"	GenBank	nd	nd	KX639562	KX639602	nd	Greczek-Stachura et al.2021
4	Chl_vulgaris_P_bursaria	CVG-MitR	Paramecium bursaria	MitR	R3	Japan	GenBank	nd	nd	KX639561	KX639601	KX639534	Greczek-Stachura et al.2021
5	Chl_vulgaris_P_bursaria	CVG-JR-16	Paramecium bursaria	JR-16	R3	Japan	GenBank	nd	nd	KX639560	KX639600	nd	Greczek-Stachura et al.2021
6	Chl_vulgaris_P_bursaria	CVG-HKV19-12	Paramecium bursaria	HKV19-12	R3	"Khabarovsk, Russia"	GenBank	nd	nd	KM203671	KM203663	nd	"Zagata et al., 2016"
7	Chl_vulgaris_P_bursaria	CVG-Bya129-5	Paramecium bursaria	Bya129-5	R2	"Yaroslavl, Russia"	GenBank	nd	nd	KX639559	KX639598	nd	Greczek-Stachura et al.2021
8	Chl_vulgaris_P_bursaria	CVG-BBR180-10	Paramecium bursaria	BBR180-10	R2	"Lake Baikal, Russia"	GenBank	nd	nd	KX639557	KX639596	KX639531	Greczek-Stachura et al.2021
9	Chl_vulgaris_P_bursaria	CVG-BBR178-9	Paramecium bursaria	BBR178-9	R2	"Lake Baikal, Russia"	GenBank	nd	nd	KX639556	KX639595	KX639530	Greczek-Stachura et al.2021
10	Chl_vulgaris_P_bursaria	CVG-AZ21-3	Paramecium bursaria	AZ21-3	R2	"Astrakhan Nature Reserve, Russia"	GenBank	nd	nd	KX639555	KX639594	nd	Greczek-Stachura et al.2021
11	Chl_vulgaris_P_bursaria	CVG-AZ20-1	Paramecium bursaria	AZ20-1	R5	"Astrakhan Nature Reserve, Russia"	GenBank	nd	nd	KX639554	KX639593	nd	Greczek-Stachura et al.2021
12	Chl_vulgaris_P_bursaria	CVG-AZ10-1	Paramecium bursaria	AZ10-1	R5	"Astrakhan Nature Reserve, Russia"	GenBank	nd	nd	KM203670	KM203662	KX639528	Greczek-Stachura et al.2021
13	Chl_vulgaris_P_bursaria	CVG-Yad1-g	Paramecium bursaria	Yad1-g	R3	"Yamaguchi, Japan"	GenBank	nd	nd	KX639565	KX639605	nd	Greczek-Stachura et al.2021
14	Chl_vulgaris_P_bursaria	CVG-Ard7	Paramecium bursaria	Ard7	R4	"Ardmore, USA"	GenBank	nd	nd	KX639552	KX639591	KX639526	Greczek-Stachura et al.2021
15	Chl_vulgaris_P_bursaria	CVG-AZ7-14	Paramecium bursaria	AZ7-14	R2	"Astrakhan Nature Reserve, Russia"	GenBank	nd	nd	KX639553	KX639592	KX639527	Greczek-Stachura et al.2021
16	Chl_vulgaris_P_bursaria	CVG-AB2-51	Paramecium bursaria	AB2-51	R4	"Boston, USA"	GenBank	nd	nd	KM203673	KM203661	nd	"Zagata et al., 2016"
17	Chl_vulgaris_P_bursaria	CVG-GB15-2	Paramecium bursaria	GB15-2	R2	"Lake Loch Linnhe, Scotland"	GenBank	nd	nd	KX639551	KX639599	KX639525	Greczek-Stachura et al.2021
18	Chl_vulgaris_P_bursaria	CVG-KZ-126	Paramecium bursaria	KZ-126	R2	"Kaliningrad, Russia"	GenBank	nd	nd	KM203672	KM203660	KX639533	Greczek-Stachura et al.2021
19	Chl_vulgaris_P_bursaria	CVG-BL15-3	Paramecium bursaria	BL15-3	R2	"Lake Baikal, Russia"	GenBank	nd	nd	KX639558	KX639597	KX639532	Greczek-Stachura et al.2021
20	Chl_vulgaris_P_bursaria	CVG-B4-1	Paramecium bursaria	B4-1	R1	"Volgograd, Russia"	GenBank	nd	nd	KX639546	KX639586	KX639529	Greczek-Stachura et al.2021
21	Chl_variabilis_P_bursaria	CVA-AZ8-2	Paramecium bursaria	AZ8-2	R2	"Astrakhan Nature Reserve, Russia"	GenBank	nd	nd	KX639544	KX639584	KX639520	Greczek-Stachura et al.2021
22	Chl_variabilis_P_bursaria	CVA-IP	Paramecium bursaria	IP	R3	"Pisa, Italy"	GenBank	nd	nd	KX639549	KX639589	nd	Greczek-Stachura et al.2021
23	Chl_variabilis_P_bursaria	CVA-Ard10-3	Paramecium bursaria	Ard10-3	R4	"Ardmore, USA"	GenBank	nd	nd	KM203667	KM203658	nd	"Zagata et al., 2016"
24	Chl_variabilis_P_bursaria	CVA-AZ20-4	Paramecium bursaria	AZ20-4	R2	"Astrakhan Nature Reserve, Russia"	GenBank	nd	nd	KX639545	KX639585	KX639521	Greczek-Stachura et al.2021
25	Chl_variabilis_P_bursaria	CVA-Wien4a-12	Paramecium bursaria	Wien4a-12	R1	"Wien, Austria"	GenBank	nd	nd	KX639550	KX639590	nd	Greczek-Stachura et al.2021
26	Chl_variabilis_P_bursaria	CVA-B5-7	Paramecium bursaria	B5-7	R5	"Botanical Garden in St. Petersburg, Russia"	GenBank	nd	nd	KM203669	KM203659	KX639522	Greczek-Stachura et al.2021
27	Chl_variabilis_P_bursaria	CVA-KD64	Paramecium bursaria	KD64	R2	"Kamchatka, Russia"	GenBank	nd	nd	KM203668	KM203657	nd	"Zagata et al., 2016"
28	Chl_variabilis_P_bursaria	CVA-HZ85-1	Paramecium bursaria	HZ85-1	R3	"Khanka Nature Reserve, Russia"	GenBank	nd	nd	KX639548	KX639588	KX639524	Greczek-Stachura et al.2021
29	Chl_variabilis_P_bursaria	CVA-GT-2	Paramecium bursaria	GT-2	R2	"Tübingen, Germany"	GenBank	nd	nd	KX639547	KX639587	KX639523	Greczek-Stachura et al.2021
30	Chl_sorokiniana_P_bursaria	CS-BBR51-1	Paramecium bursaria	BBR51-1	R2	"Lake Baikal, Russia"	GenBank	nd	nd	KX639542	KX639582	nd	Greczek-Stachura et al.2021
31	Chl_sorokiniana_P_bursaria	CS-Cs2	Paramecium bursaria	Cs2	R3	"Shanghai, China"	GenBank	nd	nd	KX639543	KX639583	nd	Greczek-Stachura et al.2021
32	Chl_sorokiniana_P_bursaria	CS-11 231-2	Paramecium bursaria	11 231-2	R2	"Kamchatka, Russia"	GenBank	nd	nd	KX639540	KX639580	nd	Greczek-Stachura et al.2021
33	Chl_sorokiniana_P_bursaria	CS-11 35-2	Paramecium bursaria	11 35-2	R2	"Kamchatka, Russia"	GenBank	nd	nd	KX639541	KX639581	nd	Greczek-Stachura et al.2021
34	M_conductrix_P_bursaria	MC-11 42-2	Paramecium bursaria	11 42-2	R2	"Kamchatka, Russia"	GenBank	nd	nd	KX639567	KX639574	nd	Greczek-Stachura et al.2021
35	M_conductrix_P_bursaria	MC-RN88-4	Paramecium bursaria	RN88-4	R2	"Tver, Russia"	GenBank	nd	nd	KX639570	KX639577	nd	Greczek-Stachura et al.2021
36	M_conductrix_P_bursaria	MC-4 231-1	Paramecium bursaria	4 231-1	R2	"Kamchatka, Russia"	GenBank	nd	nd	KX639566	KX639573	KX639537	Greczek-Stachura et al.2021
37	M_conductrix_P_bursaria	MC-MS-1	Paramecium bursaria	MS-1	R1	"St. Petersburg, Russia"	GenBank	nd	nd	KM203675	KM203666	KX639538	Greczek-Stachura et al.2021
38	M_conductrix_P_bursaria	MC-GB7-2	Paramecium bursaria	GB7-2	R2	"Lake Loch Linnhe, Scotland"	GenBank	nd	nd	KX639568	KX639575	nd	Greczek-Stachura et al.2021
39	M_conductrix_P_bursaria	MC-VM-14	Paramecium bursaria	VM-14	R2	"Valaam, Russia"	GenBank	nd	nd	KM203674	KM203664	nd	"Zagata et al., 2016"
40	M_conductrix_P_bursaria	MC-PMP1-3-1	Paramecium bursaria	PMP1-3-1	R1	"St. Petersburg, Russia"	GenBank	nd	nd	KX639569	KX639576	nd	Greczek-Stachura et al.2021
41	M_conductrix_P_bursaria	MC-TR54-1	Paramecium bursaria	TR54-1	R1	"Tver, Russia"	GenBank	nd	nd	KX639572	KX639579	nd	Greczek-Stachura et al.2021
42	M_conductrix_P_bursaria	MC-SRB9-1	Paramecium bursaria	SRB9-1	R2	"River Danube, Serbia"	GenBank	nd	nd	KX639571	KX639578	KX639539	Greczek-Stachura et al.2021
43	M_conductrix_P_bursaria	MC-TOS1-7	Paramecium bursaria	TOS1-7	R2	"Togliatti, Russia"	GenBank	nd	nd	KM203676	KM203665	nd	"Zagata et al., 2016"
44	M_inermum_P_bursaria	NLP-F014	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	KF597304.1	nd	nd	Unpublished data
45	Chl_sorokiniana_P_bursaria	UTEX 1665	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	KJ676113.1	nd	nd	"Rosenburg et al., 2014"
46	Micractinium sp.	KNUA029	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	KM243321.1	nd	nd	"Hong et al., 2015"
47	M_reisseri_conductrix_P_bursaria	"SW1-ZK, (SW1)"	Paramecium bursaria	nd	nd	"Black Forest, Germany"	GenBank	nd	nd	AB437256.1	nd	AB437244.1	"Hoshina et al., 2009"
48	Micractinium_sp_P_bursaria	MCWWW15	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KP204593.1	"Park et al., 2015"
49	Micractinium_sp_P_bursaria	MCWWW4	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KP204582.1	"Park et al., 2015"
50	Micractinium_sp_P_bursaria	MCWWW5	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KP204583.1	"Park et al., 2015"
51	Micractinium_sp_P_bursaria	MCWWW10	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KP204588.1	"Park et al., 2015"
52	Micractinium_sp_P_bursaria	MCWWW11	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KP204589.1	"Park et al., 2015"
53	Micractinium_sp_P_bursaria	KNUA032	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KM243324.1	"Hong et al., 2015"
54	M_reisseri_conductrix_P_bursaria	EdL_Cl1_MAF	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KF887345.1	Unpublished data
55	M_pusillum_P_bursaria	SAG 13.81	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	FM205866.1	"Luo et al., 2007"
56	Chlorella_sp_P_bursaria	CB4	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	JQ710683.1	Unpublished data
57	Chlorella_sp_P_bursaria	IFRPD	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	AB260898.1	"Hoshina et al., 2008"
58	Chl_sorokiniana_P_bursaria	KLL-G018	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KP726221.1	"Kaplan-Levy et al., 2016"
59	Chl_sorokiniana_P_bursaria	KU219	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KM061463.1	Unpublished data
60	Chl_variabilis_P_bursaria	CCAP 211/84	Paramecium bursaria	nd	R1	nd	GenBank	nd	nd	nd	nd	FN298923.1	"Proschold et al., 2011"
61	Chl_variabilis_P_bursaria	SAG 211-6	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	FM205849.1	"Luo et al., 2010"
62	Chl_variabilis_P_bursaria	EdL_Cl2_3NB	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	KF887350.1	Unpublished data
63	Chl_vulgaris_P_bursaria	DRL3	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	JX139000.1	Unpublished data
64	Coccomyxa_chodatii_P_bursaria	SAG: 216-2	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	HG972989.1	nd	nd	"Darienko et al., 2015"
65	Stigeoclonium_tenue_P_bursaria	CCAP 477/11A	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	HF920680.1	nd	nd	"Caisova et al., 2013"
66	Stigeoclonium_variabile_P_bursaria	CCAP 477/13	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	HF920679.1	nd	nd	"Caisova et al., 2013"
