0_0: scaffold16.g1.t1
0_1: scaffold16.g2.t1
0_2: scaffold16.g3.t1
0_3: scaffold16.g4.t1
0_4: scaffold16.g5.t1
0_5: scaffold16.g6.t1
0_6: scaffold16.g7.t1
0_7: scaffold16.g8.t1
0_8: scaffold16.g9.t1
0_9: scaffold16.g10.t1
0_10: scaffold16.g11.t1
0_11: scaffold16.g12.t1
0_12: scaffold16.g13.t1
0_13: scaffold16.g14.t1
0_14: scaffold16.g15.t1
0_15: scaffold16.g16.t1
0_16: scaffold16.g17.t1
0_17: scaffold16.g18.t1
0_18: scaffold16.g19.t1
0_19: scaffold16.g20.t1
0_20: scaffold16.g21.t1
0_21: scaffold16.g22.t1
0_22: scaffold16.g23.t1
0_23: scaffold16.g24.t1
0_24: scaffold16.g25.t1
0_25: scaffold16.g26.t1
0_26: scaffold16.g27.t1
0_27: scaffold16.g28.t1
0_28: scaffold16.g29.t1
0_29: scaffold16.g30.t1
0_30: scaffold16.g31.t1
0_31: scaffold16.g32.t1
0_32: scaffold16.g33.t1
0_33: scaffold16.g34.t1
0_34: scaffold16.g35.t1
0_35: scaffold16.g36.t1
0_36: scaffold16.g37.t1
0_37: scaffold16.g38.t1
0_38: scaffold16.g39.t1
0_39: scaffold16.g40.t1
0_40: scaffold16.g41.t1
0_41: scaffold16.g42.t1
0_42: scaffold16.g43.t1
0_43: scaffold16.g44.t1
0_44: scaffold16.g45.t1
0_45: scaffold16.g46.t1
0_46: scaffold16.g47.t1
0_47: scaffold16.g48.t1
0_48: scaffold16.g49.t1
0_49: scaffold16.g50.t1
0_50: scaffold16.g51.t1
0_51: scaffold16.g52.t1
0_52: scaffold16.g53.t1
0_53: scaffold16.g54.t1
0_54: scaffold16.g55.t1
0_55: scaffold16.g56.t1
0_56: scaffold16.g57.t1
0_57: scaffold16.g58.t1
0_58: scaffold16.g59.t1
0_59: scaffold16.g60.t1
0_60: scaffold16.g61.t1
0_61: scaffold16.g62.t1
0_62: scaffold16.g63.t1
0_63: scaffold16.g64.t1
0_64: scaffold16.g65.t1
0_65: scaffold16.g66.t1
0_66: scaffold16.g67.t1
0_67: scaffold16.g68.t1
0_68: scaffold16.g69.t1
0_69: scaffold16.g70.t1
0_70: scaffold16.g71.t1
0_71: scaffold16.g72.t1
0_72: scaffold16.g73.t1
0_73: scaffold16.g74.t1
0_74: scaffold16.g75.t1
0_75: scaffold16.g76.t1
0_76: scaffold16.g77.t1
0_77: scaffold16.g78.t1
0_78: scaffold16.g79.t1
0_79: scaffold16.g80.t1
0_80: scaffold16.g81.t1
0_81: scaffold16.g82.t1
0_82: scaffold16.g83.t1
0_83: scaffold16.g84.t1
0_84: scaffold16.g85.t1
0_85: scaffold16.g86.t1
0_86: scaffold16.g87.t1
0_87: scaffold16.g88.t1
0_88: scaffold16.g89.t1
0_89: scaffold16.g90.t1
0_90: scaffold16.g91.t1
