#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold3.g6383.t1   -            880 155at3041            -            596         0 1028.4  21.0   1   4  2.1e-126  1.1e-123  412.8   8.4     1   261    89   383    89   393 0.91 -
scaffold3.g6383.t1   -            880 155at3041            -            596         0 1028.4  21.0   2   4   3.2e-12   1.6e-09   35.7   0.0   243   286   447   497   431   515 0.82 -
scaffold3.g6383.t1   -            880 155at3041            -            596         0 1028.4  21.0   3   4  5.8e-173    3e-170  566.5   0.1   285   592   523   845   519   847 0.93 -
scaffold3.g6383.t1   -            880 155at3041            -            596         0 1028.4  21.0   4   4   1.9e-07   9.9e-05   19.9   1.3   571   596   844   869   834   869 0.89 -
scaffold11.g4049.t1  -            342 155at3041            -            596   1.3e-80  270.5   0.0   1   1   3.1e-83   1.6e-80  270.2   0.0   301   566    31   287    25   330 0.87 -
scaffold12.g8233.t1  -            322 155at3041            -            596   3.9e-65  219.4   0.1   1   1     2e-67     1e-64  218.0   0.1   296   576    16   305     6   311 0.87 -
scaffold3.g6222.t1   -            425 155at3041            -            596   7.9e-58  195.3   0.1   1   1   2.1e-60   1.1e-57  194.8   0.1   301   570    50   318    41   322 0.90 -
scaffold9.g3122.t1   -            299 155at3041            -            596   2.5e-56  190.3   0.0   1   1   6.2e-59   3.2e-56  189.9   0.0   295   533    25   258    14   269 0.87 -
scaffold27.g6019.t1  -            532 155at3041            -            596   9.3e-52  175.2   0.0   1   1   3.1e-54   1.6e-51  174.5   0.0   308   566   246   502   215   520 0.90 -
scaffold8.g1652.t1   -            320 155at3041            -            596   5.9e-39  133.0   0.1   1   3   2.1e-25   1.1e-22   79.2   0.0   302   400    21   113    15   121 0.94 -
scaffold8.g1652.t1   -            320 155at3041            -            596   5.9e-39  133.0   0.1   2   3   1.4e-14   7.3e-12   43.5   0.0   403   499   143   245   137   251 0.81 -
scaffold8.g1652.t1   -            320 155at3041            -            596   5.9e-39  133.0   0.1   3   3    0.0021       1.1    6.6   0.0   537   565   265   293   258   302 0.84 -
scaffold21.g2192.t1  -            496 155at3041            -            596   8.7e-28   96.1   0.0   1   2     1e-27   5.4e-25   86.8   0.0   302   451    42   196    32   201 0.85 -
scaffold21.g2192.t1  -            496 155at3041            -            596   8.7e-28   96.1   0.0   2   2    0.0017      0.91    6.8   0.0   475   529   246   295   239   349 0.67 -
scaffold18.g1912.t1  -            884 155at3041            -            596   1.2e-24   85.7   0.0   1   1     8e-25   4.2e-22   77.3   0.0   364   526    66   257    62   302 0.68 -
scaffold3.g6672.t1   -            646 155at3041            -            596   1.2e-21   75.8   4.3   1   2   7.5e-17   3.9e-14   51.0   0.9     2   188     2   210     1   249 0.80 -
scaffold3.g6672.t1   -            646 155at3041            -            596   1.2e-21   75.8   4.3   2   2   3.2e-09   1.7e-06   25.8   0.1    48   122   338   414   331   424 0.79 -
scaffold13.g351.t1   -            670 155at3041            -            596     7e-18   63.3   4.1   1   2   4.5e-08   2.3e-05   22.0   0.1    56   111   174   226   165   275 0.82 -
scaffold13.g351.t1   -            670 155at3041            -            596     7e-18   63.3   4.1   2   2   4.6e-14   2.4e-11   41.8   0.8     2   144   287   440   286   462 0.80 -
scaffold3.g6380.t1   -           2990 155at3041            -            596     5e-13   47.3   3.6   1   2   9.7e-12     5e-09   34.1   0.5    18   142   598   731   582   736 0.80 -
scaffold3.g6380.t1   -           2990 155at3041            -            596     5e-13   47.3   3.6   2   2   7.4e-06    0.0038   14.7   0.3    86   184   729   822   725   830 0.80 -
scaffold3.g6293.t1   -            450 155at3041            -            596   2.2e-06   25.4   7.6   1   2   0.00011     0.057   10.8   1.6    47   192    81   236    45   248 0.73 -
scaffold3.g6293.t1   -            450 155at3041            -            596   2.2e-06   25.4   7.6   2   2   3.4e-07   0.00018   19.1   3.3    13   190   199   350   192   425 0.43 -
scaffold8.g1554.t1   -            580 155at3041            -            596   7.4e-06   23.6   0.1   1   3   2.4e-06    0.0012   16.3   0.1    80   190   107   218    98   222 0.82 -
scaffold8.g1554.t1   -            580 155at3041            -            596   7.4e-06   23.6   0.1   2   3   0.00014     0.072   10.5   0.0    57   143   191   279   191   291 0.83 -
scaffold8.g1554.t1   -            580 155at3041            -            596   7.4e-06   23.6   0.1   3   3     0.071        37    1.5   0.0    88   117   308   335   297   371 0.67 -
scaffold1.g5453.t1   -            123 155at3041            -            596    0.0065   13.9   0.8   1   2     0.037        19    2.5   0.5    18    41    26    50    13    72 0.67 -
scaffold1.g5453.t1   -            123 155at3041            -            596    0.0065   13.9   0.8   2   2   0.00011     0.057   10.8   0.0     1    54    67   121    67   123 0.91 -
scaffold5.g817.t1    -           1341 155at3041            -            596     0.018   12.5   3.5   1   1   6.4e-05     0.033   11.6   3.5    72   233  1108  1263  1046  1282 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/155at3041.hmm
# Target file:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/a99.prot.fasta
