Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000000	KAI3427444.1, KAI3430922.1, KAI3430925.1, KAI3430919.1, KAI3430916.1, KAI3427296.1, KAI3425114.1, KAI3427282.1, KAI3430935.1, KAI3432207.1, KAI3438346.1, KAI3428385.1, KAI3423534.1, KAI3423134.1, KAI3430949.1, KAI3423713.1	XP_005844990.1
OG0000000	KAI3438347.1, KAI3429718.1, KAI3423539.1, KAI3429715.1, KAI3430961.1, KAI3432916.1, KAI3423401.1, KAI3428390.1, KAI3432851.1, KAI3425103.1, KAI3430933.1, KAI3433276.1, KAI3429716.1, KAI3423540.1, KAI3423192.1, KAI3428389.1, KAI3432911.1, KAI3428395.1, KAI3428397.1, KAI3433281.1, KAI3425104.1, KAI3438350.1, KAI3432915.1, KAI3430964.1, KAI3424479.1, KAI3432923.1, KAI3434587.1, KAI3430912.1, KAI3432925.1, KAI3430965.1, KAI3438348.1, KAI3432903.1, KAI3432900.1, KAI3435607.1, KAI3435608.1, KAI3432928.1, KAI3432942.1, KAI3432935.1, KAI3438369.1, KAI3423402.1, KAI3425105.1, KAI3432899.1, KAI3428843.1, KAI3438368.1, KAI3428848.1, KAI3430927.1, KAI3428392.1, KAI3432938.1, KAI3428847.1, KAI3428846.1, KAI3432945.1, KAI3432908.1, KAI3428852.1, KAI3432895.1, KAI3427447.1, KAI3433277.1, KAI3433283.1, KAI3438366.1, KAI3427285.1, KAI3438356.1, KAI3434589.1, KAI3423536.1, KAI3430956.1, KAI3426514.1, KAI3424488.1, KAI3430944.1, KAI3438344.1, KAI3430958.1, KAI3438371.1, KAI3430938.1, KAI3428845.1, KAI3428851.1, KAI3430942.1, KAI3432931.1, KAI3430914.1, KAI3423133.1, KAI3430951.1, KAI3432934.1, KAI3432898.1, KAI3430939.1, KAI3426513.1, KAI3423191.1, KAI3425108.1, KAI3423397.1, KAI3430968.1, KAI3427449.1, KAI3429717.1, KAI3438343.1, KAI3435611.1, KAI3435610.1, KAI3432924.1, KAI3432913.1, KAI3432922.1, KAI3430962.1, KAI3430963.1, KAI3424487.1, KAI3424486.1, KAI3424482.1, KAI3423292.1, KAI3430931.1, KAI3430950.1, KAI3428387.1, KAI3430948.1, KAI3425116.1, KAI3423542.1, KAI3423712.1, KAI3428402.1, KAI3428386.1, KAI3423289.1, KAI3427297.1, KAI3425111.1, KAI3425109.1, KAI3435609.1, KAI3425113.1, KAI3425115.1, KAI3432896.1, KAI3432904.1, KAI3425110.1, KAI3423189.1, KAI3424480.1, KAI3424483.1, KAI3423132.1, KAI3428391.1, KAI3433275.1, KAI3433279.1, KAI3438353.1, KAI3432907.1, KAI3430920.1, KAI3433272.1, KAI3430946.1, KAI3430926.1, KAI3430923.1, KAI3430917.1, KAI3434584.1, KAI3432917.1, KAI3432912.1, KAI3432921.1, KAI3432919.1, KAI3424484.1, KAI3423711.1, KAI3423538.1, KAI3423537.1, KAI3434588.1, KAI3430909.1, KAI3432910.1, KAI3430955.1, KAI3430930.1, KAI3433278.1, KAI3430945.1, KAI3435613.1, KAI3430953.1, KAI3438360.1, KAI3428394.1, KAI3433273.1, KAI3428396.1, KAI3428849.1, KAI3428398.1, KAI3430911.1, KAI3432937.1, KAI3434586.1, KAI3434585.1, KAI3432918.1, KAI3423398.1, KAI3425107.1, KAI3423399.1, KAI3427290.1, KAI3427284.1, KAI3423135.1, KAI3432927.1, KAI3432941.1, KAI3427295.1, KAI3427289.1, KAI3432902.1	XP_005844991.1
OG0000001	KAI3423840.1	XP_005846747.1
OG0000002	KAI3438365.1, KAI3438359.1, KAI3430967.1, KAI3438363.1, KAI3428844.1	XP_005849439.1, XP_005843843.1, XP_005849438.1
OG0000002	KAI3430872.1	XP_005848587.1
OG0000004	KAI3424373.1, KAI3424430.1, KAI3433953.1	XP_005843639.1
OG0000004	KAI3424398.1	XP_005847291.1
OG0000004	KAI3428574.1	XP_005847128.1
OG0000005	KAI3425720.1	XP_005847535.1
OG0000005	KAI3425719.1	XP_005847536.1
OG0000005	KAI3428490.1	XP_005847493.1
OG0000005	KAI3427342.1	XP_005843205.1, XP_005843106.1, XP_005848610.1, XP_005845704.1, XP_005848611.1, XP_005845995.1, XP_005845997.1, XP_005851910.1, XP_005848072.1, XP_005848395.1, XP_005844574.1, XP_005843211.1
OG0000005	KAI3425961.1	XP_005847828.1
OG0000005	KAI3430255.1	XP_005844631.1, XP_005844632.1
OG0000006	KAI3429597.1	XP_005852170.1
OG0000006	KAI3427071.1	XP_005848689.1
OG0000006	KAI3424383.1, KAI3424432.1, KAI3424402.1, KAI3424410.1, KAI3424375.1, KAI3428571.1, KAI3428592.1, KAI3424353.1	XP_005843638.1, XP_005843647.1
OG0000008	KAI3433958.1, KAI3424386.1	XP_005847450.1, XP_005846938.1
OG0000008	KAI3424372.1, KAI3427072.1, KAI3424396.1, KAI3424356.1, KAI3424431.1, KAI3424413.1, KAI3424399.1	XP_005843707.1
OG0000009	KAI3429596.1	XP_005843694.1
OG0000009	KAI3428591.1, KAI3428572.1, KAI3424401.1, KAI3424382.1, KAI3424433.1, KAI3424411.1, KAI3424376.1, KAI3424352.1	XP_005843706.1, XP_005843643.1, XP_005846939.1, XP_005843134.1, XP_005843124.1
OG0000010	KAI3437643.1	XP_005847434.1, XP_005847441.1, XP_005847999.1
OG0000010	KAI3433380.1	XP_005851305.1
OG0000010	KAI3428291.1	XP_005850407.1
OG0000010	KAI3428290.1	XP_005850406.1
OG0000010	KAI3436557.1	XP_005850707.1
OG0000010	KAI3428300.1	XP_005850412.1
