Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0000001	PSC70961.1, PSC70962.1	KAI3426450.1
OG0000002	PSC69335.1, PSC67096.1	KAI3438365.1, KAI3438359.1, KAI3430967.1, KAI3438363.1, KAI3428844.1, KAI3430872.1
OG0000002	PSC67053.1, PSC67043.1, PSC67111.1, PSC67031.1, PSC67067.1, PSC67594.1, PSC67073.1, PSC67021.1, PSC67037.1, PSC67027.1, PSC76941.1	KAI3435604.1
OG0000002	PSC68659.1, PSC69379.1, PSC67600.1, PSC69326.1, PSC67744.1, PSC67759.1, PSC68713.1, PSC75096.1, PSC76225.1, PSC76226.1, PSC67713.1, PSC67207.1, PSC68653.1, PSC74416.1, PSC67044.1, PSC74555.1, PSC67725.1, PSC67019.1, PSC74768.1, PSC67580.1, PSC67599.1, PSC67063.1, PSC69623.1, PSC67710.1, PSC68225.1, PSC76734.1, PSC73936.1, PSC67030.1, PSC67709.1, PSC67010.1, PSC67032.1, PSC67003.1, PSC67636.1, PSC75692.1, PSC68535.1, PSC75691.1	KAI3438361.1, KAI3438364.1, KAI3438358.1, KAI3434581.1, KAI3434582.1, KAI3434580.1, KAI3430928.1, KAI3435605.1, KAI3435603.1, KAI3435602.1, KAI3435599.1, KAI3427445.1, KAI3438367.1, KAI3427446.1, KAI3430959.1, KAI3430960.1, KAI3427280.1, KAI3438357.1, KAI3435601.1, KAI3435600.1, KAI3438349.1, KAI3438362.1, KAI3430966.1
OG0000004	PSC71170.1, PSC71135.1	KAI3424373.1
OG0000004	PSC72203.1	KAI3424430.1
OG0000004	PSC72335.1	KAI3428589.1
OG0000004	PSC72265.1, PSC68334.1	KAI3424398.1
OG0000004	PSC72122.1	KAI3424385.1
OG0000004	PSC68361.1	KAI3439016.1
OG0000004	PSC72176.1	KAI3424397.1
OG0000005	PSC74168.1	KAI3427397.1
OG0000005	PSC74167.1	KAI3428490.1
OG0000005	PSC70242.1	KAI3425961.1
OG0000006	PSC69436.1	KAI3429597.1
OG0000006	PSC68329.1, PSC71227.1, PSC68321.1, PSC71167.1, PSC72168.1, PSC72098.1, PSC72080.1, PSC72071.1, PSC72210.1	KAI3424383.1, KAI3424432.1, KAI3424402.1, KAI3424410.1, KAI3424375.1, KAI3428571.1, KAI3428592.1, KAI3424353.1
OG0000008	PSC71213.1	KAI3433958.1, KAI3424386.1
OG0000008	PSC72279.1	KAI3424431.1
OG0000008	PSC71092.1	KAI3424413.1
OG0000008	PSC74522.1, PSC72060.1	KAI3428590.1
OG0000009	PSC72315.1, PSC72134.1, PSC71283.1, PSC68331.1, PSC68365.1, PSC72107.1, PSC72154.1, PSC71158.1, PSC71210.1, PSC72316.1, PSC72209.1, PSC75933.1, PSC73921.1	KAI3429596.1, KAI3428591.1, KAI3428572.1, KAI3424401.1, KAI3424382.1, KAI3424433.1, KAI3424411.1, KAI3424376.1, KAI3424352.1
OG0000010	PSC71318.1, PSC76891.1	KAI3437643.1
OG0000010	PSC68096.1, PSC75343.1	KAI3428291.1, KAI3430755.1, KAI3428290.1
OG0000010	PSC72894.1, PSC72893.1	KAI3436557.1
OG0000010	PSC73416.1, PSC75050.1	KAI3430596.1
OG0000010	PSC68081.1	KAI3428300.1
OG0000011	PSC67610.1, PSC73305.1, PSC73306.1	KAI3424438.1, KAI3424442.1, KAI3424422.1, KAI3424461.1, KAI3424462.1
OG0000015	PSC73546.1	KAI3429881.1, KAI3428157.1, KAI3432743.1
OG0000015	PSC73768.1	KAI3432746.1, KAI3431754.1
