Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000001	PRW32527.1	XP_005846747.1
OG0000002	PRW61031.1, PRW58690.1	XP_005849439.1, XP_005843843.1, XP_005849438.1
OG0000002	PRW60221.1	XP_005842730.1, XP_005842564.1
OG0000004	PRW32911.1, PRW32917.1	XP_005843639.1
OG0000004	PRW59210.1	XP_005843780.1
OG0000004	PRW60518.1	XP_005850420.1
OG0000004	PRW57192.1	XP_005843099.1
OG0000004	PRW57428.1	XP_005852293.1
OG0000005	PRW57695.1	XP_005847535.1
OG0000005	PRW57831.1	XP_005847536.1
OG0000005	PRW57849.1	XP_005844803.1, XP_005845485.1, XP_005846952.1
OG0000005	PRW44271.1	XP_005847493.1
OG0000005	PRW32834.1	XP_005843205.1
OG0000005	PRW33300.1	XP_005848611.1
OG0000005	PRW50860.1, PRW05806.1, PRW44563.1, PRW57024.1, PRW60541.1, PRW51177.1, PRW39272.1	XP_005845995.1, XP_005845997.1, XP_005851910.1, XP_005848072.1
OG0000005	PRW33991.1	XP_005847828.1
OG0000005	PRW60877.1	XP_005847121.1
OG0000006	PRW50900.1	XP_005848689.1
OG0000006	PRW33066.1	XP_005847129.1
OG0000006	PRW57021.1	XP_005843702.1
OG0000006	PRW57065.1	XP_005843094.1
OG0000006	PRW32926.1	XP_005843638.1, XP_005843647.1
OG0000008	PRW32851.1	XP_005847450.1, XP_005846938.1
OG0000008	PRW57167.1, PRW57363.1, PRW57296.1, PRW32932.1, PRW32923.1, PRW57495.1	XP_005843707.1
OG0000009	PRW56936.1, PRW32997.1, PRW57308.1, PRW56937.1, PRW33046.1, PRW33072.1, PRW56968.1, PRW57408.1, PRW32979.1, PRW20324.1, PRW33081.1, PRW57429.1, PRW57107.1, PRW60378.1	XP_005843694.1, XP_005843706.1, XP_005843643.1, XP_005846939.1, XP_005843134.1, XP_005843124.1
OG0000010	PRW60753.1	XP_005847434.1
OG0000010	PRW59695.1	XP_005847441.1
OG0000010	PRW58582.1	XP_005851305.1
OG0000010	PRW56397.1	XP_005850407.1
OG0000010	PRW45268.1, PRW45267.1	XP_005850412.1
OG0000011	PRW44256.1	XP_005843132.1, XP_005843130.1, XP_005843129.1, XP_005843699.1, XP_005843126.1, XP_005843646.1, XP_005843131.1, XP_005843709.1, XP_005843650.1, XP_005843644.1, XP_005843649.1
OG0000011	PRW58506.1	XP_005843098.1, XP_005843637.1
OG0000011	PRW56453.1	XP_005842597.1
OG0000015	PRW45638.1	XP_005850561.1
OG0000015	PRW33966.1	XP_005852287.1, XP_005847070.1, XP_005847472.1, XP_005850922.1, XP_005846738.1, XP_005850346.1
OG0000015	PRW57245.1	XP_005843588.1, XP_005847339.1
OG0000015	PRW59527.1	XP_005847753.1, XP_005847071.1
OG0000015	PRW58153.1, PRW57045.1	XP_005850273.1
OG0000016	PRW05921.1, PRW05902.1, PRW05910.1	XP_005843185.1, XP_005843183.1
OG0000019	PRW32912.1	XP_005843396.1
OG0000019	PRW44257.1	XP_005845649.1
OG0000019	PRW50812.1	XP_005847661.1, XP_005842724.1, XP_005846610.1, XP_005847755.1, XP_005845630.1, XP_005851528.1, XP_005846203.1, XP_005852300.1, XP_005851426.1, XP_005842989.1, XP_005845234.1, XP_005851404.1, XP_005848389.1, XP_005847915.1, XP_005850151.1, XP_005845970.1, XP_005851650.1, XP_005849864.1, XP_005846352.1, XP_005845506.1, XP_005850394.1, XP_005848688.1
OG0000020	PRW56662.1, PRW45161.1, PRW58101.1, PRW57589.1, PRW58358.1, PRW39187.1	XP_005848711.1
OG0000020	PRW21076.1, PRW60147.1	XP_005844722.1, XP_005844773.1
OG0000020	PRW56827.1, PRW33756.1, PRW59495.1, PRW60463.1, PRW60340.1, PRW60239.1, PRW20904.1, PRW20905.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1	XP_005843490.1
OG0000021	PRW33522.1	XP_005845820.1
OG0000021	PRW33901.1	XP_005851655.1
OG0000021	PRW21099.1	XP_005844589.1
OG0000021	PRW39362.1	XP_005846125.1
OG0000021	PRW21126.1	XP_005844764.1
OG0000022	PRW21073.1	XP_005844756.1
OG0000023	PRW20503.1	XP_005844521.1
OG0000023	PRW45379.1, PRW45644.1, PRW55998.1	XP_005844034.1, XP_005843727.1
OG0000024	PRW21009.1, PRW20986.1, PRW21137.1, PRW21050.1, PRW20972.1, PRW20977.1, PRW45511.1	XP_005843051.1
OG0000024	PRW56545.1, PRW33266.1	XP_005852085.1
OG0000024	PRW32643.1	XP_005843060.1, XP_005843085.1, XP_005843086.1, XP_005843055.1, XP_005846817.1, XP_005843056.1, XP_005843054.1, XP_005843058.1
OG0000025	PRW61474.1	XP_005845715.1
OG0000025	PRW58220.1	XP_005851635.1
OG0000025	PRW33672.1	XP_005845876.1
OG0000025	PRW33669.1	XP_005842791.1
OG0000026	PRW45604.1, PRW45530.1, PRW57488.1, PRW45427.1, PRW45707.1, PRW56577.1, PRW56392.1, PRW45737.1, PRW21008.1	XP_005851991.1, XP_005850391.1, XP_005849172.1
OG0000028	PRW57555.1	XP_005851663.1, XP_005845589.1, XP_005845031.1
OG0000029	PRW50752.1	XP_005842615.1, XP_005850762.1, XP_005845519.1, XP_005850528.1, XP_005843458.1, XP_005843447.1, XP_005842754.1, XP_005851042.1, XP_005847720.1, XP_005844673.1, XP_005846096.1, XP_005852046.1, XP_005846333.1, XP_005848398.1, XP_005850440.1, XP_005842673.1, XP_005842981.1, XP_005849107.1, XP_005844546.1, XP_005849189.1, XP_005843419.1, XP_005843452.1, XP_005849016.1
OG0000031	PRW58127.1	XP_005851069.1
OG0000031	PRW20327.1, PRW20328.1, PRW61549.1, PRW44907.1, PRW44910.1, PRW45179.1	XP_005848479.1
OG0000031	PRW20326.1	XP_005843734.1
OG0000031	PRW51017.1, PRW51016.1, PRW51015.1	XP_005848732.1
OG0000032	PRW44420.1	XP_005847288.1
OG0000033	PRW60879.1	XP_005845648.1
OG0000033	PRW61198.1, PRW61339.1	XP_005845612.1, XP_005845710.1
OG0000033	PRW33008.1	XP_005843386.1
OG0000034	PRW56247.1	XP_005848147.1, XP_005851799.1, XP_005852139.1
OG0000034	PRW56123.1	XP_005851040.1
OG0000034	PRW58679.1, PRW33721.1	XP_005848978.1
OG0000035	PRW45736.1	XP_005851083.1, XP_005844670.1, XP_005845033.1
OG0000035	PRW58414.1, PRW58712.1	XP_005843209.1, XP_005844674.1, XP_005843074.1, XP_005852310.1, XP_005851377.1, XP_005851084.1, XP_005851085.1, XP_005851383.1, XP_005845797.1, XP_005844128.1, XP_005842747.1
OG0000036	PRW57195.1	XP_005846961.1
OG0000037	PRW32494.1	XP_005843088.1
OG0000037	PRW60763.1, PRW58370.1	XP_005851603.1
OG0000037	PRW32855.1, PRW32856.1	XP_005844000.1, XP_005844092.1
OG0000037	PRW32837.1, PRW33070.1, PRW60633.1	XP_005846442.1
OG0000038	PRW56954.1	XP_005847883.1
OG0000038	PRW55946.1	XP_005850876.1
OG0000038	PRW59662.1, PRW60004.1	XP_005843698.1
OG0000038	PRW32927.1	XP_005844472.1
OG0000040	PRW20764.1	XP_005843853.1
OG0000041	PRW57373.1, PRW59763.1, PRW32946.1	XP_005849058.1
OG0000041	PRW56085.1, PRW57256.1, PRW57466.1, PRW59858.1, PRW58322.1, PRW58189.1, PRW44441.1, PRW20716.1, PRW33960.1, PRW33961.1, PRW33854.1, PRW33843.1, PRW33771.1, PRW34070.1	XP_005847858.1
OG0000044	PRW56763.1	XP_005850306.1, XP_005847647.1, XP_005844214.1, XP_005843524.1, XP_005843312.1, XP_005843034.1, XP_005847924.1, XP_005847157.1, XP_005843495.1, XP_005847646.1, XP_005850305.1
OG0000045	PRW20580.1	XP_005844605.1
OG0000045	PRW20481.1, PRW20571.1	XP_005844599.1, XP_005844510.1, XP_005843816.1, XP_005844507.1
OG0000046	PRW39252.1, PRW57942.1, PRW39310.1, PRW57548.1	XP_005845628.1
OG0000047	PRW39118.1, PRW39120.1, PRW33060.1	XP_005843302.1, XP_005842868.1
OG0000047	PRW59309.1	XP_005849706.1
OG0000048	PRW61544.1	XP_005846468.1
OG0000048	PRW61445.1	XP_005851399.1, XP_005846189.1, XP_005848073.1
OG0000049	PRW57986.1	XP_005849431.1
OG0000049	PRW58266.1	XP_005851100.1
OG0000049	PRW57724.1, PRW57916.1	XP_005849436.1
OG0000051	PRW58244.1	XP_005842772.1
OG0000051	PRW45026.1	XP_005848471.1
OG0000052	PRW57359.1	XP_005847912.1
OG0000053	PRW20392.1	XP_005845524.1
OG0000053	PRW33245.1	XP_005849094.1
OG0000053	PRW32665.1	XP_005843048.1
OG0000053	PRW33726.1	XP_005845925.1, XP_005845811.1
OG0000054	PRW61460.1	XP_005844281.1
OG0000054	PRW45171.1	XP_005844197.1, XP_005844276.1
OG0000055	PRW60703.1, PRW60808.1, PRW33630.1	XP_005845298.1, XP_005851756.1, XP_005845426.1
OG0000055	PRW60778.1	XP_005851822.1
OG0000055	PRW58352.1	XP_005851238.1
OG0000056	PRW59185.1, PRW59186.1	XP_005849913.1
OG0000056	PRW59067.1, PRW59066.1	XP_005849659.1
OG0000056	PRW32982.1	XP_005842682.1, XP_005845536.1
OG0000057	PRW56437.1	XP_005850996.1, XP_005842654.1, XP_005850995.1, XP_005842566.1
OG0000057	PRW61362.1	XP_005848445.1, XP_005851827.1
OG0000057	PRW59693.1	XP_005847290.1
OG0000057	PRW55899.1	XP_005850969.1
OG0000058	PRW59456.1, PRW59590.1	XP_005844489.1
OG0000059	PRW20365.1	XP_005845679.1
OG0000059	PRW61311.1	XP_005842866.1
OG0000059	PRW61163.1	XP_005845678.1
OG0000060	PRW33684.1, PRW33683.1, PRW33686.1, PRW33685.1	XP_005845787.1
OG0000061	PRW56960.1	XP_005847147.1
OG0000061	PRW51027.1	XP_005848612.1
OG0000061	PRW50777.1	XP_005848615.1
OG0000062	PRW20949.1, PRW20948.1	XP_005848139.1
OG0000062	PRW05920.1	XP_005843178.1
OG0000063	PRW57845.1	XP_005849369.1, XP_005849368.1
OG0000064	PRW57163.1	XP_005846850.1
OG0000064	PRW61338.1	XP_005843039.1
OG0000064	PRW20516.1, PRW20517.1, PRW20515.1	XP_005844636.1
OG0000066	PRW45119.1, PRW45120.1	XP_005849869.1, XP_005849132.1
OG0000066	PRW21122.1	XP_005847799.1
OG0000067	PRW60576.1, PRW60610.1	XP_005845719.1
OG0000068	PRW61055.1	XP_005845574.1
OG0000068	PRW56902.1	XP_005847020.1
OG0000068	PRW60626.1	XP_005852257.1
OG0000069	PRW32903.1	XP_005848368.1
OG0000070	PRW56858.1	XP_005846185.1, XP_005846700.1, XP_005850114.1, XP_005848083.1, XP_005847718.1
OG0000071	PRW33563.1, PRW33647.1, PRW33318.1	XP_005851773.1, XP_005846604.1, XP_005845814.1, XP_005845923.1, XP_005845813.1
OG0000071	PRW45249.1	XP_005848573.1
OG0000072	PRW50814.1	XP_005848674.1, XP_005848864.1
OG0000074	PRW58909.1	XP_005849558.1, XP_005849557.1
OG0000074	PRW59171.1, PRW59170.1	XP_005849559.1
OG0000076	PRW56243.1	XP_005846653.1
OG0000076	PRW45688.1, PRW45623.1, PRW45411.1	XP_005849210.1
OG0000077	PRW34034.1	XP_005849036.1, XP_005848325.1, XP_005842817.1, XP_005848326.1, XP_005842829.1
OG0000078	PRW60156.1, PRW59318.1	XP_005845996.1, XP_005846024.1, XP_005844837.1, XP_005849400.1
OG0000078	PRW20340.1	XP_005851748.1, XP_005843728.1, XP_005843668.1
OG0000079	PRW60776.1	XP_005851900.1
OG0000079	PRW20382.1	XP_005845447.1
OG0000080	PRW20711.1	XP_005843875.1, XP_005843881.1, XP_005843878.1, XP_005843877.1, XP_005847911.1, XP_005843883.1, XP_005843876.1, XP_005843879.1, XP_005843880.1, XP_005843882.1
OG0000081	PRW32664.1	XP_005844060.1
OG0000082	PRW32675.1	XP_005842793.1
OG0000083	PRW44448.1	XP_005847588.1
OG0000083	PRW59521.1	XP_005851060.1, XP_005845053.1, XP_005845052.1
OG0000084	PRW60725.1	XP_005843640.1
OG0000086	PRW20409.1, PRW20329.1	XP_005842827.1, XP_005843674.1
OG0000088	PRW58939.1	XP_005849744.1
OG0000088	PRW61361.1	XP_005842704.1
OG0000089	PRW57105.1, PRW57106.1	XP_005848082.1
OG0000089	PRW57374.1	XP_005847936.1
OG0000090	PRW56509.1	XP_005850232.1
OG0000090	PRW44975.1	XP_005848340.1
OG0000090	PRW56613.1	XP_005850135.1
OG0000091	PRW45711.1	XP_005843076.1
OG0000092	PRW60803.1	XP_005851990.1
