Orthogroup	c_sorokiniana_genome_proteins	c_vulgaris_genome_proteins
OG0000001	PRW32527.1	KAI3423840.1
OG0000001	PRW44897.1	KAI3426450.1
OG0000002	PRW61031.1, PRW58690.1	KAI3438359.1, KAI3438365.1, KAI3438363.1, KAI3430967.1, KAI3428844.1
OG0000002	PRW61567.1, PRW61566.1	KAI3438358.1, KAI3438361.1, KAI3438364.1, KAI3434581.1, KAI3434580.1, KAI3434582.1, KAI3430928.1, KAI3435605.1, KAI3435603.1, KAI3435602.1, KAI3435599.1, KAI3438367.1, KAI3427445.1, KAI3427446.1, KAI3430959.1, KAI3430960.1, KAI3427280.1, KAI3438357.1, KAI3435601.1, KAI3435600.1, KAI3438362.1, KAI3438349.1, KAI3430966.1
OG0000004	PRW57428.1, PRW57192.1, PRW57380.1	KAI3424414.1, KAI3424355.1, KAI3433953.1
OG0000004	PRW57150.1	KAI3428589.1
OG0000004	PRW33058.1	KAI3439016.1
OG0000004	PRW32911.1	KAI3433957.1
OG0000005	PRW44271.1	KAI3428490.1
OG0000005	PRW32834.1	KAI3427397.1
OG0000005	PRW33991.1	KAI3425961.1
OG0000005	PRW57831.1	KAI3425719.1
OG0000005	PRW57695.1	KAI3425720.1
OG0000006	PRW32926.1	KAI3424402.1, KAI3424353.1, KAI3428592.1, KAI3424383.1, KAI3428571.1, KAI3424410.1, KAI3424375.1, KAI3424432.1
OG0000006	PRW50900.1	KAI3427071.1
OG0000008	PRW57429.1, PRW56937.1, PRW57408.1, PRW33072.1, PRW20324.1, PRW57308.1, PRW56936.1, PRW33046.1, PRW56968.1, PRW33081.1, PRW32997.1, PRW32979.1, PRW57107.1, PRW60378.1	KAI3429596.1, KAI3424411.1, KAI3424352.1, KAI3424376.1, KAI3424433.1, KAI3424382.1, KAI3424401.1, KAI3428591.1, KAI3428572.1
OG0000009	PRW57167.1	KAI3424372.1
OG0000009	PRW32923.1, PRW33013.1	KAI3424386.1
OG0000009	PRW57495.1	KAI3424356.1
OG0000009	PRW57363.1	KAI3424399.1
OG0000009	PRW57296.1	KAI3433958.1
OG0000010	PRW56397.1	KAI3428291.1
OG0000010	PRW58582.1	KAI3433380.1
OG0000010	PRW60753.1, PRW59695.1	KAI3437643.1
OG0000010	PRW45267.1, PRW45268.1	KAI3430596.1, KAI3428300.1
OG0000011	PRW44256.1, PRW58506.1	KAI3424462.1, KAI3424461.1, KAI3424422.1, KAI3424438.1, KAI3424442.1
OG0000015	PRW59527.1	KAI3432746.1
OG0000015	PRW58153.1, PRW57045.1	KAI3431754.1
OG0000015	PRW33966.1	KAI3429881.1, KAI3428157.1, KAI3432743.1
OG0000016	PRW05921.1, PRW05910.1, PRW05902.1	KAI3427391.1, KAI3427390.1, KAI3427416.1, KAI3427424.1, KAI3427388.1, KAI3427385.1, KAI3427396.1, KAI3427395.1, KAI3427378.1, KAI3427386.1, KAI3427405.1, KAI3427409.1, KAI3427406.1, KAI3427403.1, KAI3427399.1, KAI3427398.1, KAI3427400.1, KAI3427402.1, KAI3427404.1, KAI3427414.1, KAI3427407.1, KAI3427387.1, KAI3427377.1, KAI3427413.1, KAI3427438.1, KAI3427420.1, KAI3427418.1, KAI3427408.1
OG0000019	PRW44257.1	KAI3424157.1
OG0000019	PRW50812.1	KAI3427076.1
OG0000020	PRW20905.1, PRW20904.1, PRW60463.1, PRW60340.1, PRW60239.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1	KAI3433853.1, KAI3433943.1
OG0000021	PRW21126.1	KAI3430778.1
OG0000021	PRW21099.1	KAI3430353.1
OG0000021	PRW33522.1	KAI3425130.1
OG0000022	PRW56545.1, PRW33266.1, PRW32643.1	KAI3423982.1
OG0000022	PRW58888.1	KAI3424283.1
OG0000023	PRW21073.1	KAI3430771.1
OG0000024	PRW20503.1	KAI3437552.1
OG0000024	PRW45644.1, PRW45379.1	KAI3424143.1
OG0000025	PRW45427.1, PRW45604.1, PRW45530.1, PRW57488.1, PRW45737.1, PRW56392.1, PRW56577.1, PRW45707.1, PRW21008.1	KAI3428261.1, KAI3428260.1
OG0000027	PRW57555.1	KAI3436420.1, KAI3434613.1, KAI3436821.1, KAI3436464.1, KAI3426877.1, KAI3436439.1, KAI3436496.1, KAI3436443.1, KAI3434665.1, KAI3434659.1, KAI3434653.1, KAI3434621.1, KAI3434629.1, KAI3433499.1, KAI3433501.1, KAI3433479.1, KAI3433468.1, KAI3433467.1, KAI3433481.1, KAI3433353.1, KAI3433459.1
OG0000028	PRW50752.1	KAI3434646.1, KAI3426836.1
OG0000030	PRW51015.1, PRW51016.1, PRW51017.1	KAI3426981.1
OG0000030	PRW58127.1	KAI3433912.1
OG0000030	PRW20327.1, PRW20328.1, PRW61549.1, PRW44907.1, PRW44910.1, PRW45179.1	KAI3426283.1
OG0000030	PRW20326.1	KAI3424311.1
OG0000031	PRW61339.1, PRW61198.1	KAI3424231.1
OG0000031	PRW33008.1	KAI3430489.1
OG0000031	PRW60879.1	KAI3424158.1
OG0000032	PRW56123.1	KAI3436419.1
OG0000032	PRW58679.1, PRW33721.1	KAI3431571.1
OG0000032	PRW56247.1	KAI3437680.1, KAI3437679.1, KAI3437678.1
OG0000033	PRW45736.1	KAI3424711.1
OG0000033	PRW58712.1, PRW58414.1	KAI3427363.1, KAI3433944.1, KAI3423962.1
OG0000034	PRW57195.1	KAI3438051.1
OG0000035	PRW32494.1	KAI3423989.1
OG0000035	PRW32856.1, PRW32855.1	KAI3430592.1
OG0000036	PRW44420.1	KAI3428610.1
OG0000036	PRW33634.1, PRW56132.1, PRW33982.1, PRW45185.1, PRW58293.1, PRW57219.1, PRW57115.1	KAI3425127.1
OG0000037	PRW59067.1, PRW59066.1, PRW44497.1	KAI3438819.1
OG0000037	PRW59185.1, PRW59186.1	KAI3423558.1, KAI3438825.1
OG0000038	PRW20764.1	KAI3432833.1, KAI3432406.1, KAI3434476.1, KAI3432357.1, KAI3432312.1, KAI3432803.1, KAI3432804.1, KAI3432326.1, KAI3434547.1, KAI3432369.1, KAI3432314.1, KAI3432320.1, KAI3432842.1, KAI3434542.1, KAI3432356.1, KAI3432323.1, KAI3434546.1, KAI3432343.1, KAI3432841.1, KAI3432840.1
OG0000039	PRW56085.1, PRW57256.1, PRW57466.1, PRW33961.1, PRW33960.1, PRW20716.1, PRW33854.1, PRW33843.1, PRW58322.1, PRW58189.1, PRW59858.1, PRW44441.1, PRW33771.1, PRW34070.1	KAI3426015.1
OG0000040	PRW61474.1	KAI3424239.1
OG0000040	PRW33672.1	KAI3425251.1
OG0000043	PRW56763.1	KAI3428081.1, KAI3428080.1, KAI3439060.1, KAI3432564.1, KAI3432337.1, KAI3432374.1, KAI3425701.1
OG0000044	PRW55946.1	KAI3436790.1
OG0000044	PRW59662.1, PRW60004.1	KAI3424387.1
OG0000044	PRW32927.1	KAI3430405.1
OG0000046	PRW20580.1	KAI3430308.1
OG0000046	PRW20481.1, PRW20571.1	KAI3430315.1, KAI3430325.1, KAI3430298.1, KAI3430319.1
OG0000047	PRW39310.1, PRW57942.1, PRW39252.1	KAI3431532.1, KAI3436294.1, KAI3436273.1, KAI3432594.1
OG0000047	PRW57548.1	KAI3424995.1, KAI3424867.1, KAI3424889.1, KAI3424870.1, KAI3432593.1, KAI3436293.1, KAI3423403.1, KAI3431764.1
OG0000048	PRW33060.1, PRW39120.1, PRW39118.1	KAI3430586.1
OG0000049	PRW58266.1	KAI3433844.1
OG0000049	PRW57916.1, PRW57724.1	KAI3434593.1
OG0000051	PRW58244.1	KAI3433911.1
OG0000051	PRW45026.1	KAI3426260.1
OG0000052	PRW58009.1	KAI3432788.1
OG0000052	PRW61437.1, PRW57359.1	KAI3437829.1
OG0000053	PRW32665.1	KAI3423972.1
OG0000053	PRW33245.1	KAI3434870.1
