Orthogroup	oneline_A99_genome_proteins	oneline_c_sorokiniana_genome_proteins	oneline_c_variabilis_genome_proteins	oneline_c_vulgaris_genome_proteins	oneline_m_conductrix_genome_proteins
OG0009193	scaffold16.g30.t1				
OG0009194	scaffold16.g36.t1				
OG0009195	scaffold16.g44.t1				
OG0009196	scaffold16.g54.t1				
OG0009197	scaffold16.g69.t1				
OG0009198	scaffold16.g76.t1				
OG0009199	scaffold16.g77.t1				
OG0009200	scaffold16.g81.t1				
OG0009201	scaffold16.g82.t1				
OG0009202	scaffold16.g98.t1				
OG0009203	scaffold16.g116.t1				
OG0009204	scaffold16.g138.t1				
OG0009205	scaffold16.g142.t1				
OG0009206	scaffold16.g149.t1				
OG0009207	scaffold13.g176.t1				
OG0009208	scaffold13.g193.t1				
OG0009209	scaffold13.g288.t1				
OG0009210	scaffold13.g293.t1				
OG0009211	scaffold13.g349.t1				
OG0009212	scaffold13.g354.t1				
OG0009213	scaffold13.g379.t1				
OG0009214	scaffold13.g380.t1				
OG0009215	scaffold13.g392.t1				
OG0009216	scaffold13.g412.t1				
OG0009217	scaffold17.g431.t1				
OG0009218	scaffold17.g439.t1				
OG0009219	scaffold17.g446.t1				
OG0009220	scaffold17.g472.t1				
OG0009221	scaffold17.g483.t1				
OG0009222	scaffold17.g516.t1				
OG0009223	scaffold17.g533.t1				
OG0009224	scaffold17.g539.t1				
OG0009225	scaffold17.g563.t1				
OG0009226	scaffold17.g569.t1				
OG0009227	scaffold17.g590.t1				
OG0009228	scaffold17.g592.t1				
OG0009229	scaffold5.g613.t1				
OG0009230	scaffold5.g614.t1				
OG0009231	scaffold5.g619.t1				
OG0009232	scaffold5.g621.t1				
OG0009233	scaffold5.g627.t1				
OG0009234	scaffold5.g628.t1				
OG0009235	scaffold5.g637.t1				
OG0009236	scaffold5.g638.t1				
OG0009237	scaffold5.g657.t1				
OG0009238	scaffold5.g662.t1				
OG0009239	scaffold5.g664.t1				
OG0009240	scaffold5.g671.t1				
OG0009241	scaffold5.g697.t1				
OG0009242	scaffold5.g704.t1				
OG0009243	scaffold5.g782.t1				
OG0009244	scaffold5.g797.t1				
OG0009245	scaffold5.g818.t1				
OG0009246	scaffold5.g820.t1				
OG0009247	scaffold5.g823.t1				
OG0009248	scaffold5.g836.t1				
OG0009249	scaffold5.g838.t1				
OG0009250	scaffold5.g843.t1				
OG0009251	scaffold5.g859.t1				
OG0009252	scaffold5.g862.t1				
OG0009253	scaffold5.g886.t1				
OG0009254	scaffold5.g913.t1				
OG0009255	scaffold5.g914.t1				
OG0009256	scaffold5.g927.t1				
OG0009257	scaffold5.g977.t1				
OG0009258	scaffold5.g998.t1				
OG0009259	scaffold14.g1022.t1				
OG0009260	scaffold14.g1056.t1				
OG0009261	scaffold14.g1063.t1				
OG0009262	scaffold14.g1071.t1				
OG0009263	scaffold14.g1079.t1				
OG0009264	scaffold14.g1152.t1				
OG0009265	scaffold14.g1167.t1				
OG0009266	scaffold14.g1175.t1				
OG0009267	scaffold14.g1180.t1				
OG0009268	scaffold14.g1182.t1				
OG0009269	scaffold14.g1183.t1				
OG0009270	scaffold14.g1248.t1				
OG0009271	scaffold14.g1249.t1				
OG0009272	scaffold14.g1271.t1				
OG0009273	scaffold14.g1302.t1				
