#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
XP_005842545.1	554065.XP_005842638.1	6.07e-59	194.0	KOG2203@1|root,KOG2203@2759|Eukaryota,37HKR@33090|Viridiplantae,34GXG@3041|Chlorophyta	3041|Chlorophyta	S	GTP-binding protein that may be involved in cell development	-	-	-	-	-	-	-	-	-	-	-	-	RHD3
XP_005842552.1	554065.XP_005842552.1	3.57e-65	197.0	COG0415@1|root,KOG0133@2759|Eukaryota,37JTK@33090|Viridiplantae,34JIS@3041|Chlorophyta	3041|Chlorophyta	LT	FAD binding domain of DNA photolyase	-	-	-	ko:K12118	ko04712,map04712	-	-	-	ko00000,ko00001	-	-	-	DNA_photolyase,FAD_binding_7
XP_005842553.1	554065.XP_005844065.1	3.98e-20	87.4	COG2340@1|root,KOG3017@2759|Eukaryota,37UH8@33090|Viridiplantae,34N4K@3041|Chlorophyta	3041|Chlorophyta	S	Belongs to the CRISP family	-	-	-	ko:K19919	-	-	-	-	ko00000,ko04131	-	-	-	CAP
XP_005842556.1	554065.XP_005842556.1	3.57e-120	343.0	COG0069@1|root,KOG0399@2759|Eukaryota,37N8R@33090|Viridiplantae,34H08@3041|Chlorophyta	3041|Chlorophyta	E	glutamate synthase	GLU	-	1.4.7.1	ko:K00284	ko00630,ko00910,ko01120,map00630,map00910,map01120	-	R00021,R10086	RC00006,RC00010	ko00000,ko00001,ko01000	-	-	-	GATase_2,GXGXG,Glu_syn_central,Glu_synthase
XP_005842558.1	554065.XP_005851839.1	1.47e-08	61.6	28VPR@1|root,2R2FD@2759|Eukaryota,37X2R@33090|Viridiplantae,34IUG@3041|Chlorophyta	3041|Chlorophyta	A	Trichohyalin-plectin-homology domain	-	GO:0003341,GO:0006928,GO:0007017,GO:0007018,GO:0008150,GO:0009987	-	-	-	-	-	-	-	-	-	-	TPH
XP_005842563.1	554065.XP_005846227.1	6e-81	253.0	COG2833@1|root,2QU9I@2759|Eukaryota,37YFI@33090|Viridiplantae,34J6R@3041|Chlorophyta	3041|Chlorophyta	H	Glycosyl transferases group 1	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_1_4
XP_005842565.1	554065.XP_005842565.1	7.34e-95	276.0	KOG0598@1|root,KOG0598@2759|Eukaryota,37MXE@33090|Viridiplantae,34J4P@3041|Chlorophyta	3041|Chlorophyta	T	Belongs to the protein kinase superfamily	-	-	2.7.11.1	ko:K04688	ko01521,ko01522,ko04012,ko04066,ko04140,ko04150,ko04151,ko04152,ko04211,ko04212,ko04213,ko04350,ko04371,ko04666,ko04714,ko04910,ko04931,ko05165,ko05200,ko05205,ko05210,ko05212,ko05221,ko05224,ko05225,ko05226,ko05231,map01521,map01522,map04012,map04066,map04140,map04150,map04151,map04152,map04211,map04212,map04213,map04350,map04371,map04666,map04714,map04910,map04931,map05165,map05200,map05205,map05210,map05212,map05221,map05224,map05225,map05226,map05231	-	-	-	ko00000,ko00001,ko01000,ko01001	-	-	-	Pkinase,Pkinase_C
XP_005842567.1	554065.XP_005842567.1	2.78e-65	199.0	COG0661@1|root,KOG1235@2759|Eukaryota,37NDS@33090|Viridiplantae,34J75@3041|Chlorophyta	3041|Chlorophyta	S	aarF domain-containing protein kinase At1g79600	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_005842571.1	248742.XP_005650378.1	1.08e-10	65.1	KOG2635@1|root,KOG2635@2759|Eukaryota,37NHA@33090|Viridiplantae,34H48@3041|Chlorophyta	3041|Chlorophyta	U	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins	-	-	-	ko:K20471	-	-	-	-	ko00000,ko04131	-	-	-	Adap_comp_sub,Clat_adaptor_s
XP_005842579.1	554065.XP_005846155.1	1.21e-57	185.0	COG1544@1|root,2QQ0F@2759|Eukaryota,37P9W@33090|Viridiplantae,34KXE@3041|Chlorophyta	3041|Chlorophyta	J	Sigma 54 modulation protein / S30EA ribosomal protein	PSRP-1	-	-	-	-	-	-	-	-	-	-	-	Ribosom_S30AE_C,Ribosomal_S30AE
