# BUSCO version is: 5.3.2 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Complete	scaffold2.g6813.t1	3416.5	1774	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Missing
45at3041	Complete	scaffold13.g421.t1	2200.0	1514	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	scaffold2.g6824.t1	2127.1	1417	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	scaffold18.g1951.t1	1179.8	2101	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	scaffold13.g367.t1	1358.3	1376	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	scaffold1.g5753.t1	1498.4	1007	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Duplicated	scaffold4.g4579.t1	1088.1	804	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
91at3041	Duplicated	scaffold11.g4004.t1	1017.9	637	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	scaffold12.g8137.t1	1022.8	587	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	scaffold1.g5643.t1	1349.5	871	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	scaffold26.g3357.t1	933.7	677	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	scaffold17.g601.t1	3660.3	4459	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	scaffold11.g4017.t1	1736.0	2417	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Missing
126at3041	Complete	scaffold20.g7815.t1	1152.5	686	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	scaffold22.g6158.t1	973.0	637	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	scaffold10.g2494.t1	1497.1	882	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	scaffold22.g6129.t1	1358.1	820	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	scaffold19.g1792.t1	1242.1	1007	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
