Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_c_sorokiniana_genome_proteins
OG0000001	KAI3434660.1	PRW33016.1
OG0000001	KAI3423840.1	PRW32527.1
OG0000001	KAI3426450.1	PRW44897.1
OG0000002	KAI3438365.1, KAI3438359.1, KAI3430967.1, KAI3438363.1, KAI3428844.1	PRW61031.1, PRW58690.1
OG0000002	KAI3438361.1, KAI3438364.1, KAI3438358.1, KAI3434581.1, KAI3434582.1, KAI3434580.1, KAI3430928.1, KAI3435605.1, KAI3435603.1, KAI3435602.1, KAI3435599.1, KAI3427445.1, KAI3438367.1, KAI3427446.1, KAI3430959.1, KAI3430960.1, KAI3427280.1, KAI3438357.1, KAI3435601.1, KAI3435600.1, KAI3438349.1, KAI3438362.1, KAI3430966.1	PRW61566.1, PRW61567.1
OG0000004	KAI3424373.1, KAI3424430.1	PRW32911.1
OG0000004	KAI3433953.1	PRW32917.1
OG0000004	KAI3439016.1	PRW57532.1
OG0000004	KAI3424414.1	PRW32916.1
OG0000005	KAI3427397.1	PRW33836.1, PRW44985.1
OG0000005	KAI3425720.1	PRW57695.1
OG0000005	KAI3425719.1	PRW57831.1
OG0000005	KAI3428490.1	PRW44271.1
OG0000005	KAI3427342.1	PRW32834.1, PRW33300.1, PRW50860.1, PRW05806.1, PRW44563.1, PRW57024.1, PRW60541.1, PRW51177.1, PRW39272.1
OG0000005	KAI3425961.1	PRW33991.1
OG0000006	KAI3427071.1	PRW50900.1
OG0000006	KAI3424383.1, KAI3424432.1, KAI3424402.1, KAI3424410.1, KAI3424375.1, KAI3428571.1, KAI3428592.1, KAI3424353.1	PRW32926.1
OG0000008	KAI3433958.1, KAI3424386.1	PRW32851.1
OG0000008	KAI3433952.1	PRW57273.1
OG0000008	KAI3427072.1	PRW57363.1
OG0000008	KAI3424431.1	PRW57296.1, PRW32932.1
OG0000008	KAI3428573.1	PRW32931.1
OG0000009	KAI3429596.1, KAI3428591.1, KAI3428572.1, KAI3424401.1, KAI3424382.1, KAI3424433.1, KAI3424411.1, KAI3424376.1, KAI3424352.1	PRW56936.1, PRW32997.1, PRW57308.1, PRW56937.1, PRW33046.1, PRW33072.1, PRW56968.1, PRW57408.1, PRW32979.1, PRW20324.1, PRW33081.1, PRW57429.1, PRW57107.1, PRW60378.1
OG0000010	KAI3437643.1	PRW60753.1, PRW59695.1
OG0000010	KAI3433380.1	PRW58582.1
OG0000010	KAI3428291.1	PRW56397.1
OG0000010	KAI3430596.1, KAI3428300.1	PRW45268.1, PRW45267.1
