HOG	OG	Gene Tree Parent Clade	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
N3.HOG0000000	OG0000000	n2			XP_005844990.1	KAI3430925.1, KAI3430922.1, KAI3430919.1, KAI3430916.1, KAI3427444.1, KAI3427296.1, KAI3425114.1, KAI3427282.1, KAI3432207.1, KAI3438346.1, KAI3430935.1, KAI3423534.1, KAI3428385.1, KAI3423134.1, KAI3423713.1, KAI3430949.1	
N3.HOG0000001	OG0000000	n18			XP_005844991.1	KAI3438347.1, KAI3429718.1, KAI3430961.1, KAI3423539.1, KAI3429715.1, KAI3432916.1, KAI3423401.1, KAI3428389.1, KAI3430933.1, KAI3433276.1, KAI3423540.1, KAI3429716.1, KAI3425103.1, KAI3432851.1, KAI3428390.1, KAI3423192.1, KAI3432911.1, KAI3428395.1, KAI3428397.1, KAI3433281.1, KAI3425104.1, KAI3438350.1, KAI3432895.1, KAI3428852.1, KAI3432938.1, KAI3430927.1, KAI3428392.1, KAI3428843.1, KAI3434587.1, KAI3425105.1, KAI3423402.1, KAI3432899.1, KAI3432925.1, KAI3438348.1, KAI3430965.1, KAI3430912.1, KAI3438369.1, KAI3432900.1, KAI3435607.1, KAI3435608.1, KAI3432935.1, KAI3432942.1, KAI3432928.1, KAI3432903.1, KAI3438368.1, KAI3428848.1, KAI3424479.1, KAI3432923.1, KAI3428846.1, KAI3428847.1, KAI3432945.1, KAI3432908.1, KAI3432915.1, KAI3430964.1, KAI3427447.1, KAI3430942.1, KAI3430938.1, KAI3423133.1, KAI3430914.1, KAI3432931.1, KAI3430951.1, KAI3432907.1, KAI3433275.1, KAI3433279.1, KAI3438353.1, KAI3434588.1, KAI3423711.1, KAI3423538.1, KAI3423537.1, KAI3434584.1, KAI3424484.1, KAI3432919.1, KAI3432921.1, KAI3432912.1, KAI3432917.1, KAI3430909.1, KAI3430946.1, KAI3433272.1, KAI3430926.1, KAI3430920.1, KAI3430923.1, KAI3430917.1, KAI3428391.1, KAI3423189.1, KAI3423132.1, KAI3424483.1, KAI3424480.1, KAI3425110.1, KAI3425115.1, KAI3432896.1, KAI3425113.1, KAI3432904.1, KAI3435609.1, KAI3425109.1, KAI3425111.1, KAI3427297.1, KAI3427449.1, KAI3429717.1, KAI3438343.1, KAI3435611.1, KAI3435610.1, KAI3423542.1, KAI3423292.1, KAI3425116.1, KAI3430950.1, KAI3428387.1, KAI3430948.1, KAI3430931.1, KAI3424486.1, KAI3432913.1, KAI3430962.1, KAI3430963.1, KAI3432922.1, KAI3432924.1, KAI3424487.1, KAI3424482.1, KAI3423712.1, KAI3428402.1, KAI3428386.1, KAI3423289.1, KAI3423397.1, KAI3425108.1, KAI3423191.1, KAI3430968.1, KAI3426513.1, KAI3430939.1, KAI3432934.1, KAI3432898.1, KAI3428845.1, KAI3428851.1, KAI3438371.1, KAI3424488.1, KAI3430944.1, KAI3430958.1, KAI3438344.1, KAI3430956.1, KAI3426514.1, KAI3433277.1, KAI3433283.1, KAI3423536.1, KAI3438366.1, KAI3427285.1, KAI3438356.1, KAI3434589.1, KAI3432910.1, KAI3430930.1, KAI3430955.1, KAI3438360.1, KAI3433278.1, KAI3435613.1, KAI3430945.1, KAI3430953.1, KAI3428394.1, KAI3433273.1, KAI3432937.1, KAI3423399.1, KAI3425107.1, KAI3423398.1, KAI3423135.1, KAI3430911.1, KAI3434585.1, KAI3434586.1, KAI3432918.1, KAI3428398.1, KAI3428849.1, KAI3428396.1, KAI3427284.1, KAI3427290.1, KAI3432941.1, KAI3432927.1, KAI3427289.1, KAI3427295.1, KAI3432902.1	
N3.HOG0000002	OG0000001	n4				KAI3434660.1	
N3.HOG0000003	OG0000001	n7			XP_005846747.1	KAI3423840.1	
N3.HOG0000004	OG0000001	n10				KAI3426450.1	
N3.HOG0000005	OG0000001	n15			XP_005847914.1		
N3.HOG0000006	OG0000001	n16			XP_005842812.1		
N3.HOG0000007	OG0000002	n5			XP_005849439.1, XP_005843843.1, XP_005849438.1	KAI3438359.1, KAI3438365.1, KAI3438363.1, KAI3430967.1, KAI3428844.1	
N3.HOG0000008	OG0000002	n14			XP_005842730.1, XP_005842564.1		
N3.HOG0000009	OG0000002	n16			XP_005848587.1	KAI3430872.1	
N3.HOG0000010	OG0000002	n21				KAI3435604.1	
N3.HOG0000011	OG0000002	n32				KAI3438358.1, KAI3438361.1, KAI3438364.1, KAI3434581.1, KAI3434580.1, KAI3434582.1, KAI3430928.1, KAI3435605.1, KAI3435603.1, KAI3435602.1, KAI3435599.1, KAI3438367.1, KAI3427445.1, KAI3427446.1, KAI3430959.1, KAI3430960.1, KAI3427280.1, KAI3438357.1, KAI3435601.1, KAI3435600.1, KAI3438362.1, KAI3438349.1, KAI3430966.1	
N3.HOG0000012	OG0000003	n0				KAI3428850.1, KAI3430940.1, KAI3433282.1, KAI3424485.1, KAI3427287.1, KAI3427293.1, KAI3432940.1, KAI3433274.1, KAI3433280.1, KAI3432926.1, KAI3424481.1, KAI3423535.1, KAI3423291.1, KAI3430937.1, KAI3430941.1, KAI3435615.1, KAI3430954.1, KAI3428388.1, KAI3423190.1, KAI3438352.1, KAI3438355.1, KAI3427448.1, KAI3433271.1, KAI3423400.1, KAI3435606.1, KAI3430910.1, KAI3428399.1, KAI3435614.1, KAI3423541.1, KAI3435612.1, KAI3427286.1, KAI3427292.1, KAI3438345.1, KAI3438342.1, KAI3425106.1, KAI3430913.1, KAI3423188.1, KAI3423136.1, KAI3428393.1, KAI3428400.1, KAI3427294.1, KAI3427288.1, KAI3430957.1, KAI3425117.1, KAI3432906.1, KAI3432946.1, KAI3432909.1, KAI3434583.1, KAI3432901.1, KAI3430947.1, KAI3423131.1, KAI3432930.1, KAI3432932.1, KAI3432929.1, KAI3432943.1, KAI3432897.1, KAI3432944.1, KAI3432933.1, KAI3438370.1, KAI3430921.1, KAI3430915.1, KAI3430918.1, KAI3430924.1, KAI3430969.1, KAI3430943.1, KAI3428401.1, KAI3423193.1	
N3.HOG0000013	OG0000004	n7				KAI3424355.1	
N3.HOG0000014	OG0000004	n8				KAI3433953.1	
N3.HOG0000015	OG0000004	n26			XP_005843780.1		
N3.HOG0000016	OG0000004	n28			XP_005850420.1		
N3.HOG0000017	OG0000004	n31			XP_005843648.1, XP_005843095.1		
N3.HOG0000018	OG0000004	n34				KAI3428589.1	
N3.HOG0000019	OG0000004	n37				KAI3439016.1	
N3.HOG0000020	OG0000004	n45				KAI3433957.1	
N3.HOG0000021	OG0000004	n46				KAI3424397.1	
