#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
scaffold16.g1.t1	248742.XP_005650061.1	3.68e-86	307.0	KOG0319@1|root,KOG0319@2759|Eukaryota,37PNA@33090|Viridiplantae,34J34@3041|Chlorophyta	3041|Chlorophyta	A	Utp13 specific WD40 associated domain	-	-	-	ko:K14555	ko03008,map03008	-	-	-	ko00000,ko00001,ko03009	-	-	-	Utp13,WD40
scaffold16.g3.t1	554065.XP_005846623.1	1.65e-221	624.0	COG0276@1|root,KOG1321@2759|Eukaryota,37KW0@33090|Viridiplantae,34HCN@3041|Chlorophyta	3041|Chlorophyta	H	Catalyzes the ferrous insertion into protoporphyrin IX	HEMH	-	4.99.1.1,4.99.1.9	ko:K01772	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R00310,R11329	RC01012	ko00000,ko00001,ko00002,ko01000	-	-	-	Ferrochelatase
scaffold16.g4.t1	248742.XP_005645102.1	4.74e-217	635.0	COG5173@1|root,KOG2286@2759|Eukaryota,37QDU@33090|Viridiplantae,34IHR@3041|Chlorophyta	3041|Chlorophyta	U	Exocyst complex component Sec6	-	-	-	ko:K06110	-	-	-	-	ko00000,ko04131	-	-	-	Sec6
scaffold16.g5.t1	554065.XP_005846766.1	5.29e-67	219.0	KOG4754@1|root,KOG4754@2759|Eukaryota,37ID6@33090|Viridiplantae,34KAF@3041|Chlorophyta	3041|Chlorophyta	G	Phosphoglycerate mutase family	-	-	-	-	-	-	-	-	-	-	-	-	His_Phos_1
scaffold16.g8.t1	554065.XP_005846769.1	2.24e-89	266.0	COG0456@1|root,KOG3234@2759|Eukaryota,37MSE@33090|Viridiplantae,34KIN@3041|Chlorophyta	3041|Chlorophyta	S	The N-acetyltransferases (NAT)are enzymes that use acetyl coenzyme A (CoA) to transfer an acetyl group to a substrate, a reaction implicated in various functions from bacterial antibiotic resistance to mammalian circadian rhythm and chromatin remodeling	NAT	-	2.3.1.254	ko:K17972	-	-	-	-	ko00000,ko01000,ko03029	-	-	-	Acetyltransf_1
scaffold16.g9.t1	3075.A0A087SRE6	5.56e-154	461.0	KOG0600@1|root,KOG0600@2759|Eukaryota,37N7D@33090|Viridiplantae,34HI0@3041|Chlorophyta	3041|Chlorophyta	D	Belongs to the protein kinase superfamily	CDKC	-	2.7.11.22,2.7.11.23	ko:K08819	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase
scaffold16.g10.t1	3067.XP_002949213.1	1.38e-232	692.0	COG0205@1|root,KOG2440@2759|Eukaryota,37KJQ@33090|Viridiplantae,34H4W@3041|Chlorophyta	3041|Chlorophyta	G	Phosphofructokinase	-	-	2.7.1.11	ko:K00850	ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04152,ko05230,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04152,map05230	M00001,M00345	R00756,R03236,R03237,R03238,R03239,R04779	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000,ko01009,ko03019	-	-	-	PFK
scaffold16.g11.t1	248742.XP_005649170.1	9.77e-176	507.0	COG1208@1|root,KOG1322@2759|Eukaryota,37JN6@33090|Viridiplantae,34GRH@3041|Chlorophyta	3041|Chlorophyta	H	This protein plays a role in synthesis of starch. It catalyzes the synthesis of the activated glycosyl donor, ADP- glucose from Glc-1-P and ATP	ADG2A	-	2.7.7.27	ko:K00975	ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026	M00565	R00948	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	NTP_transferase
scaffold16.g12.t1	3075.A0A087SKX7	6.81e-86	273.0	COG0494@1|root,KOG2937@2759|Eukaryota,37NSB@33090|Viridiplantae,34NA2@3041|Chlorophyta	3041|Chlorophyta	A	Dcp2, box A domain	-	-	3.6.1.62	ko:K12613	ko03018,map03018	M00395	R10815	RC00002	ko00000,ko00001,ko00002,ko01000,ko03019	-	-	-	DCP2,NUDIX
scaffold16.g14.t1	554065.XP_005846627.1	1.04e-57	199.0	COG5347@1|root,KOG0702@2759|Eukaryota,37HPM@33090|Viridiplantae,34MGK@3041|Chlorophyta	3041|Chlorophyta	T	Putative GTP-ase activating proteins for the small GTPase, ARF	-	-	-	-	-	-	-	-	-	-	-	-	ArfGap
