Orthogroup	m_conductrix_genome_proteins	c_variabilis_genome_proteins
OG0000001	PSC75051.1	XP_005847914.1
OG0000001	PSC70012.1, PSC75858.1, PSC75652.1, PSC67960.1, PSC68043.1, PSC74541.1, PSC74472.1, PSC70550.1, PSC75027.1, PSC73278.1, PSC68101.1, PSC71940.1, PSC76691.1, PSC74199.1, PSC74200.1, PSC69971.1, PSC75634.1, PSC72491.1, PSC76111.1, PSC69931.1, PSC74026.1, PSC75228.1, PSC68649.1, PSC67793.1, PSC74450.1, PSC76489.1, PSC67850.1, PSC73286.1, PSC70757.1, PSC70172.1, PSC74298.1, PSC67976.1, PSC68457.1, PSC71968.1, PSC70408.1, PSC71764.1, PSC68084.1, PSC75439.1, PSC73791.1, PSC70902.1, PSC70867.1, PSC67146.1, PSC73472.1, PSC68013.1, PSC76472.1, PSC70085.1, PSC76601.1, PSC71289.1, PSC71686.1, PSC74826.1, PSC76069.1, PSC74507.1, PSC76013.1, PSC69411.1, PSC68719.1, PSC68720.1, PSC67142.1, PSC72915.1, PSC73629.1, PSC67107.1, PSC67602.1, PSC68622.1, PSC67910.1, PSC74394.1, PSC70238.1, PSC71372.1, PSC67890.1, PSC75022.1, PSC67614.1, PSC67498.1, PSC68983.1, PSC67492.1, PSC73330.1, PSC74890.1, PSC68576.1, PSC75113.1, PSC73701.1, PSC75697.1, PSC75698.1, PSC68129.1, PSC72436.1, PSC75540.1, PSC69351.1, PSC69859.1, PSC75172.1, PSC75173.1, PSC72032.1, PSC67727.1, PSC70610.1, PSC73039.1, PSC73086.1, PSC73817.1, PSC71196.1, PSC68194.1, PSC71370.1, PSC71093.1, PSC76202.1, PSC76136.1, PSC70182.1, PSC68796.1, PSC74508.1, PSC74552.1, PSC67417.1, PSC67416.1	XP_005842812.1
OG0000002	PSC69335.1, PSC67096.1	XP_005849439.1, XP_005843843.1, XP_005849438.1, XP_005842730.1, XP_005842564.1, XP_005848796.1, XP_005848587.1
OG0000004	PSC71135.1, PSC68309.1	XP_005843639.1
OG0000004	PSC71170.1	XP_005852293.1
OG0000004	PSC71329.1	XP_005843099.1
OG0000004	PSC67885.1	XP_005843701.1
OG0000004	PSC72265.1	XP_005847291.1
OG0000005	PSC74167.1	XP_005844803.1, XP_005845485.1, XP_005846952.1, XP_005847493.1
OG0000005	PSC70242.1	XP_005847828.1
OG0000006	PSC71104.1, PSC71088.1	XP_005843094.1, XP_005847129.1, XP_005843702.1
OG0000006	PSC71227.1, PSC68329.1, PSC68321.1, PSC72080.1, PSC71167.1, PSC72071.1, PSC72098.1, PSC72210.1, PSC72168.1	XP_005843647.1, XP_005843638.1
OG0000006	PSC69436.1	XP_005852170.1
OG0000008	PSC72315.1, PSC72134.1, PSC68331.1, PSC68365.1, PSC71283.1, PSC72316.1, PSC72209.1, PSC72107.1, PSC71158.1, PSC71210.1, PSC72154.1, PSC73921.1, PSC75933.1	XP_005843694.1, XP_005851845.1, XP_005846939.1, XP_005843134.1, XP_005843124.1, XP_005843643.1, XP_005843706.1
OG0000009	PSC72060.1	XP_005843707.1, XP_005846938.1, XP_005847450.1
OG0000009	PSC74522.1	XP_005843696.1
OG0000010	PSC68096.1, PSC75343.1	XP_005850407.1, XP_005850406.1
OG0000010	PSC72894.1, PSC72893.1	XP_005850707.1
OG0000010	PSC71318.1, PSC76891.1	XP_005847441.1
OG0000010	PSC68081.1	XP_005850412.1
OG0000011	PSC67696.1	XP_005844733.1
