Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_sorokiniana_genome_proteins
OG0000001	PSC70961.1, PSC70962.1	PRW44897.1
OG0000002	PSC69335.1, PSC67096.1	PRW61031.1, PRW58690.1, PRW60221.1
OG0000002	PSC68659.1, PSC69379.1, PSC67600.1, PSC69326.1, PSC67744.1, PSC67759.1, PSC68713.1, PSC75096.1, PSC76225.1, PSC76226.1, PSC67713.1, PSC67207.1, PSC68653.1, PSC74416.1, PSC67044.1, PSC74555.1, PSC67725.1, PSC67019.1, PSC74768.1, PSC67580.1, PSC67599.1, PSC67063.1, PSC69623.1, PSC67710.1, PSC68225.1, PSC76734.1, PSC73936.1, PSC67030.1, PSC67709.1, PSC67010.1, PSC67032.1, PSC67003.1, PSC67636.1, PSC75692.1, PSC68535.1, PSC75691.1	PRW61566.1, PRW61567.1
OG0000004	PSC71032.1, PSC71329.1, PSC71170.1, PSC71135.1, PSC72203.1	PRW32911.1
OG0000004	PSC68361.1	PRW57532.1
OG0000004	PSC67885.1	PRW33058.1
OG0000005	PSC74168.1	PRW33836.1, PRW44985.1
OG0000005	PSC74167.1	PRW57849.1, PRW44271.1
OG0000005	PSC70242.1	PRW33991.1
OG0000006	PSC71088.1, PSC71104.1	PRW32875.1, PRW57122.1, PRW57339.1, PRW56969.1, PRW20423.1, PRW20373.1, PRW56948.1, PRW33066.1, PRW57021.1, PRW57065.1, PRW32953.1
OG0000006	PSC68329.1, PSC71227.1, PSC68321.1, PSC71167.1, PSC72168.1, PSC72098.1, PSC72080.1, PSC72071.1, PSC72210.1	PRW32926.1
OG0000008	PSC71213.1	PRW32851.1
OG0000008	PSC72279.1	PRW57296.1, PRW32932.1
OG0000008	PSC68363.1	PRW32923.1
OG0000008	PSC68336.1	PRW33065.1
OG0000009	PSC72315.1, PSC72134.1, PSC71283.1, PSC68331.1, PSC68365.1, PSC72107.1, PSC72154.1, PSC71158.1, PSC71210.1, PSC72316.1, PSC72209.1	PRW56936.1, PRW32997.1, PRW57308.1, PRW56937.1, PRW33046.1, PRW33072.1, PRW56968.1, PRW57408.1, PRW32979.1, PRW20324.1, PRW33081.1, PRW57429.1, PRW57107.1
OG0000009	PSC75933.1, PSC73921.1	PRW60378.1
