# BUSCO version is: 5.3.2 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Complete	XP_005844348.1	4078.3	2008	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Missing
45at3041	Complete	XP_005844646.1	2462.5	1485	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	XP_005844264.1	2377.6	1372	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	XP_005850077.1	187.2	92	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	XP_005844518.1	1490.8	1353	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	XP_005851348.1	1617.8	1021	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	XP_005852216.1	1492.7	837	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	XP_005844164.1	1511.1	860	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	XP_005851164.1	1445.6	887	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	XP_005844442.1	1310.9	854	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	XP_005852203.1	2681.3	2100	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	XP_005843889.1	1450.9	1144	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	XP_005849840.1	1536.3	1016	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	XP_005848180.1	1185.5	686	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	XP_005850015.1	1737.9	926	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	XP_005844747.1	1578.4	862	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	XP_005850088.1	499.1	280	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	XP_005847925.1	1492.3	968	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	XP_005846245.1	1064.3	620	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	XP_005850901.1	1368.1	673	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	XP_005849078.1	352.8	271	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Fragmented	XP_005844108.1	564.4	376	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	XP_005843967.1	1384.3	709	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	XP_005847180.1	1150.9	691	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	XP_005850494.1	1372.4	826	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	XP_005846608.1	1200.6	944	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	XP_005850242.1	1145.1	779	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	XP_005848684.1	1387.3	1268	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	XP_005843941.1	1471.3	862	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	XP_005843866.1	1192.5	604	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	XP_005848193.1	875.5	959	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	XP_005849044.1	743.2	572	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	XP_005851940.1	1194.2	845	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	XP_005847395.1	777.7	642	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	XP_005847023.1	1273.7	1065	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	XP_005847056.1	1347.9	765	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	XP_005849127.1	1318.8	739	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
