Orthogroup	oneline_A99_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0000000	scaffold12.g8193.t1	KAI3427444.1, KAI3430922.1, KAI3430925.1, KAI3430919.1, KAI3430916.1, KAI3427296.1, KAI3425114.1, KAI3427282.1, KAI3430935.1, KAI3432207.1, KAI3438346.1, KAI3428385.1, KAI3423534.1, KAI3423134.1, KAI3430949.1, KAI3423713.1, KAI3438347.1, KAI3429718.1, KAI3423539.1, KAI3429715.1, KAI3430961.1, KAI3432916.1, KAI3423401.1, KAI3428390.1, KAI3432851.1, KAI3425103.1, KAI3430933.1, KAI3433276.1, KAI3429716.1, KAI3423540.1, KAI3423192.1, KAI3428389.1, KAI3432911.1, KAI3428395.1, KAI3428397.1, KAI3433281.1, KAI3425104.1, KAI3438350.1, KAI3432915.1, KAI3430964.1, KAI3424479.1, KAI3432923.1, KAI3434587.1, KAI3430912.1, KAI3432925.1, KAI3430965.1, KAI3438348.1, KAI3432903.1, KAI3432900.1, KAI3435607.1, KAI3435608.1, KAI3432928.1, KAI3432942.1, KAI3432935.1, KAI3438369.1, KAI3423402.1, KAI3425105.1, KAI3432899.1, KAI3428843.1, KAI3438368.1, KAI3428848.1, KAI3430927.1, KAI3428392.1, KAI3432938.1, KAI3428847.1, KAI3428846.1, KAI3432945.1, KAI3432908.1, KAI3428852.1, KAI3432895.1, KAI3427447.1, KAI3433277.1, KAI3433283.1, KAI3438366.1, KAI3427285.1, KAI3438356.1, KAI3434589.1, KAI3423536.1, KAI3430956.1, KAI3426514.1, KAI3424488.1, KAI3430944.1, KAI3438344.1, KAI3430958.1, KAI3438371.1, KAI3430938.1, KAI3428845.1, KAI3428851.1, KAI3430942.1, KAI3432931.1, KAI3430914.1, KAI3423133.1, KAI3430951.1, KAI3432934.1, KAI3432898.1, KAI3430939.1, KAI3426513.1, KAI3423191.1, KAI3425108.1, KAI3423397.1, KAI3430968.1, KAI3427449.1, KAI3429717.1, KAI3438343.1, KAI3435611.1, KAI3435610.1, KAI3432924.1, KAI3432913.1, KAI3432922.1, KAI3430962.1, KAI3430963.1, KAI3424487.1, KAI3424486.1, KAI3424482.1, KAI3423292.1, KAI3430931.1, KAI3430950.1, KAI3428387.1, KAI3430948.1, KAI3425116.1, KAI3423542.1, KAI3423712.1, KAI3428402.1, KAI3428386.1, KAI3423289.1, KAI3427297.1, KAI3425111.1, KAI3425109.1, KAI3435609.1, KAI3425113.1, KAI3425115.1, KAI3432896.1, KAI3432904.1, KAI3425110.1, KAI3423189.1, KAI3424480.1, KAI3424483.1, KAI3423132.1, KAI3428391.1, KAI3433275.1, KAI3433279.1, KAI3438353.1, KAI3432907.1, KAI3430920.1, KAI3433272.1, KAI3430946.1, KAI3430926.1, KAI3430923.1, KAI3430917.1, KAI3434584.1, KAI3432917.1, KAI3432912.1, KAI3432921.1, KAI3432919.1, KAI3424484.1, KAI3423711.1, KAI3423538.1, KAI3423537.1, KAI3434588.1, KAI3430909.1, KAI3432910.1, KAI3430955.1, KAI3430930.1, KAI3433278.1, KAI3430945.1, KAI3435613.1, KAI3430953.1, KAI3438360.1, KAI3428394.1, KAI3433273.1, KAI3428396.1, KAI3428849.1, KAI3428398.1, KAI3430911.1, KAI3432937.1, KAI3434586.1, KAI3434585.1, KAI3432918.1, KAI3423398.1, KAI3425107.1, KAI3423399.1, KAI3427290.1, KAI3427284.1, KAI3423135.1, KAI3432927.1, KAI3432941.1, KAI3427295.1, KAI3427289.1, KAI3432902.1
OG0000001	scaffold15.g4297.t1	KAI3426450.1
OG0000002	scaffold14.g1341.t1	KAI3438361.1, KAI3438364.1, KAI3438358.1, KAI3434581.1, KAI3434582.1, KAI3434580.1, KAI3430928.1, KAI3435605.1, KAI3435603.1, KAI3435602.1, KAI3435599.1, KAI3427445.1, KAI3438367.1, KAI3427446.1, KAI3430959.1, KAI3430960.1, KAI3427280.1, KAI3438357.1, KAI3435601.1, KAI3435600.1, KAI3438349.1, KAI3438362.1, KAI3430966.1
OG0000004	scaffold7.g3512.t1, scaffold7.g3592.t1, scaffold7.g3568.t1, scaffold7.g3584.t1, scaffold12.g8225.t1, scaffold12.g8236.t1, scaffold7.g3602.t1, scaffold30.g4444.t1	KAI3428589.1
OG0000005	scaffold5.g723.t1	KAI3428490.1
OG0000006	scaffold16.g70.t1	KAI3429597.1
OG0000006	scaffold14.g1226.t1, scaffold14.g1245.t1, scaffold7.g3645.t1, scaffold7.g3571.t1, scaffold7.g3511.t1, scaffold7.g3546.t1, scaffold7.g3528.t1, scaffold7.g3599.t1	KAI3427071.1
OG0000008	scaffold7.g3601.t1	KAI3433958.1, KAI3424386.1, KAI3433952.1
OG0000008	scaffold7.g3582.t1	KAI3424396.1, KAI3424356.1, KAI3424431.1, KAI3424413.1
OG0000008	scaffold7.g3569.t1	KAI3424399.1
OG0000009	scaffold14.g1227.t1, scaffold7.g3554.t1, scaffold7.g3570.t1, scaffold7.g3600.t1, scaffold7.g3644.t1, scaffold7.g3593.t1	KAI3429596.1, KAI3428591.1, KAI3428572.1, KAI3424401.1, KAI3424382.1, KAI3424433.1, KAI3424411.1, KAI3424376.1, KAI3424352.1
OG0000010	scaffold2.g6818.t1, scaffold9.g3010.t1, scaffold16.g46.t1, scaffold9.g3009.t1, scaffold16.g47.t1, scaffold7.g3432.t1, scaffold20.g7655.t1, scaffold3.g6691.t1	KAI3437643.1, KAI3433380.1, KAI3428291.1, KAI3430755.1, KAI3428290.1, KAI3436557.1, KAI3430596.1, KAI3428300.1
OG0000011	scaffold19.g1876.t1	KAI3424438.1, KAI3424442.1, KAI3424422.1, KAI3424461.1, KAI3424462.1
OG0000019	scaffold2.g6946.t1	KAI3424157.1
OG0000021	scaffold4.g5023.t1, scaffold2.g7439.t1	KAI3425130.1
OG0000021	scaffold34.g4499.t1, scaffold34.g4500.t1, scaffold26.g3343.t1	KAI3430778.1
OG0000021	scaffold11.g3886.t1, scaffold11.g3887.t1	KAI3429892.1
OG0000022	scaffold15.g4350.t1	KAI3430771.1
OG0000023	scaffold2.g7134.t1	KAI3437552.1, KAI3433657.1, KAI3437670.1, KAI3424143.1, KAI3427434.1
OG0000025	scaffold2.g6952.t1	KAI3424239.1
OG0000025	scaffold2.g7449.t1	KAI3433312.1
OG0000025	scaffold4.g4783.t1	KAI3425251.1
OG0000025	scaffold16.g118.t1, scaffold23.g4092.t1	KAI3425243.1
OG0000026	scaffold21.g2183.t1	KAI3424943.1
OG0000026	scaffold14.g1127.t1, scaffold29.g5947.t1	KAI3428261.1, KAI3428260.1
OG0000027	scaffold3.g6692.t1	KAI3432846.1, KAI3432845.1, KAI3432737.1, KAI3426105.1, KAI3428647.1, KAI3428641.1, KAI3429901.1, KAI3436258.1, KAI3432286.1, KAI3427176.1, KAI3428412.1, KAI3427111.1, KAI3427110.1, KAI3430929.1, KAI3428639.1, KAI3428636.1, KAI3432779.1, KAI3432715.1, KAI3427912.1, KAI3427913.1, KAI3437676.1, KAI3431293.1, KAI3436257.1, KAI3428410.1, KAI3429902.1, KAI3432843.1, KAI3431292.1
OG0000031	scaffold1.g5289.t1	KAI3433912.1
OG0000031	scaffold12.g8257.t1	KAI3424311.1
OG0000031	scaffold14.g1160.t1	KAI3426981.1
OG0000032	scaffold1.g5666.t1, scaffold6.g2812.t1, scaffold23.g4187.t1, scaffold6.g2820.t1, scaffold4.g4873.t1, scaffold11.g4061.t1, scaffold4.g4870.t1, scaffold11.g4034.t1, scaffold4.g4868.t1, scaffold11.g4019.t1, scaffold4.g4897.t1, scaffold2.g7080.t1	KAI3425127.1
OG0000033	scaffold2.g6947.t1	KAI3424158.1
OG0000033	scaffold20.g7840.t1, scaffold2.g7253.t1	KAI3430489.1
OG0000034	scaffold3.g6605.t1	KAI3429764.1
OG0000037	scaffold1.g5602.t1	KAI3433381.1
OG0000040	scaffold7.g3762.t1	KAI3432833.1, KAI3434476.1, KAI3432406.1, KAI3432357.1, KAI3432840.1, KAI3432804.1, KAI3432803.1, KAI3432312.1, KAI3432326.1, KAI3432369.1, KAI3434547.1, KAI3432841.1, KAI3432343.1, KAI3434546.1, KAI3434542.1, KAI3432323.1, KAI3432356.1, KAI3432314.1, KAI3432320.1, KAI3432842.1
OG0000042	scaffold23.g4112.t1, scaffold5.g946.t1, scaffold13.g356.t1, scaffold1.g5525.t1, scaffold1.g5524.t1, scaffold4.g4861.t1, scaffold14.g1329.t1, scaffold4.g4716.t1, scaffold4.g4715.t1, scaffold4.g4723.t1, scaffold1.g5857.t1, scaffold11.g4030.t1, scaffold13.g313.t1, scaffold11.g3912.t1, scaffold11.g3904.t1, scaffold11.g3939.t1, scaffold10.g2397.t1, scaffold2.g7359.t1, scaffold7.g3733.t1, scaffold2.g6907.t1, scaffold16.g61.t1	KAI3437937.1
