#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PRW59665.1           -            977 1235at3041           -            701         0 1020.2  39.6   1   4   1.3e-81     1e-79  267.8   4.3     1   185     1   222     1   230 0.87 -
PRW59665.1           -            977 1235at3041           -            701         0 1020.2  39.6   2   4   8.6e-14   6.6e-12   43.7   1.4   183   238   264   332   253   339 0.83 -
PRW59665.1           -            977 1235at3041           -            701         0 1020.2  39.6   3   4      0.14        11    3.3   0.0   250   277   393   420   359   425 0.86 -
PRW59665.1           -            977 1235at3041           -            701         0 1020.2  39.6   4   4    4e-215  3.1e-213  709.1  17.5   259   701   437   940   423   940 0.89 -
PRW60889.1           -           2929 1235at3041           -            701     1e-51  175.3  22.1   1   4     9e-06    0.0007   17.2   0.2    74   113   257   296   251   301 0.90 -
PRW60889.1           -           2929 1235at3041           -            701     1e-51  175.3  22.1   2   4         5   3.9e+02   -1.8   0.0   117   139   420   442   343   454 0.66 -
PRW60889.1           -           2929 1235at3041           -            701     1e-51  175.3  22.1   3   4   2.3e-15   1.8e-13   48.8   0.0   405   544   489   643   474   644 0.85 -
PRW60889.1           -           2929 1235at3041           -            701     1e-51  175.3  22.1   4   4   6.9e-25   5.3e-23   80.3   0.5   390   546   615   772   602   778 0.94 -
PRW60888.1           -           2944 1235at3041           -            701     1e-51  175.2  22.1   1   4     9e-06    0.0007   17.1   0.2    74   113   257   296   251   301 0.90 -
PRW60888.1           -           2944 1235at3041           -            701     1e-51  175.2  22.1   2   4       5.1   3.9e+02   -1.9   0.0   117   139   420   442   343   454 0.66 -
PRW60888.1           -           2944 1235at3041           -            701     1e-51  175.2  22.1   3   4   2.3e-15   1.8e-13   48.8   0.0   405   544   489   643   474   644 0.85 -
PRW60888.1           -           2944 1235at3041           -            701     1e-51  175.2  22.1   4   4   6.9e-25   5.4e-23   80.3   0.5   390   546   615   772   602   778 0.94 -
PRW33538.1           -           2043 1235at3041           -            701   4.2e-45  153.4  29.1   1   6   2.8e-05    0.0022   15.5   0.1   114   159   481   533   476   534 0.83 -
PRW33538.1           -           2043 1235at3041           -            701   4.2e-45  153.4  29.1   2   6   4.1e-12   3.1e-10   38.1   0.0   427   545   527   649   524   656 0.93 -
PRW33538.1           -           2043 1235at3041           -            701   4.2e-45  153.4  29.1   3   6   6.6e-17   5.1e-15   54.0   0.5   395   545   667   817   661   825 0.96 -
PRW33538.1           -           2043 1235at3041           -            701   4.2e-45  153.4  29.1   4   6     6e-08   4.7e-06   24.3   0.8    45   160   830   958   823   963 0.76 -
PRW33538.1           -           2043 1235at3041           -            701   4.2e-45  153.4  29.1   5   6   1.6e-06   0.00013   19.6   6.4    77   156   963  1047   956  1080 0.81 -
PRW33538.1           -           2043 1235at3041           -            701   4.2e-45  153.4  29.1   6   6   3.1e-05    0.0024   15.4   0.5    76   111  1087  1122  1055  1130 0.85 -
PRW20571.1           -            854 1235at3041           -            701   2.7e-44  150.7  37.8   1   6   2.3e-10   1.8e-08   32.3   0.5   132   193   155   217   132   219 0.87 -
PRW20571.1           -            854 1235at3041           -            701   2.7e-44  150.7  37.8   2   6   6.5e-16     5e-14   50.7   0.3   431   545   180   288   178   293 0.91 -
PRW20571.1           -            854 1235at3041           -            701   2.7e-44  150.7  37.8   3   6     6e-12   4.6e-10   37.6   1.3    74   159   256   342   255   352 0.88 -
PRW20571.1           -            854 1235at3041           -            701   2.7e-44  150.7  37.8   4   6   2.9e-15   2.2e-13   48.5   5.0    73   189   295   413   293   419 0.91 -
PRW20571.1           -            854 1235at3041           -            701   2.7e-44  150.7  37.8   5   6   2.2e-11   1.7e-09   35.7   4.1   447   545   354   449   348   456 0.91 -
PRW20571.1           -            854 1235at3041           -            701   2.7e-44  150.7  37.8   6   6       2.4   1.9e+02   -0.8   0.2    31    88   783   844   779   851 0.71 -
PRW56627.1           -           1718 1235at3041           -            701     1e-36  125.7   9.0   1   6   8.5e-11   6.6e-09   33.8   0.5    81   158    70   152    60   157 0.89 -
PRW56627.1           -           1718 1235at3041           -            701     1e-36  125.7   9.0   2   6   1.3e-11   9.7e-10   36.5   0.0    76   156   149   236   147   242 0.93 -
PRW56627.1           -           1718 1235at3041           -            701     1e-36  125.7   9.0   3   6   0.00037     0.028   11.8   0.0    82   158   244   334   237   358 0.78 -
PRW56627.1           -           1718 1235at3041           -            701     1e-36  125.7   9.0   4   6   6.8e-06   0.00053   17.6   0.0   471   545   442   517   436   532 0.88 -
PRW56627.1           -           1718 1235at3041           -            701     1e-36  125.7   9.0   5   6      0.12       9.1    3.6   0.0    43    78   559   596   555   608 0.62 -
PRW56627.1           -           1718 1235at3041           -            701     1e-36  125.7   9.0   6   6     6e-08   4.7e-06   24.3   0.2    87   151   676   748   661   777 0.81 -
PRW56898.1           -            632 1235at3041           -            701   1.5e-32  111.9   1.0   1   4   1.4e-14   1.1e-12   46.3   0.0    53   150   312   415   297   427 0.81 -
PRW56898.1           -            632 1235at3041           -            701   1.5e-32  111.9   1.0   2   4   1.6e-11   1.2e-09   36.2   0.0    73   157   375   465   372   469 0.90 -
PRW56898.1           -            632 1235at3041           -            701   1.5e-32  111.9   1.0   3   4   1.1e-11   8.9e-10   36.6   0.0   447   545   439   536   430   542 0.94 -
PRW56898.1           -            632 1235at3041           -            701   1.5e-32  111.9   1.0   4   4   0.00016     0.012   13.0   0.0    86   130   564   608   546   630 0.76 -
PRW05847.1           -            527 1235at3041           -            701   1.7e-30  105.1   0.0   1   2   1.6e-14   1.3e-12   46.0   0.0   376   547   201   383   195   389 0.84 -
PRW05847.1           -            527 1235at3041           -            701   1.7e-30  105.1   0.0   2   2   1.4e-17   1.1e-15   56.1   0.0   430   544   391   507   386   512 0.94 -
PRW59298.1           -            663 1235at3041           -            701   7.7e-29   99.7  10.7   1   3    0.0004     0.031   11.7   1.5    45   129   145   237   103   239 0.72 -
PRW59298.1           -            663 1235at3041           -            701   7.7e-29   99.7  10.7   2   3   2.3e-15   1.8e-13   48.8   0.9    54   151   240   348   235   357 0.81 -
PRW59298.1           -            663 1235at3041           -            701   7.7e-29   99.7  10.7   3   3     1e-13   8.1e-12   43.4   0.0   444   546   367   469   359   476 0.94 -
PRW45142.1           -            473 1235at3041           -            701   7.4e-28   96.4  16.2   1   4   0.00058     0.045   11.2   0.0    37    73   122   160   103   183 0.60 -
PRW45142.1           -            473 1235at3041           -            701   7.4e-28   96.4  16.2   2   4   5.6e-14   4.4e-12   44.3   1.4    45   146   185   296   176   300 0.84 -
PRW45142.1           -            473 1235at3041           -            701   7.4e-28   96.4  16.2   3   4   4.4e-13   3.4e-11   41.3   3.4    52   156   284   394   278   399 0.83 -
PRW45142.1           -            473 1235at3041           -            701   7.4e-28   96.4  16.2   4   4    0.0011     0.086   10.2   0.1    45   105   397   463   394   471 0.75 -
PRW59321.1           -           1005 1235at3041           -            701   2.6e-27   94.6   2.7   1   5     0.021       1.6    6.0   0.0   396   485    97   194    55   227 0.73 -
PRW59321.1           -           1005 1235at3041           -            701   2.6e-27   94.6   2.7   2   5    0.0017      0.13    9.7   0.2    56   130   358   439   349   440 0.80 -
PRW59321.1           -           1005 1235at3041           -            701   2.6e-27   94.6   2.7   3   5   1.1e-14   8.2e-13   46.7   0.0   427   539   425   538   423   552 0.91 -
PRW59321.1           -           1005 1235at3041           -            701   2.6e-27   94.6   2.7   4   5     9e-08     7e-06   23.8   0.1   341   420   556   628   546   638 0.81 -
PRW59321.1           -           1005 1235at3041           -            701   2.6e-27   94.6   2.7   5   5    0.0051       0.4    8.0   0.0    83   120   666   703   657   714 0.86 -
PRW57875.1           -            699 1235at3041           -            701   1.3e-26   92.3   1.0   1   3     0.077       5.9    4.2   0.0    53    73   357   377   330   383 0.76 -
PRW57875.1           -            699 1235at3041           -            701   1.3e-26   92.3   1.0   2   3   4.9e-15   3.8e-13   47.8   0.2   391   545   348   511   345   514 0.87 -
PRW57875.1           -            699 1235at3041           -            701   1.3e-26   92.3   1.0   3   3   2.8e-16   2.2e-14   51.9   0.0   447   545   497   596   493   600 0.96 -
PRW56172.1           -            504 1235at3041           -            701   1.3e-25   89.0   2.5   1   2   4.6e-21   3.6e-19   67.7   0.7   313   545   109   341    96   350 0.91 -
PRW56172.1           -            504 1235at3041           -            701   1.3e-25   89.0   2.5   2   2   6.2e-07   4.8e-05   21.0   0.1   515   575   354   416   339   427 0.79 -
PRW44412.1           -            830 1235at3041           -            701   1.5e-25   88.8   7.2   1   3   8.3e-18   6.4e-16   56.9   0.8    46   158    15   145     4   154 0.83 -
PRW44412.1           -            830 1235at3041           -            701   1.5e-25   88.8   7.2   2   3   1.4e-10   1.1e-08   33.0   0.2   429   545   142   252   141   256 0.88 -
PRW44412.1           -            830 1235at3041           -            701   1.5e-25   88.8   7.2   3   3      0.17        13    3.0   0.0   342   372   262   291   254   321 0.71 -
PRW56720.1           -            429 1235at3041           -            701   2.1e-25   88.3   7.1   1   4   2.2e-11   1.7e-09   35.7   0.9    72   160    69   169    55   175 0.83 -
PRW56720.1           -            429 1235at3041           -            701   2.1e-25   88.3   7.1   2   4   0.00012    0.0095   13.4   0.2    75   158   163   253   162   259 0.78 -
PRW56720.1           -            429 1235at3041           -            701   2.1e-25   88.3   7.1   3   4     5e-07   3.9e-05   21.3   0.0   436   505   260   332   248   336 0.89 -
PRW56720.1           -            429 1235at3041           -            701   2.1e-25   88.3   7.1   4   4   2.6e-08     2e-06   25.6   0.0   450   545   319   415   318   418 0.88 -
PRW20739.1           -            509 1235at3041           -            701   4.2e-25   87.3   4.4   1   3   5.4e-17   4.2e-15   54.3   0.3   446   547   211   313   193   331 0.92 -
PRW20739.1           -            509 1235at3041           -            701   4.2e-25   87.3   4.4   2   3   1.3e-09     1e-07   29.8   0.2   448   553   339   443   318   458 0.84 -
PRW20739.1           -            509 1235at3041           -            701   4.2e-25   87.3   4.4   3   3      0.13        10    3.4   0.0   344   372   457   485   445   491 0.68 -
PRW60195.1           -            317 1235at3041           -            701   1.4e-24   85.5   4.9   1   3   1.5e-05    0.0012   16.4   0.0    75   129    29    83    25    85 0.55 -
PRW60195.1           -            317 1235at3041           -            701   1.4e-24   85.5   4.9   2   3   9.2e-13   7.1e-11   40.3   1.3    67   185    57   191    57   198 0.85 -
PRW60195.1           -            317 1235at3041           -            701   1.4e-24   85.5   4.9   3   3   1.6e-12   1.2e-10   39.5   1.3   384   544   155   315   149   316 0.88 -
PRW45460.1           -            561 1235at3041           -            701   1.5e-24   85.4   6.9   1   2   2.2e-11   1.7e-09   35.7   0.1    73   155   264   353   261   354 0.86 -
PRW45460.1           -            561 1235at3041           -            701   1.5e-24   85.4   6.9   2   2   8.3e-19   6.4e-17   60.2   2.5   289   503   337   560   323   560 0.83 -
PRW20874.1           -            517 1235at3041           -            701   2.3e-24   84.9   6.6   1   4    0.0015      0.12    9.8   0.0    76   110   152   186   147   194 0.67 -
PRW20874.1           -            517 1235at3041           -            701   2.3e-24   84.9   6.6   2   4   9.8e-20   7.6e-18   63.3   0.1   433   549   225   340   222   344 0.93 -
PRW20874.1           -            517 1235at3041           -            701   2.3e-24   84.9   6.6   3   4     0.031       2.4    5.5   0.0    74   121   343   389   340   396 0.80 -
PRW20874.1           -            517 1235at3041           -            701   2.3e-24   84.9   6.6   4   4    0.0085      0.66    7.3   0.3    56    78   423   445   408   481 0.82 -
PRW58160.1           -           1385 1235at3041           -            701   4.2e-24   84.0   1.6   1   3   4.2e-15   3.3e-13   48.0   0.1    61   193    26   172     6   174 0.84 -
PRW58160.1           -           1385 1235at3041           -            701   4.2e-24   84.0   1.6   2   3   7.6e-11   5.9e-09   33.9   0.2    75   192   206   329   197   335 0.85 -
PRW58160.1           -           1385 1235at3041           -            701   4.2e-24   84.0   1.6   3   3       5.9   4.5e+02   -2.1   0.0    25    48   472   495   468   499 0.87 -
PRW32897.1           -            512 1235at3041           -            701   2.6e-23   81.4   0.8   1   3     2e-07   1.5e-05   22.6   0.0   472   552   242   321   218   323 0.83 -
PRW32897.1           -            512 1235at3041           -            701   2.6e-23   81.4   0.8   2   3   1.8e-12   1.4e-10   39.3   0.2    74   187   322   447   320   450 0.87 -
PRW32897.1           -            512 1235at3041           -            701   2.6e-23   81.4   0.8   3   3   2.2e-09   1.7e-07   29.1   0.1   447   545   385   486   379   492 0.87 -
PRW61184.1           -            314 1235at3041           -            701   2.5e-22   78.1   5.3   1   3     0.011      0.82    7.0   0.0   130   184     5    61     2    68 0.53 -
PRW61184.1           -            314 1235at3041           -            701   2.5e-22   78.1   5.3   2   3   2.2e-11   1.7e-09   35.7   0.1    74   168    71   171    66   195 0.81 -
PRW61184.1           -            314 1235at3041           -            701   2.5e-22   78.1   5.3   3   3   1.3e-11     1e-09   36.4   2.1   346   481   163   300   159   306 0.65 -
PRW20813.1           -           1572 1235at3041           -            701   1.3e-21   75.7   2.2   1   3   2.3e-20   1.8e-18   65.4   0.7   342   545    13   223     4   227 0.89 -
PRW20813.1           -           1572 1235at3041           -            701   1.3e-21   75.7   2.2   2   3   1.7e-06   0.00013   19.5   0.0    76   150   191   268   186   277 0.86 -
