Orthogroup	a99_genome_proteins	c_variabilis_genome_proteins
OG0000000	scaffold12.g8193.t1	XP_005844990.1, XP_005844991.1
OG0000001	scaffold1.g5704.t1	XP_005846747.1
OG0000004	scaffold7.g3547.t1, scaffold7.g3553.t1	XP_005850420.1
OG0000004	scaffold14.g1247.t1	XP_005843095.1
OG0000005	scaffold5.g723.t1	XP_005844803.1, XP_005845485.1, XP_005846952.1, XP_005847493.1
OG0000005	scaffold12.g8111.t1	XP_005847828.1
OG0000006	scaffold16.g70.t1	XP_005852170.1
OG0000006	scaffold7.g3528.t1, scaffold7.g3599.t1, scaffold7.g3546.t1, scaffold7.g3645.t1, scaffold7.g3571.t1, scaffold7.g3511.t1, scaffold14.g1226.t1, scaffold14.g1245.t1	XP_005848689.1
OG0000008	scaffold7.g3644.t1, scaffold7.g3600.t1, scaffold7.g3570.t1, scaffold7.g3593.t1, scaffold7.g3554.t1, scaffold14.g1227.t1	XP_005843694.1, XP_005851845.1, XP_005846939.1, XP_005843134.1, XP_005843124.1, XP_005843643.1, XP_005843706.1
OG0000009	scaffold12.g8226.t1, scaffold7.g3585.t1	XP_005843707.1, XP_005846938.1, XP_005847450.1
OG0000009	scaffold7.g3591.t1, scaffold7.g3594.t1	XP_005843696.1
OG0000010	scaffold16.g47.t1, scaffold7.g3432.t1, scaffold9.g3009.t1, scaffold16.g46.t1, scaffold20.g7655.t1, scaffold9.g3010.t1, scaffold2.g6818.t1, scaffold3.g6691.t1	XP_005850407.1, XP_005850406.1, XP_005850707.1, XP_005851305.1, XP_005852188.1, XP_005852056.1, XP_005847434.1, XP_005847441.1, XP_005847999.1, XP_005850412.1
OG0000011	scaffold3.g6663.t1, scaffold29.g5950.t1, scaffold10.g2394.t1, scaffold5.g760.t1	XP_005842597.1
OG0000011	scaffold24.g2985.t1, scaffold20.g7743.t1, scaffold20.g7808.t1, scaffold24.g2967.t1, scaffold24.g2953.t1, scaffold6.g2703.t1, scaffold20.g7717.t1, scaffold10.g2309.t1, scaffold24.g2947.t1	XP_005844733.1
OG0000011	scaffold19.g1876.t1	XP_005843637.1, XP_005843098.1
OG0000015	scaffold1.g5297.t1	XP_005843588.1, XP_005847339.1
OG0000015	scaffold14.g1028.t1, scaffold9.g3134.t1	XP_005848827.1, XP_005848623.1, XP_005849910.1
OG0000019	scaffold2.g6946.t1	XP_005845649.1
OG0000021	scaffold34.g4500.t1, scaffold26.g3343.t1	XP_005844764.1
OG0000021	scaffold10.g2361.t1	XP_005846125.1, XP_005850397.1
OG0000021	scaffold1.g5875.t1	XP_005845820.1, XP_005851655.1
OG0000021	scaffold11.g3886.t1, scaffold11.g3887.t1	XP_005851970.1
OG0000023	scaffold15.g4350.t1	XP_005844756.1
OG0000023	scaffold25.g5131.t1, scaffold15.g4230.t1	XP_005847353.1, XP_005846085.1, XP_005846086.1, XP_005845946.1, XP_005849194.1, XP_005847189.1, XP_005851357.1, XP_005844829.1, XP_005846078.1, XP_005846080.1, XP_005845964.1, XP_005846105.1, XP_005845948.1, XP_005845945.1, XP_005845947.1, XP_005843455.1, XP_005845965.1, XP_005845963.1, XP_005846074.1, XP_005845962.1, XP_005846079.1
OG0000024	scaffold2.g7134.t1	XP_005848195.1, XP_005844521.1, XP_005844034.1, XP_005843521.1, XP_005849248.1, XP_005851469.1, XP_005844033.1, XP_005852265.1, XP_005843727.1, XP_005847991.1, XP_005843197.1
OG0000025	scaffold21.g2183.t1	XP_005846834.1
OG0000025	scaffold14.g1127.t1, scaffold29.g5947.t1	XP_005851991.1, XP_005850391.1, XP_005849172.1
OG0000025	scaffold4.g4862.t1	XP_005845012.1
OG0000030	scaffold14.g1160.t1	XP_005848732.1
OG0000030	scaffold1.g5289.t1	XP_005851069.1
OG0000030	scaffold12.g8257.t1	XP_005843734.1
OG0000031	scaffold2.g7252.t1, scaffold25.g5109.t1	XP_005846045.1
OG0000031	scaffold20.g7840.t1, scaffold2.g7253.t1	XP_005843386.1
OG0000031	scaffold2.g6947.t1	XP_005845648.1
OG0000032	scaffold3.g6605.t1	XP_005847190.1
OG0000035	scaffold1.g5602.t1	XP_005851604.1
OG0000035	scaffold14.g1284.t1	XP_005846442.1
OG0000035	scaffold12.g8277.t1	XP_005851603.1
OG0000037	scaffold5.g879.t1, scaffold5.g888.t1	XP_005849659.1
OG0000037	scaffold53.g4536.t1, scaffold42.g4469.t1	YP_004347745.1, XP_005849913.1
OG0000037	scaffold20.g7767.t1	XP_005845536.1
OG0000038	scaffold7.g3762.t1	XP_005843853.1
OG0000040	scaffold2.g6952.t1	XP_005845715.1
OG0000040	scaffold23.g4092.t1, scaffold16.g118.t1	XP_005842791.1
OG0000040	scaffold4.g4783.t1	XP_005845876.1, XP_005847722.1
OG0000042	scaffold23.g4174.t1, scaffold318.g5142.t1, scaffold2.g7123.t1, scaffold9.g3314.t1, scaffold241.g5079.t1, scaffold2.g7093.t1, scaffold2.g7124.t1, scaffold14.g1186.t1	XP_005843633.1, XP_005843100.1, XP_005842784.1
OG0000042	scaffold6.g2495.t1, scaffold2.g7122.t1, scaffold8.g1731.t1	XP_005843536.1
OG0000042	scaffold36.g5061.t1, scaffold27.g6006.t1	XP_005844315.1
OG0000043	scaffold9.g3233.t1	XP_005843524.1, XP_005843312.1, XP_005843034.1, XP_005847924.1, XP_005847157.1, XP_005847646.1, XP_005843495.1
OG0000046	scaffold13.g353.t1	XP_005844605.1
OG0000046	scaffold13.g346.t1	XP_005843816.1, XP_005844507.1
OG0000048	scaffold2.g7380.t1	XP_005844087.1
OG0000048	scaffold14.g1178.t1	XP_005842614.1, XP_005842687.1, XP_005842798.1, XP_005843036.1, XP_005842883.1, XP_005848360.1, XP_005842870.1, XP_005842880.1, XP_005847112.1, XP_005847111.1, XP_005843302.1, XP_005842868.1
OG0000049	scaffold25.g5108.t1	XP_005849431.1
OG0000049	scaffold25.g5122.t1	XP_005849226.1
OG0000049	scaffold25.g5120.t1, scaffold25.g5123.t1	XP_005849436.1
