#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAI3428014.1                 -           2665 9421at3041           -            141   1.8e-17   62.9  21.2   1   3    0.0022       2.1    7.6   0.9    93   134   254   295   237   310 0.77 -
KAI3428014.1                 -           2665 9421at3041           -            141   1.8e-17   62.9  21.2   2   3   2.4e-08   2.3e-05   23.7   4.0    96   137  1836  1880  1833  1884 0.85 -
KAI3428014.1                 -           2665 9421at3041           -            141   1.8e-17   62.9  21.2   3   3   8.6e-14     8e-11   41.3   1.9    97   132  2119  2154  2108  2160 0.89 -
SIDB01000012.1219487.1225969 -           1266 9421at3041           -            141   5.9e-05   22.3   0.3   1   1   1.3e-07   0.00012   21.3   0.3    91   131   521   561   476   569 0.79 -
KAI3431320.1                 -            217 9421at3041           -            141   8.4e-05   21.8   0.8   1   1   1.5e-07   0.00014   21.1   0.8    95   136   162   204   142   209 0.82 -
KAI3434841.1                 -           1954 9421at3041           -            141   0.00064   19.0   0.0   1   1   1.4e-06    0.0013   18.0   0.0     5    70  1107  1191  1103  1208 0.70 -
KAI3434842.1                 -           1966 9421at3041           -            141   0.00064   19.0   0.0   1   1   1.4e-06    0.0013   18.0   0.0     5    70  1107  1191  1103  1208 0.70 -
KAI3432809.1                 -            843 9421at3041           -            141    0.0045   16.2   3.7   1   2     0.044        41    3.4   1.1    97   131   160   195   131   213 0.80 -
KAI3432809.1                 -            843 9421at3041           -            141    0.0045   16.2   3.7   2   2   5.2e-05     0.049   12.9   0.1    27    64   252   290   240   332 0.82 -
KAI3436548.1                 -           1764 9421at3041           -            141    0.0046   16.2   0.7   1   1     5e-06    0.0046   16.2   0.7    92   133   432   473   425   487 0.68 -
KAI3437957.1                 -           2580 9421at3041           -            141     0.027   13.7  18.2   1   4      0.27   2.6e+02    0.8   1.5   114   132   558   576   533   593 0.75 -
KAI3437957.1                 -           2580 9421at3041           -            141     0.027   13.7  18.2   2   4    0.0023       2.1    7.6   1.6   112   132  1505  1525  1489  1532 0.87 -
KAI3437957.1                 -           2580 9421at3041           -            141     0.027   13.7  18.2   3   4   9.2e-05     0.085   12.1   0.3    89   132  1632  1675  1618  1683 0.78 -
KAI3437957.1                 -           2580 9421at3041           -            141     0.027   13.7  18.2   4   4      0.21   1.9e+02    1.2   0.0    94   133  2085  2124  2070  2132 0.83 -
KAI3425891.1                 -            933 9421at3041           -            141     0.077   12.2   0.1   1   1   0.00018      0.17   11.1   0.1    97   135   265   304   255   310 0.75 -
KAI3431741.1                 -           1922 9421at3041           -            141      0.53    9.5   4.3   1   2   0.00016      0.15   11.3   0.7    95   131   548   584   515   601 0.70 -
KAI3431741.1                 -           1922 9421at3041           -            141      0.53    9.5   4.3   2   2       3.9   3.6e+03   -2.9   0.2   114   132   630   648   624   654 0.84 -
KAI3438557.1                 -           1942 9421at3041           -            141       1.3    8.2   6.2   1   2   0.00011     0.099   11.9   0.5    71   133   824   886   813   902 0.75 -
KAI3438557.1                 -           1942 9421at3041           -            141       1.3    8.2   6.2   2   2       2.9   2.7e+03   -2.5   0.8   119   134  1829  1844  1812  1848 0.83 -
KAI3430774.1                 -           3041 9421at3041           -            141       2.6    7.3  10.3   1   2       8.3   7.7e+03   -4.0   0.9   117   127  1317  1329  1312  1334 0.74 -
KAI3430774.1                 -           3041 9421at3041           -            141       2.6    7.3  10.3   2   2   4.2e-05      0.04   13.2   2.8    99   132  2968  3001  2962  3019 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/9421at3041.hmm
# Target file:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta
# Option settings: hmmsearch --domtblout /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/Busco_vulgaris/run_chlorophyta_odb10/hmmer_output/initial_run_results/9421at3041.out --cpu 1 /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/9421at3041.hmm /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta 
# Current dir:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco
# Date:            Fri Jul 22 15:42:03 2022
# [ok]
