Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_A99_genome_proteins
OG0000001	PRW44897.1	scaffold15.g4297.t1
OG0000002	PRW61566.1, PRW61567.1	scaffold14.g1341.t1
OG0000004	PRW60518.1	scaffold7.g3553.t1, scaffold7.g3547.t1
OG0000005	PRW57849.1, PRW44271.1	scaffold5.g723.t1
OG0000006	PRW50900.1	scaffold14.g1226.t1, scaffold14.g1245.t1, scaffold7.g3645.t1, scaffold7.g3571.t1, scaffold7.g3511.t1, scaffold7.g3546.t1, scaffold7.g3528.t1, scaffold7.g3599.t1
OG0000008	PRW33013.1, PRW32851.1, PRW57273.1	scaffold7.g3601.t1
OG0000008	PRW57296.1, PRW32932.1	scaffold7.g3582.t1
OG0000008	PRW32923.1	scaffold7.g3513.t1
OG0000008	PRW57495.1	scaffold7.g3594.t1
OG0000008	PRW57322.1	scaffold7.g3529.t1
OG0000009	PRW56936.1, PRW32997.1, PRW57308.1, PRW56937.1, PRW33046.1, PRW33072.1, PRW56968.1, PRW57408.1, PRW32979.1, PRW20324.1, PRW33081.1, PRW57429.1, PRW57107.1	scaffold14.g1227.t1, scaffold7.g3554.t1, scaffold7.g3570.t1, scaffold7.g3600.t1, scaffold7.g3644.t1, scaffold7.g3593.t1
OG0000010	PRW60753.1, PRW59695.1, PRW58582.1, PRW56397.1, PRW45268.1, PRW45267.1	scaffold2.g6818.t1, scaffold9.g3010.t1, scaffold16.g46.t1, scaffold9.g3009.t1, scaffold16.g47.t1, scaffold7.g3432.t1, scaffold20.g7655.t1, scaffold3.g6691.t1
OG0000011	PRW58506.1	scaffold19.g1876.t1
OG0000011	PRW56453.1	scaffold29.g5950.t1, scaffold3.g6663.t1, scaffold10.g2394.t1, scaffold5.g760.t1
OG0000014	PRW45725.1	scaffold13.g355.t1
OG0000014	PRW20255.1	scaffold10.g2399.t1, scaffold30.g4457.t1, scaffold8.g1714.t1, scaffold4.g4700.t1, scaffold8.g1698.t1, scaffold8.g1696.t1, scaffold8.g1728.t1, scaffold8.g1706.t1, scaffold8.g1713.t1, scaffold8.g1707.t1, scaffold8.g1717.t1, scaffold8.g1704.t1, scaffold8.g1737.t1, scaffold8.g1729.t1, scaffold2.g6940.t1, scaffold8.g1738.t1, scaffold5.g648.t1, scaffold5.g639.t1, scaffold5.g669.t1, scaffold23.g4094.t1, scaffold5.g622.t1, scaffold5.g734.t1, scaffold5.g736.t1, scaffold5.g710.t1, scaffold5.g676.t1, scaffold5.g653.t1, scaffold8.g1679.t1, scaffold8.g1680.t1, scaffold23.g4113.t1, scaffold8.g1709.t1, scaffold23.g4121.t1, scaffold23.g4089.t1, scaffold8.g1694.t1, scaffold23.g4086.t1
OG0000015	PRW57245.1	scaffold1.g5297.t1
OG0000019	PRW44257.1	scaffold2.g6946.t1
OG0000021	PRW33522.1, PRW33901.1, PRW33856.1	scaffold4.g5023.t1, scaffold2.g7439.t1
OG0000021	PRW39362.1	scaffold10.g2361.t1
OG0000021	PRW21126.1	scaffold34.g4499.t1, scaffold34.g4500.t1, scaffold26.g3343.t1
OG0000022	PRW21073.1	scaffold15.g4350.t1
OG0000023	PRW20503.1, PRW45379.1, PRW45644.1, PRW55998.1	scaffold2.g7134.t1
OG0000025	PRW61474.1	scaffold2.g6952.t1
OG0000025	PRW58220.1	scaffold2.g7449.t1
OG0000025	PRW33672.1	scaffold4.g4783.t1
OG0000025	PRW33669.1	scaffold16.g118.t1, scaffold23.g4092.t1
OG0000026	PRW45604.1, PRW45530.1, PRW57488.1, PRW45427.1, PRW45707.1, PRW56577.1, PRW56392.1, PRW45737.1, PRW21008.1	scaffold14.g1127.t1, scaffold29.g5947.t1
OG0000031	PRW58127.1	scaffold1.g5289.t1
OG0000031	PRW20326.1	scaffold12.g8257.t1
OG0000031	PRW51017.1, PRW51016.1, PRW51015.1	scaffold14.g1160.t1
OG0000032	PRW56132.1, PRW33982.1, PRW58089.1, PRW45185.1, PRW58293.1, PRW57219.1	scaffold23.g4187.t1
OG0000032	PRW57115.1	scaffold6.g2820.t1, scaffold4.g4873.t1, scaffold11.g4061.t1, scaffold4.g4870.t1, scaffold11.g4034.t1, scaffold4.g4868.t1, scaffold11.g4019.t1, scaffold4.g4897.t1, scaffold2.g7080.t1
OG0000033	PRW60879.1	scaffold2.g6947.t1
OG0000033	PRW33008.1	scaffold20.g7840.t1, scaffold2.g7253.t1
OG0000037	PRW60763.1, PRW58370.1	scaffold12.g8277.t1
OG0000037	PRW32837.1, PRW33070.1, PRW60633.1	scaffold14.g1284.t1
OG0000040	PRW20764.1	scaffold7.g3762.t1
OG0000042	PRW33787.1	scaffold23.g4112.t1, scaffold5.g946.t1, scaffold13.g356.t1, scaffold1.g5525.t1, scaffold1.g5524.t1, scaffold4.g4861.t1, scaffold14.g1329.t1, scaffold4.g4716.t1, scaffold4.g4715.t1, scaffold4.g4723.t1, scaffold1.g5857.t1, scaffold11.g4030.t1, scaffold13.g313.t1, scaffold11.g3912.t1, scaffold11.g3904.t1, scaffold11.g3939.t1, scaffold10.g2397.t1, scaffold2.g7359.t1, scaffold7.g3733.t1, scaffold2.g6907.t1, scaffold16.g61.t1
OG0000044	PRW56763.1	scaffold9.g3233.t1
