#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAI3436300.1               -            389 2581at3041           -            308  4.2e-149  495.1  19.4   1   1  6.1e-152  5.2e-149  494.8  19.4     5   308    63   381    59   381 0.95 -
KAI3428202.1               -            398 2581at3041           -            308   6.7e-80  267.8  12.7   1   1   9.6e-83   8.3e-80  267.5  12.7    26   306    95   386    68   388 0.88 -
KAI3439127.1               -            453 2581at3041           -            308   7.7e-71  238.0  15.1   1   1   1.2e-73   9.9e-71  237.7  15.1    25   308   104   402    86   402 0.89 -
KAI3438507.1               -            405 2581at3041           -            308   2.4e-24   85.3  19.9   1   1   3.4e-27     3e-24   85.0  19.9    20   307     2   298     1   299 0.88 -
KAI3437674.1               -            506 2581at3041           -            308   1.4e-13   50.0  18.4   1   1   2.3e-16     2e-13   49.5  18.4    21   304    23   312    11   316 0.74 -
KAI3438915.1               -            356 2581at3041           -            308   7.5e-12   44.3  20.6   1   1   1.2e-14     1e-11   43.8  20.6    20   303    13   302     2   307 0.80 -
KAI3430387.1               -            410 2581at3041           -            308   1.6e-10   39.9  10.2   1   1   2.8e-13   2.4e-10   39.3  10.2    14   306    51   352    40   354 0.82 -
KAI3432322.1               -            290 2581at3041           -            308     7e-10   37.8  10.2   1   1     1e-12   8.7e-10   37.5  10.2    91   305    35   252     6   255 0.78 -
KAI3426857.1               -            355 2581at3041           -            308   8.7e-08   30.9  16.9   1   1   1.8e-10   1.6e-07   30.1  16.9    38   306    28   302    11   304 0.81 -
KAI3428502.1               -            427 2581at3041           -            308   2.5e-06   26.1  15.1   1   1   3.8e-09   3.3e-06   25.7  15.1    23   306    84   375    68   377 0.80 -
KAI3425899.1               -            355 2581at3041           -            308   5.5e-06   25.0  12.8   1   1   8.4e-09   7.2e-06   24.6  12.8    41   306    26   301    10   303 0.76 -
KAI3431629.1               -            353 2581at3041           -            308   1.2e-05   23.9  13.1   1   1   1.7e-08   1.5e-05   23.6  13.1    42   304     7   270     1   274 0.79 -
SIDB01000005.217153.219051 -            360 2581at3041           -            308   4.7e-05   21.9  11.3   1   2      0.41   3.5e+02   -0.6   0.2    24    50    23    49    13    82 0.70 -
SIDB01000005.217153.219051 -            360 2581at3041           -            308   4.7e-05   21.9  11.3   2   2   5.5e-08   4.7e-05   21.9  11.3    92   282   117   316   108   333 0.75 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/2581at3041.hmm
# Target file:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta
# Option settings: hmmsearch --domtblout /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/Busco_vulgaris/run_chlorophyta_odb10/hmmer_output/initial_run_results/2581at3041.out --cpu 1 /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/2581at3041.hmm /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta 
# Current dir:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco
# Date:            Fri Jul 22 15:33:43 2022
# [ok]
