# BUSCO version is: 5.3.2 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Complete	KAI3432839.1	4182.0	1998	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	KAI3434652.1	2188.7	1175	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	KAI3430223.1	2417.4	1581	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	KAI3432267.1	2447.3	1426	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	KAI3428126.1	1345.0	2086	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	KAI3430287.1	1523.7	1416	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	KAI3423799.1	1607.5	1006	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	KAI3429690.1	1473.2	822	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	KAI3426103.1	1660.3	911	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	KAI3433704.1	1424.9	887	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	KAI3432423.1	1765.4	1078	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	KAI3431603.1	4357.7	4598	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	KAI3434550.1	2118.3	1867	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	KAI3438655.1	1672.1	1048	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	KAI3437601.1	1164.9	687	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	KAI3428010.1	1765.3	926	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Duplicated	KAI3430741.1	1618.9	898	https://www.orthodb.org/v10?query=142at3041	Exportin-1
142at3041	Duplicated	KAI3430740.1	1617.8	898	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	KAI3428147.1	1491.7	822	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	KAI3437806.1	1629.5	998	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	KAI3435939.1	1073.9	619	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	KAI3436727.1	1357.4	668	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	KAI3434899.1	1064.8	775	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	SIDB01000007.1406040.1413021	973.7	633	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	KAI3434460.1	1373.3	706	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	KAI3438003.1	1147.8	682	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	KAI3435597.1	1350.3	825	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	KAI3423826.1	1218.8	918	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	KAI3427953.1	1282.1	801	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	KAI3427088.1	2245.7	2074	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	KAI3434498.1	1437.7	853	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	KAI3434539.1	1177.5	604	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	KAI3437562.1	884.0	967	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	KAI3434974.1	838.5	651	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	KAI3429822.1	1187.2	867	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	KAI3428693.1	855.5	677	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	KAI3438320.1	1311.9	1018	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	KAI3438237.1	1327.8	771	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	KAI3434806.1	1385.1	781	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
