#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
XP_005850901.1       -            842 171at3041            -            669         0 1368.1  17.1   1   2         0         0 1290.2  12.4     1   630    22   735    22   749 0.94 -
XP_005850901.1       -            842 171at3041            -            669         0 1368.1  17.1   2   2     1e-21   2.3e-19   68.0   0.1   625   669   752   796   743   796 0.95 -
XP_005842935.1       -            496 171at3041            -            669  2.2e-125  418.4   0.0   1   1  3.9e-127  8.9e-125  416.4   0.0   192   628     4   495     1   496 0.88 -
XP_005850507.1       -            882 171at3041            -            669  1.3e-121  405.9   0.0   1   1  7.5e-122  1.7e-119  398.9   0.0   177   628   241   750   238   762 0.86 -
XP_005843951.1       -            549 171at3041            -            669  1.6e-107  359.3   0.0   1   1  1.5e-108  3.5e-106  354.9   0.0   184   660     6   541     3   548 0.88 -
XP_005849833.1       -            400 171at3041            -            669   3.8e-66  222.7   1.6   1   2   4.5e-21     1e-18   65.9   0.1   176   236   131   191   119   192 0.93 -
XP_005849833.1       -            400 171at3041            -            669   3.8e-66  222.7   1.6   2   2     1e-50   2.4e-48  163.8   0.2   444   635   172   367   171   385 0.92 -
XP_005846786.1       -            350 171at3041            -            669   4.1e-63  212.6   1.5   1   2     6e-32   1.4e-29  101.8   0.1   194   289   104   199    89   200 0.93 -
XP_005846786.1       -            350 171at3041            -            669   4.1e-63  212.6   1.5   2   2   9.9e-37   2.2e-34  117.7   0.1   468   651   151   339   149   347 0.88 -
XP_005847233.1       -            430 171at3041            -            669   2.6e-61  206.7   4.7   1   2   3.8e-33   8.6e-31  105.8   0.3   179   291   174   286   156   294 0.93 -
XP_005847233.1       -            430 171at3041            -            669   2.6e-61  206.7   4.7   2   2   1.3e-34     3e-32  110.6   0.5   467   642   235   414   234   425 0.91 -
XP_005844590.1       -            430 171at3041            -            669   1.9e-58  197.2   0.0   1   2     2e-39   4.5e-37  126.6   0.0   177   337   165   332   161   334 0.90 -
