Orthogroup	m_conductrix_genome_proteins	c_sorokiniana_genome_proteins
OG0000001	PSC67170.1	PRW33016.1
OG0000001	PSC70961.1, PSC70962.1	PRW44897.1
OG0000002	PSC69335.1, PSC67096.1	PRW61031.1, PRW58690.1, PRW60221.1
OG0000002	PSC69379.1, PSC68653.1, PSC67207.1, PSC67713.1, PSC76226.1, PSC76225.1, PSC75096.1, PSC68713.1, PSC67759.1, PSC67744.1, PSC67600.1, PSC69326.1, PSC74416.1, PSC67044.1, PSC74555.1, PSC67725.1, PSC67019.1, PSC74768.1, PSC67580.1, PSC67599.1, PSC68659.1, PSC67063.1, PSC67030.1, PSC73936.1, PSC67709.1, PSC67710.1, PSC68225.1, PSC69623.1, PSC76734.1, PSC67010.1, PSC67032.1, PSC67003.1, PSC75691.1, PSC67636.1, PSC75692.1, PSC68535.1	PRW61567.1, PRW61566.1
OG0000004	PSC71135.1, PSC68309.1	PRW57428.1, PRW57192.1, PRW57380.1
OG0000004	PSC68361.1, PSC71032.1	PRW57150.1
OG0000004	PSC71170.1	PRW32917.1
OG0000004	PSC72335.1	PRW32916.1
OG0000004	PSC67885.1	PRW57532.1
OG0000005	PSC74167.1	PRW57849.1, PRW44271.1
OG0000005	PSC74168.1	PRW44985.1
OG0000005	PSC70242.1	PRW33991.1
OG0000006	PSC71104.1, PSC71088.1	PRW57065.1, PRW57021.1, PRW20423.1, PRW32953.1, PRW32875.1, PRW56969.1, PRW20373.1, PRW57122.1, PRW33066.1, PRW56948.1, PRW57339.1
OG0000006	PSC71227.1, PSC68329.1, PSC68321.1, PSC72080.1, PSC71167.1, PSC72071.1, PSC72098.1, PSC72210.1, PSC72168.1	PRW32926.1
OG0000008	PSC72315.1, PSC72134.1, PSC68331.1, PSC68365.1, PSC71283.1, PSC72316.1, PSC72209.1, PSC72107.1, PSC71158.1, PSC71210.1, PSC72154.1	PRW57429.1, PRW56937.1, PRW57408.1, PRW33072.1, PRW20324.1, PRW57308.1, PRW56936.1, PRW33046.1, PRW56968.1, PRW33081.1, PRW32997.1, PRW32979.1, PRW57107.1
OG0000008	PSC73921.1, PSC75933.1	PRW60378.1
OG0000009	PSC72060.1	PRW57167.1
OG0000009	PSC74522.1	PRW32923.1, PRW33013.1
OG0000009	PSC72279.1	PRW32932.1
OG0000009	PSC68336.1	PRW33065.1
OG0000009	PSC72310.1	PRW57322.1
OG0000010	PSC68096.1, PSC75343.1	PRW56397.1
OG0000010	PSC71318.1	PRW59695.1
OG0000010	PSC73416.1, PSC75050.1, PSC68081.1	PRW45267.1, PRW45268.1
OG0000011	PSC67610.1, PSC73305.1, PSC73306.1	PRW44256.1, PRW58506.1
OG0000014	PSC75847.1	PRW20255.1, PRW45725.1
OG0000015	PSC73768.1	PRW59527.1, PRW58153.1, PRW57045.1
OG0000015	PSC67771.1	PRW45638.1
OG0000015	PSC73546.1	PRW33966.1
OG0000016	PSC67495.1	PRW05921.1, PRW05910.1, PRW05902.1
OG0000019	PSC74002.1	PRW44257.1
OG0000019	PSC75324.1	PRW50812.1
OG0000020	PSC67560.1, PSC73204.1	PRW39187.1, PRW58101.1, PRW45161.1, PRW57589.1, PRW58358.1, PRW56662.1
OG0000020	PSC77018.1	PRW20905.1, PRW20904.1, PRW60463.1, PRW60340.1, PRW60239.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1, PRW56827.1, PRW33756.1, PRW59495.1
OG0000021	PSC71778.1	PRW21126.1
OG0000021	PSC68117.1	PRW39362.1
OG0000021	PSC70082.1	PRW33522.1
OG0000022	PSC75755.1	PRW45511.1
OG0000022	PSC77010.1	PRW32643.1
OG0000022	PSC75388.1, PSC70833.1, PSC71860.1, PSC75505.1	PRW58888.1
OG0000023	PSC71672.1	PRW21073.1
OG0000024	PSC69133.1, PSC69134.1, PSC69132.1	PRW45644.1, PRW45379.1
OG0000024	PSC72580.1	PRW55998.1
