Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N3	n1	1.0	Non-Terminal	c_variabilis_genome_proteins_XP_005844990.1, c_vulgaris_genome_proteins_KAI3430925.1, c_vulgaris_genome_proteins_KAI3430922.1, c_vulgaris_genome_proteins_KAI3430919.1, c_vulgaris_genome_proteins_KAI3430916.1, c_vulgaris_genome_proteins_KAI3427444.1, c_vulgaris_genome_proteins_KAI3427296.1, c_vulgaris_genome_proteins_KAI3425114.1, c_vulgaris_genome_proteins_KAI3427282.1, c_vulgaris_genome_proteins_KAI3432207.1, c_vulgaris_genome_proteins_KAI3438346.1, c_vulgaris_genome_proteins_KAI3430935.1, c_vulgaris_genome_proteins_KAI3423534.1, c_vulgaris_genome_proteins_KAI3428385.1, c_vulgaris_genome_proteins_KAI3423134.1, c_vulgaris_genome_proteins_KAI3423713.1, c_vulgaris_genome_proteins_KAI3430949.1	c_variabilis_genome_proteins_XP_005844991.1, c_vulgaris_genome_proteins_KAI3438347.1, c_vulgaris_genome_proteins_KAI3429718.1, c_vulgaris_genome_proteins_KAI3430961.1, c_vulgaris_genome_proteins_KAI3423539.1, c_vulgaris_genome_proteins_KAI3429715.1, c_vulgaris_genome_proteins_KAI3432916.1, c_vulgaris_genome_proteins_KAI3423401.1, c_vulgaris_genome_proteins_KAI3428389.1, c_vulgaris_genome_proteins_KAI3430933.1, c_vulgaris_genome_proteins_KAI3433276.1, c_vulgaris_genome_proteins_KAI3423540.1, c_vulgaris_genome_proteins_KAI3429716.1, c_vulgaris_genome_proteins_KAI3425103.1, c_vulgaris_genome_proteins_KAI3432851.1, c_vulgaris_genome_proteins_KAI3428390.1, c_vulgaris_genome_proteins_KAI3423192.1, c_vulgaris_genome_proteins_KAI3432911.1, c_vulgaris_genome_proteins_KAI3428395.1, c_vulgaris_genome_proteins_KAI3428397.1, c_vulgaris_genome_proteins_KAI3433281.1, c_vulgaris_genome_proteins_KAI3425104.1, c_vulgaris_genome_proteins_KAI3438350.1, c_vulgaris_genome_proteins_KAI3432895.1, c_vulgaris_genome_proteins_KAI3428852.1, c_vulgaris_genome_proteins_KAI3432938.1, c_vulgaris_genome_proteins_KAI3430927.1, c_vulgaris_genome_proteins_KAI3428392.1, c_vulgaris_genome_proteins_KAI3428843.1, c_vulgaris_genome_proteins_KAI3434587.1, c_vulgaris_genome_proteins_KAI3425105.1, c_vulgaris_genome_proteins_KAI3423402.1, c_vulgaris_genome_proteins_KAI3432899.1, c_vulgaris_genome_proteins_KAI3432925.1, c_vulgaris_genome_proteins_KAI3438348.1, c_vulgaris_genome_proteins_KAI3430965.1, c_vulgaris_genome_proteins_KAI3430912.1, c_vulgaris_genome_proteins_KAI3438369.1, c_vulgaris_genome_proteins_KAI3432900.1, c_vulgaris_genome_proteins_KAI3435607.1, c_vulgaris_genome_proteins_KAI3435608.1, c_vulgaris_genome_proteins_KAI3432935.1, c_vulgaris_genome_proteins_KAI3432942.1, c_vulgaris_genome_proteins_KAI3432928.1, c_vulgaris_genome_proteins_KAI3432903.1, c_vulgaris_genome_proteins_KAI3438368.1, c_vulgaris_genome_proteins_KAI3428848.1, c_vulgaris_genome_proteins_KAI3424479.1, c_vulgaris_genome_proteins_KAI3432923.1, c_vulgaris_genome_proteins_KAI3428846.1, c_vulgaris_genome_proteins_KAI3428847.1, c_vulgaris_genome_proteins_KAI3432945.1, c_vulgaris_genome_proteins_KAI3432908.1, c_vulgaris_genome_proteins_KAI3432915.1, c_vulgaris_genome_proteins_KAI3430964.1, c_vulgaris_genome_proteins_KAI3427447.1, c_vulgaris_genome_proteins_KAI3430942.1, c_vulgaris_genome_proteins_KAI3430938.1, c_vulgaris_genome_proteins_KAI3423133.1, c_vulgaris_genome_proteins_KAI3430914.1, c_vulgaris_genome_proteins_KAI3432931.1, c_vulgaris_genome_proteins_KAI3430951.1, c_vulgaris_genome_proteins_KAI3432907.1, c_vulgaris_genome_proteins_KAI3433275.1, c_vulgaris_genome_proteins_KAI3433279.1, c_vulgaris_genome_proteins_KAI3438353.1, c_vulgaris_genome_proteins_KAI3434588.1, c_vulgaris_genome_proteins_KAI3423711.1, c_vulgaris_genome_proteins_KAI3423538.1, c_vulgaris_genome_proteins_KAI3423537.1, c_vulgaris_genome_proteins_KAI3434584.1, c_vulgaris_genome_proteins_KAI3424484.1, c_vulgaris_genome_proteins_KAI3432919.1, c_vulgaris_genome_proteins_KAI3432921.1, c_vulgaris_genome_proteins_KAI3432912.1, c_vulgaris_genome_proteins_KAI3432917.1, c_vulgaris_genome_proteins_KAI3430909.1, c_vulgaris_genome_proteins_KAI3430946.1, c_vulgaris_genome_proteins_KAI3433272.1, c_vulgaris_genome_proteins_KAI3430926.1, c_vulgaris_genome_proteins_KAI3430920.1, c_vulgaris_genome_proteins_KAI3430923.1, c_vulgaris_genome_proteins_KAI3430917.1, c_vulgaris_genome_proteins_KAI3428391.1, c_vulgaris_genome_proteins_KAI3423189.1, c_vulgaris_genome_proteins_KAI3423132.1, c_vulgaris_genome_proteins_KAI3424483.1, c_vulgaris_genome_proteins_KAI3424480.1, c_vulgaris_genome_proteins_KAI3425110.1, c_vulgaris_genome_proteins_KAI3425115.1, c_vulgaris_genome_proteins_KAI3432896.1, c_vulgaris_genome_proteins_KAI3425113.1, c_vulgaris_genome_proteins_KAI3432904.1, c_vulgaris_genome_proteins_KAI3435609.1, c_vulgaris_genome_proteins_KAI3425109.1, c_vulgaris_genome_proteins_KAI3425111.1, c_vulgaris_genome_proteins_KAI3427297.1, c_vulgaris_genome_proteins_KAI3427449.1, c_vulgaris_genome_proteins_KAI3429717.1, c_vulgaris_genome_proteins_KAI3438343.1, c_vulgaris_genome_proteins_KAI3435611.1, c_vulgaris_genome_proteins_KAI3435610.1, c_vulgaris_genome_proteins_KAI3423542.1, c_vulgaris_genome_proteins_KAI3423292.1, c_vulgaris_genome_proteins_KAI3425116.1, c_vulgaris_genome_proteins_KAI3430950.1, c_vulgaris_genome_proteins_KAI3428387.1, c_vulgaris_genome_proteins_KAI3430948.1, c_vulgaris_genome_proteins_KAI3430931.1, c_vulgaris_genome_proteins_KAI3424486.1, c_vulgaris_genome_proteins_KAI3432913.1, c_vulgaris_genome_proteins_KAI3430962.1, c_vulgaris_genome_proteins_KAI3430963.1, c_vulgaris_genome_proteins_KAI3432922.1, c_vulgaris_genome_proteins_KAI3432924.1, c_vulgaris_genome_proteins_KAI3424487.1, c_vulgaris_genome_proteins_KAI3424482.1, c_vulgaris_genome_proteins_KAI3423712.1, c_vulgaris_genome_proteins_KAI3428402.1, c_vulgaris_genome_proteins_KAI3428386.1, c_vulgaris_genome_proteins_KAI3423289.1, c_vulgaris_genome_proteins_KAI3423397.1, c_vulgaris_genome_proteins_KAI3425108.1, c_vulgaris_genome_proteins_KAI3423191.1, c_vulgaris_genome_proteins_KAI3430968.1, c_vulgaris_genome_proteins_KAI3426513.1, c_vulgaris_genome_proteins_KAI3430939.1, c_vulgaris_genome_proteins_KAI3432934.1, c_vulgaris_genome_proteins_KAI3432898.1, c_vulgaris_genome_proteins_KAI3428845.1, c_vulgaris_genome_proteins_KAI3428851.1, c_vulgaris_genome_proteins_KAI3438371.1, c_vulgaris_genome_proteins_KAI3424488.1, c_vulgaris_genome_proteins_KAI3430944.1, c_vulgaris_genome_proteins_KAI3430958.1, c_vulgaris_genome_proteins_KAI3438344.1, c_vulgaris_genome_proteins_KAI3430956.1, c_vulgaris_genome_proteins_KAI3426514.1, c_vulgaris_genome_proteins_KAI3433277.1, c_vulgaris_genome_proteins_KAI3433283.1, c_vulgaris_genome_proteins_KAI3423536.1, c_vulgaris_genome_proteins_KAI3438366.1, c_vulgaris_genome_proteins_KAI3427285.1, c_vulgaris_genome_proteins_KAI3438356.1, c_vulgaris_genome_proteins_KAI3434589.1, c_vulgaris_genome_proteins_KAI3432910.1, c_vulgaris_genome_proteins_KAI3430930.1, c_vulgaris_genome_proteins_KAI3430955.1, c_vulgaris_genome_proteins_KAI3438360.1, c_vulgaris_genome_proteins_KAI3433278.1, c_vulgaris_genome_proteins_KAI3435613.1, c_vulgaris_genome_proteins_KAI3430945.1, c_vulgaris_genome_proteins_KAI3430953.1, c_vulgaris_genome_proteins_KAI3428394.1, c_vulgaris_genome_proteins_KAI3433273.1, c_vulgaris_genome_proteins_KAI3432937.1, c_vulgaris_genome_proteins_KAI3423399.1, c_vulgaris_genome_proteins_KAI3425107.1, c_vulgaris_genome_proteins_KAI3423398.1, c_vulgaris_genome_proteins_KAI3423135.1, c_vulgaris_genome_proteins_KAI3430911.1, c_vulgaris_genome_proteins_KAI3434585.1, c_vulgaris_genome_proteins_KAI3434586.1, c_vulgaris_genome_proteins_KAI3432918.1, c_vulgaris_genome_proteins_KAI3428398.1, c_vulgaris_genome_proteins_KAI3428849.1, c_vulgaris_genome_proteins_KAI3428396.1, c_vulgaris_genome_proteins_KAI3427284.1, c_vulgaris_genome_proteins_KAI3427290.1, c_vulgaris_genome_proteins_KAI3432941.1, c_vulgaris_genome_proteins_KAI3432927.1, c_vulgaris_genome_proteins_KAI3427289.1, c_vulgaris_genome_proteins_KAI3427295.1, c_vulgaris_genome_proteins_KAI3432902.1
OG0000000	c_vulgaris_genome_proteins	n3	1.0	Terminal	c_vulgaris_genome_proteins_KAI3430925.1, c_vulgaris_genome_proteins_KAI3430922.1, c_vulgaris_genome_proteins_KAI3430919.1, c_vulgaris_genome_proteins_KAI3430916.1, c_vulgaris_genome_proteins_KAI3427444.1, c_vulgaris_genome_proteins_KAI3427296.1, c_vulgaris_genome_proteins_KAI3425114.1, c_vulgaris_genome_proteins_KAI3427282.1, c_vulgaris_genome_proteins_KAI3432207.1, c_vulgaris_genome_proteins_KAI3438346.1, c_vulgaris_genome_proteins_KAI3430935.1	c_vulgaris_genome_proteins_KAI3423534.1, c_vulgaris_genome_proteins_KAI3428385.1, c_vulgaris_genome_proteins_KAI3423134.1, c_vulgaris_genome_proteins_KAI3423713.1, c_vulgaris_genome_proteins_KAI3430949.1
OG0000000	c_vulgaris_genome_proteins	n4	1.0	Terminal	c_vulgaris_genome_proteins_KAI3430925.1, c_vulgaris_genome_proteins_KAI3430922.1, c_vulgaris_genome_proteins_KAI3430919.1, c_vulgaris_genome_proteins_KAI3430916.1, c_vulgaris_genome_proteins_KAI3427444.1, c_vulgaris_genome_proteins_KAI3427296.1, c_vulgaris_genome_proteins_KAI3425114.1	c_vulgaris_genome_proteins_KAI3427282.1, c_vulgaris_genome_proteins_KAI3432207.1, c_vulgaris_genome_proteins_KAI3438346.1, c_vulgaris_genome_proteins_KAI3430935.1
OG0000000	c_vulgaris_genome_proteins	n5	1.0	Terminal	c_vulgaris_genome_proteins_KAI3430925.1, c_vulgaris_genome_proteins_KAI3430922.1, c_vulgaris_genome_proteins_KAI3430919.1, c_vulgaris_genome_proteins_KAI3430916.1, c_vulgaris_genome_proteins_KAI3427444.1	c_vulgaris_genome_proteins_KAI3427296.1, c_vulgaris_genome_proteins_KAI3425114.1
OG0000000	c_vulgaris_genome_proteins	n6	1.0	Terminal	c_vulgaris_genome_proteins_KAI3430925.1, c_vulgaris_genome_proteins_KAI3430922.1, c_vulgaris_genome_proteins_KAI3430919.1, c_vulgaris_genome_proteins_KAI3430916.1	c_vulgaris_genome_proteins_KAI3427444.1
OG0000000	c_vulgaris_genome_proteins	n7	1.0	Terminal	c_vulgaris_genome_proteins_KAI3430925.1, c_vulgaris_genome_proteins_KAI3430922.1, c_vulgaris_genome_proteins_KAI3430919.1	c_vulgaris_genome_proteins_KAI3430916.1
OG0000000	c_vulgaris_genome_proteins	n8	1.0	Terminal	c_vulgaris_genome_proteins_KAI3430925.1, c_vulgaris_genome_proteins_KAI3430922.1	c_vulgaris_genome_proteins_KAI3430919.1
OG0000000	c_vulgaris_genome_proteins	n9	1.0	Terminal	c_vulgaris_genome_proteins_KAI3430925.1	c_vulgaris_genome_proteins_KAI3430922.1
OG0000000	c_vulgaris_genome_proteins	n10	1.0	Terminal	c_vulgaris_genome_proteins_KAI3427296.1	c_vulgaris_genome_proteins_KAI3425114.1
OG0000000	c_vulgaris_genome_proteins	n11	1.0	Terminal	c_vulgaris_genome_proteins_KAI3427282.1	c_vulgaris_genome_proteins_KAI3432207.1, c_vulgaris_genome_proteins_KAI3438346.1, c_vulgaris_genome_proteins_KAI3430935.1
