#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAI3433717.1         -            986 363at3041            -            702         0 1225.7  10.1   1   3  9.6e-201  1.2e-197  657.5   5.7     1   333    99   471    99   501 0.90 -
KAI3433717.1         -            986 363at3041            -            702         0 1225.7  10.1   2   3   8.6e-77   1.1e-73  247.8   0.2   338   486   543   712   525   720 0.90 -
KAI3433717.1         -            986 363at3041            -            702         0 1225.7  10.1   3   3   3.4e-98   4.2e-95  318.6   0.0   481   702   737   983   732   983 0.90 -
KAI3430578.1         -            989 363at3041            -            702   6.6e-30  103.1   9.6   1   6   2.1e-17   2.6e-14   51.6   0.4    10   166    93   264    85   282 0.74 -
KAI3430578.1         -            989 363at3041            -            702   6.6e-30  103.1   9.6   2   6     0.003       3.7    4.7   0.1   225   251   286   312   280   321 0.83 -
KAI3430578.1         -            989 363at3041            -            702   6.6e-30  103.1   9.6   3   6   6.8e-06    0.0084   13.5   0.0   283   330   322   370   315   401 0.87 -
KAI3430578.1         -            989 363at3041            -            702   6.6e-30  103.1   9.6   4   6     0.016        20    2.3   0.1   337   361   470   492   459   506 0.82 -
KAI3430578.1         -            989 363at3041            -            702   6.6e-30  103.1   9.6   5   6     2e-08   2.5e-05   21.9   0.0   502   530   610   638   598   644 0.92 -
KAI3430578.1         -            989 363at3041            -            702   6.6e-30  103.1   9.6   6   6   0.00014      0.17    9.1   0.0   608   647   776   817   751   854 0.73 -
KAI3427978.1         -           1284 363at3041            -            702   6.5e-25   86.6   7.3   1   4   2.8e-18   3.4e-15   54.5   0.3     2   166   304   487   303   491 0.74 -
KAI3427978.1         -           1284 363at3041            -            702   6.5e-25   86.6   7.3   2   4   0.00039      0.49    7.7   0.3   281   320   559   599   519   611 0.83 -
KAI3427978.1         -           1284 363at3041            -            702   6.5e-25   86.6   7.3   3   4   2.4e-06     0.003   15.0   0.0   340   528   712   885   702   905 0.84 -
KAI3427978.1         -           1284 363at3041            -            702   6.5e-25   86.6   7.3   4   4    0.0016         2    5.6   0.0   607   640  1056  1089  1039  1112 0.80 -
KAI3432876.1         -           1045 363at3041            -            702   3.9e-21   74.1   3.1   1   6   1.4e-16   1.7e-13   48.9   0.1     7   165    97   268    93   287 0.82 -
KAI3432876.1         -           1045 363at3041            -            702   3.9e-21   74.1   3.1   2   6   0.00097       1.2    6.4   0.0   279   328   380   431   350   436 0.83 -
KAI3432876.1         -           1045 363at3041            -            702   3.9e-21   74.1   3.1   3   6      0.71   8.8e+02   -3.1   0.0   114   159   481   524   479   536 0.74 -
KAI3432876.1         -           1045 363at3041            -            702   3.9e-21   74.1   3.1   4   6    0.0069       8.6    3.6   0.0   342   362   535   555   525   569 0.82 -
KAI3432876.1         -           1045 363at3041            -            702   3.9e-21   74.1   3.1   5   6    0.0012       1.5    6.0   0.0   500   531   674   714   652   723 0.76 -
KAI3432876.1         -           1045 363at3041            -            702   3.9e-21   74.1   3.1   6   6    0.0045       5.6    4.2   0.0   605   638   839   872   817   907 0.83 -
KAI3433769.1         -           1126 363at3041            -            702   2.1e-15   55.2   2.6   1   4   4.8e-12   5.9e-09   33.8   0.1    22   165    36   196    15   210 0.69 -
KAI3433769.1         -           1126 363at3041            -            702   2.1e-15   55.2   2.6   2   4    0.0019       2.3    5.4   0.0   335   367   470   500   452   522 0.81 -
KAI3433769.1         -           1126 363at3041            -            702   2.1e-15   55.2   2.6   3   4   1.2e-05     0.014   12.7   0.1   501   534   618   651   607   675 0.80 -
KAI3433769.1         -           1126 363at3041            -            702   2.1e-15   55.2   2.6   4   4      0.21   2.6e+02   -1.3   0.0   607   634   783   810   775   877 0.61 -
KAI3437932.1         -            584 363at3041            -            702     7e-13   46.8   0.4   1   3   1.3e-07   0.00016   19.2   0.1    40   148    62   169    47   179 0.82 -
KAI3437932.1         -            584 363at3041            -            702     7e-13   46.8   0.4   2   3     5e-07   0.00062   17.2   0.0   504   531   348   375   343   385 0.90 -
KAI3437932.1         -            584 363at3041            -            702     7e-13   46.8   0.4   3   3   0.00067      0.83    6.9   0.0   606   646   504   544   488   578 0.77 -
KAI3434498.1         -           1083 363at3041            -            702   1.2e-12   46.1   0.1   1   4   8.8e-10   1.1e-06   26.3   0.0     6    84    26   104    23   118 0.83 -
KAI3434498.1         -           1083 363at3041            -            702   1.2e-12   46.1   0.1   2   4    0.0014       1.7    5.9   0.0   105   144   194   236   137   261 0.75 -
KAI3434498.1         -           1083 363at3041            -            702   1.2e-12   46.1   0.1   3   4    0.0073       9.1    3.5   0.0   502   532   716   746   708   783 0.81 -
KAI3434498.1         -           1083 363at3041            -            702   1.2e-12   46.1   0.1   4   4    0.0037       4.6    4.5   0.0   608   645   856   895   849   947 0.71 -
KAI3436195.1         -            617 363at3041            -            702    0.0023   15.4   0.0   1   2   0.00035      0.44    7.8   0.0    45   112   120   187   105   190 0.89 -
KAI3436195.1         -            617 363at3041            -            702    0.0023   15.4   0.0   2   2     0.002       2.5    5.3   0.0   499   531   363   395   349   429 0.89 -
KAI3430770.1         -           1043 363at3041            -            702    0.0023   15.3   0.0   1   1   2.9e-06    0.0036   14.7   0.0    53    99   240   286   217   354 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/363at3041.hmm
# Target file:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta
# Option settings: hmmsearch --domtblout /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/Busco_vulgaris/run_chlorophyta_odb10/hmmer_output/initial_run_results/363at3041.out --cpu 1 /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/363at3041.hmm /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta 
# Current dir:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco
# Date:            Fri Jul 22 15:35:23 2022
# [ok]
