Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000001	PSC70182.1, PSC67170.1, PSC74508.1, PSC68796.1, PSC76136.1, PSC76202.1, PSC71093.1, PSC67416.1, PSC67417.1, PSC74552.1, PSC70012.1, PSC68078.1, PSC75051.1, PSC75439.1, PSC67614.1, PSC73278.1, PSC72032.1, PSC75172.1, PSC75173.1, PSC75540.1, PSC75113.1, PSC68576.1, PSC72436.1, PSC67727.1, PSC73701.1, PSC69351.1, PSC69859.1, PSC75698.1, PSC75697.1, PSC68129.1, PSC70610.1, PSC74890.1, PSC73330.1, PSC71370.1, PSC74026.1, PSC75228.1, PSC69931.1, PSC74472.1, PSC74541.1, PSC70550.1, PSC75027.1, PSC74199.1, PSC74200.1, PSC68043.1, PSC68101.1, PSC67960.1, PSC71764.1, PSC72944.1, PSC68084.1, PSC76691.1, PSC71940.1, PSC69971.1, PSC76111.1, PSC75634.1, PSC72491.1, PSC74298.1, PSC70408.1, PSC71968.1, PSC75652.1, PSC68649.1, PSC74826.1, PSC73039.1, PSC67142.1, PSC69411.1, PSC68720.1, PSC68719.1, PSC72915.1, PSC73629.1, PSC67107.1, PSC68983.1, PSC71686.1, PSC76013.1, PSC74507.1, PSC73791.1, PSC73817.1, PSC73086.1, PSC67602.1, PSC71196.1, PSC71289.1, PSC67492.1, PSC68194.1, PSC67890.1, PSC67910.1, PSC75022.1, PSC74394.1, PSC71372.1, PSC70238.1, PSC68013.1, PSC76472.1, PSC70085.1, PSC76601.1, PSC67498.1, PSC76069.1, PSC70902.1, PSC76489.1, PSC73472.1, PSC67850.1, PSC73286.1, PSC70757.1, PSC70172.1, PSC67976.1, PSC75858.1, PSC68457.1, PSC74450.1, PSC68622.1, PSC67793.1, PSC70867.1, PSC67146.1	XP_005847914.1
OG0000002	PSC69335.1, PSC67096.1	XP_005848796.1, XP_005849439.1, XP_005843843.1, XP_005849438.1, XP_005842730.1, XP_005842564.1, XP_005848587.1
OG0000004	PSC71032.1, PSC71329.1, PSC71170.1, PSC71135.1, PSC72203.1	XP_005843639.1
OG0000004	PSC72265.1, PSC68334.1	XP_005847291.1
OG0000005	PSC74167.1	XP_005843500.1, XP_005844803.1, XP_005845485.1, XP_005846952.1, XP_005847493.1
OG0000005	PSC70242.1	XP_005847828.1
OG0000006	PSC69436.1	XP_005852170.1
OG0000006	PSC71088.1, PSC71104.1	XP_005847129.1, XP_005843702.1, XP_005843094.1
OG0000006	PSC68329.1, PSC71227.1, PSC68321.1, PSC71167.1, PSC72168.1, PSC72098.1, PSC72080.1, PSC72071.1, PSC72210.1	XP_005843638.1, XP_005843647.1
OG0000008	PSC71213.1	XP_005847450.1, XP_005846938.1
OG0000008	PSC72347.1, PSC72279.1, PSC71092.1, PSC68363.1, PSC72143.1	XP_005843707.1
OG0000008	PSC72310.1	XP_005843696.1
OG0000009	PSC72315.1, PSC72134.1, PSC71283.1, PSC68331.1, PSC68365.1, PSC72107.1, PSC72154.1, PSC71158.1, PSC71210.1, PSC72316.1, PSC72209.1, PSC75933.1, PSC73921.1	XP_005843694.1, XP_005843706.1, XP_005843643.1, XP_005846939.1, XP_005843134.1, XP_005843124.1
OG0000010	PSC71318.1, PSC76891.1	XP_005847441.1
OG0000010	PSC68096.1, PSC75343.1	XP_005850407.1, XP_005850406.1
OG0000010	PSC72894.1, PSC72893.1	XP_005850707.1
OG0000010	PSC68081.1	XP_005850412.1
OG0000011	PSC67610.1, PSC73305.1, PSC73306.1	XP_005843132.1, XP_005843130.1, XP_005843129.1, XP_005843699.1, XP_005843126.1, XP_005843646.1, XP_005843131.1, XP_005843709.1, XP_005843650.1, XP_005843644.1, XP_005843649.1, XP_005843098.1, XP_005843637.1
OG0000011	PSC67696.1	XP_005844733.1
OG0000015	PSC67771.1	XP_005850561.1
OG0000015	PSC73546.1	XP_005852287.1, XP_005847070.1, XP_005847472.1, XP_005850922.1, XP_005846738.1, XP_005850346.1
OG0000015	PSC73768.1	XP_005848826.1, XP_005848624.1, XP_005843588.1, XP_005847339.1, XP_005849910.1, XP_005848623.1, XP_005848827.1, XP_005847753.1, XP_005847071.1, XP_005850273.1
OG0000016	PSC67495.1	XP_005843185.1, XP_005843183.1
OG0000019	PSC74002.1	XP_005845649.1
OG0000019	PSC75324.1	XP_005847661.1, XP_005842724.1, XP_005846610.1, XP_005847755.1, XP_005845630.1, XP_005851528.1, XP_005846203.1, XP_005852300.1, XP_005851426.1, XP_005842989.1, XP_005845234.1, XP_005851404.1, XP_005848389.1, XP_005847915.1, XP_005850151.1, XP_005845970.1, XP_005851650.1, XP_005849864.1, XP_005846352.1, XP_005845506.1, XP_005850394.1, XP_005848688.1
OG0000020	PSC73204.1, PSC67560.1	XP_005848711.1
OG0000020	PSC77018.1	XP_005845588.1, XP_005845587.1, XP_005844722.1, XP_005844773.1, XP_005843490.1
OG0000021	PSC70082.1	XP_005845820.1
OG0000021	PSC68117.1	XP_005846125.1, XP_005850397.1
OG0000021	PSC71778.1	XP_005844764.1
OG0000021	PSC68562.1	XP_005851970.1
OG0000022	PSC71672.1	XP_005844756.1
OG0000022	PSC68771.1	XP_005847189.1
OG0000022	PSC72679.1	XP_005851357.1, XP_005844829.1, XP_005846080.1, XP_005846105.1, XP_005845948.1, XP_005845947.1, XP_005845945.1, XP_005845962.1, XP_005846074.1, XP_005845965.1, XP_005845963.1, XP_005846079.1, XP_005843455.1, XP_005845964.1, XP_005846078.1
OG0000023	PSC76211.1	XP_005849248.1, XP_005851469.1
OG0000023	PSC71709.1, PSC71250.1	XP_005852265.1, XP_005844033.1, XP_005847991.1, XP_005843521.1
OG0000023	PSC69133.1, PSC69134.1, PSC69132.1, PSC72580.1, PSC69137.1	XP_005844034.1, XP_005843727.1
OG0000023	PSC68456.1	XP_005843197.1
OG0000024	PSC75755.1	XP_005843051.1
OG0000024	PSC77010.1	XP_005843060.1, XP_005843085.1, XP_005843086.1, XP_005843055.1, XP_005846817.1, XP_005843056.1, XP_005843054.1, XP_005843058.1
OG0000025	PSC74046.1	XP_005845715.1
OG0000025	PSC76169.1	XP_005851635.1
OG0000025	PSC74912.1, PSC76673.1	XP_005845876.1
OG0000025	PSC74047.1	XP_005845768.1, XP_005842790.1, XP_005842681.1
OG0000026	PSC68631.1	XP_005846834.1
OG0000026	PSC74150.1, PSC74018.1, PSC74345.1, PSC67255.1, PSC75510.1	XP_005851991.1, XP_005850391.1
OG0000026	PSC76854.1	XP_005849172.1
OG0000028	PSC74578.1	XP_005845589.1, XP_005845031.1
OG0000029	PSC69773.1	XP_005842615.1, XP_005850762.1, XP_005845519.1, XP_005850528.1, XP_005843458.1, XP_005843447.1, XP_005842754.1, XP_005851042.1, XP_005847720.1, XP_005844673.1, XP_005846096.1, XP_005852046.1, XP_005846333.1, XP_005848398.1, XP_005850440.1, XP_005842673.1, XP_005842981.1, XP_005849107.1, XP_005844546.1, XP_005849189.1, XP_005843419.1, XP_005843452.1, XP_005849016.1
OG0000031	PSC75445.1	XP_005851069.1
OG0000031	PSC70423.1	XP_005848479.1
OG0000031	PSC74731.1	XP_005843734.1
OG0000031	PSC75952.1	XP_005848732.1
OG0000032	PSC69855.1	XP_005847288.1
OG0000033	PSC73989.1	XP_005845648.1
OG0000033	PSC74088.1	XP_005845612.1, XP_005845710.1
OG0000034	PSC75203.1	XP_005848147.1, XP_005851799.1, XP_005852139.1
OG0000034	PSC69079.1	XP_005851040.1
OG0000034	PSC69036.1	XP_005850760.1
OG0000034	PSC73918.1	XP_005848978.1
OG0000035	PSC69555.1	XP_005851083.1, XP_005844670.1, XP_005845033.1
OG0000035	PSC67144.1	XP_005843209.1
OG0000035	PSC74771.1, PSC74773.1	XP_005844674.1, XP_005843074.1, XP_005852310.1, XP_005851377.1, XP_005851084.1, XP_005851085.1, XP_005851383.1, XP_005845797.1
OG0000035	PSC70368.1	XP_005844128.1, XP_005842747.1
OG0000036	PSC71116.1	XP_005844823.1, XP_005844824.1
OG0000036	PSC74160.1	XP_005843280.1
OG0000037	PSC76707.1	XP_005851604.1
OG0000037	PSC67392.1, PSC67024.1, PSC71028.1	XP_005842825.1, XP_005851603.1, XP_005844000.1, XP_005844092.1, XP_005846442.1
OG0000038	PSC71479.1	XP_005850876.1
OG0000038	PSC73088.1	XP_005843698.1
OG0000038	PSC69092.1	XP_005844470.1
OG0000038	PSC76522.1	XP_005844469.1
OG0000038	PSC74020.1	XP_005844474.1, XP_005844472.1, XP_005846123.1, XP_005845576.1
OG0000040	PSC68793.1	XP_005843853.1
OG0000041	PSC76689.1	XP_005849058.1
OG0000041	PSC70148.1	XP_005847858.1
OG0000044	PSC72584.1	XP_005850306.1
OG0000044	PSC72525.1, PSC72526.1	XP_005850305.1
OG0000045	PSC67991.1	XP_005844605.1
OG0000045	PSC67952.1	XP_005844599.1, XP_005844510.1
OG0000045	PSC71916.1, PSC67962.1	XP_005843816.1, XP_005844507.1
OG0000046	PSC76097.1	XP_005843303.1
OG0000046	PSC75248.1, PSC70303.1, PSC74261.1	XP_005845628.1
OG0000048	PSC72551.1	XP_005848668.1, XP_005848670.1
OG0000049	PSC69102.1	XP_005849431.1
OG0000049	PSC69089.1, PSC69181.1, PSC69129.1	XP_005849436.1
OG0000051	PSC75643.1	XP_005842772.1
OG0000051	PSC70406.1, PSC70405.1	XP_005848471.1
OG0000051	PSC74693.1	XP_005850065.1, XP_005843891.1
OG0000052	PSC69473.1	XP_005847910.1
OG0000053	PSC76825.1	XP_005843048.1
OG0000054	PSC73287.1	XP_005844281.1
OG0000054	PSC70561.1	XP_005844197.1, XP_005844276.1
OG0000055	PSC69400.1	XP_005845298.1, XP_005851756.1, XP_005845426.1
OG0000055	PSC69377.1, PSC69376.1	XP_005851822.1
OG0000055	PSC68161.1	XP_005851238.1
OG0000056	PSC76396.1	XP_005849913.1
OG0000056	PSC72948.1, PSC73066.1	XP_005845536.1
OG0000057	PSC69656.1	XP_005850996.1, XP_005842654.1, XP_005850995.1, XP_005842566.1
OG0000057	PSC72637.1	XP_005850592.1, XP_005847290.1, XP_005850969.1
OG0000058	PSC75293.1	XP_005844489.1
OG0000059	PSC74182.1	XP_005845679.1
OG0000059	PSC74049.1	XP_005842866.1
OG0000060	PSC75854.1, PSC75765.1	XP_005843015.1, XP_005843014.1
OG0000060	PSC70063.1	XP_005845787.1
OG0000061	PSC71155.1	XP_005847147.1
OG0000061	PSC73672.1, PSC73671.1	XP_005848612.1
OG0000061	PSC74930.1	XP_005848615.1
OG0000062	PSC76977.1	XP_005848139.1
OG0000062	PSC67774.1	XP_005843178.1
OG0000063	PSC73178.1, PSC73177.1	XP_005849368.1
OG0000064	PSC72115.1	XP_005846850.1
OG0000064	PSC74270.1	XP_005843039.1
OG0000064	PSC70134.1	XP_005844636.1
OG0000065	PSC67563.1	XP_005851870.1
OG0000066	PSC69007.1	XP_005845861.1
OG0000066	PSC74727.1	XP_005847799.1
OG0000067	PSC74990.1	XP_005845131.1
OG0000068	PSC74192.1	XP_005845574.1
OG0000068	PSC74475.1	XP_005843102.1
OG0000068	PSC69541.1	XP_005852257.1
OG0000069	PSC68970.1, PSC71822.1, PSC68623.1, PSC68142.1, PSC68650.1	XP_005848368.1
OG0000069	PSC67013.1, PSC67576.1	XP_005848371.1, XP_005848367.1
OG0000070	PSC72055.1	XP_005849856.1
OG0000071	PSC69999.1, PSC70098.1	XP_005851773.1, XP_005846604.1, XP_005845814.1, XP_005845923.1, XP_005845813.1
OG0000072	PSC75375.1	XP_005848676.1
OG0000072	PSC75638.1	XP_005848674.1, XP_005848864.1
OG0000072	PSC75775.1	XP_005850380.1, XP_005848675.1
OG0000074	PSC67849.1	XP_005849558.1, XP_005849557.1
OG0000074	PSC74454.1	XP_005849560.1
OG0000075	PSC74606.1	XP_005843718.1
OG0000076	PSC75438.1	XP_005846653.1
OG0000076	PSC69356.1, PSC69403.1	XP_005849210.1
OG0000077	PSC67450.1	XP_005849036.1
OG0000077	PSC74536.1	XP_005848325.1, XP_005842817.1, XP_005848326.1, XP_005842829.1
OG0000078	PSC71311.1	XP_005845996.1, XP_005846024.1, XP_005844837.1
OG0000078	PSC69995.1	XP_005849400.1
OG0000078	PSC74397.1	XP_005843728.1
OG0000078	PSC74692.1	XP_005843668.1
OG0000079	PSC74164.1	XP_005851900.1
OG0000079	PSC76459.1	XP_005845446.1, XP_005845444.1, XP_005845443.1, XP_005845441.1
OG0000079	PSC76210.1	XP_005845447.1
OG0000079	PSC67722.1	XP_005845442.1
OG0000080	PSC67706.1, PSC74592.1	XP_005843875.1, XP_005843881.1, XP_005843878.1, XP_005843877.1, XP_005847911.1, XP_005843883.1, XP_005843876.1, XP_005843879.1, XP_005843880.1
OG0000080	PSC67708.1, PSC74591.1	XP_005843882.1
OG0000082	PSC72942.1, PSC76120.1, PSC67546.1, PSC75431.1, PSC72953.1, PSC72954.1, PSC76992.1, PSC67114.1, PSC68936.1	XP_005842793.1
OG0000083	PSC71369.1, PSC75545.1, PSC71320.1	XP_005847588.1
OG0000084	PSC76241.1	XP_005843640.1
OG0000084	PSC76723.1, PSC76641.1, PSC76484.1, PSC76479.1, PSC76478.1, PSC68448.1, PSC68424.1, PSC72986.1, PSC67187.1, PSC67264.1, PSC76237.1, PSC76236.1	XP_005848007.1
OG0000086	PSC74385.1, PSC74384.1	XP_005842827.1, XP_005843674.1
OG0000088	PSC77048.1	XP_005849744.1
OG0000088	PSC74206.1	XP_005842704.1
OG0000089	PSC69471.1, PSC69470.1	XP_005848082.1
OG0000089	PSC69503.1	XP_005847936.1
OG0000090	PSC72449.1, PSC72450.1	XP_005850232.1
OG0000090	PSC71636.1	XP_005850135.1
OG0000092	PSC75034.1	XP_005851990.1
OG0000092	PSC67689.1	XP_005846592.1
OG0000092	PSC74817.1	XP_005845071.1
OG0000093	PSC75060.1	XP_005852054.1, XP_005843061.1, XP_005852052.1
OG0000093	PSC68159.1	XP_005852053.1, XP_005851713.1
OG0000094	PSC73251.1	XP_005850766.1, XP_005843486.1, XP_005850765.1, XP_005844359.1
OG0000096	PSC67116.1	XP_005852164.1
OG0000096	PSC67092.1, PSC67064.1, PSC67061.1, PSC67145.1, PSC67883.1, PSC67062.1	XP_005850527.1
OG0000097	PSC73408.1, PSC73407.1	XP_005845008.1
OG0000097	PSC73461.1	XP_005845007.1
OG0000098	PSC69049.1	XP_005851021.1
OG0000098	PSC76028.1	XP_005851644.1
OG0000098	PSC73928.1	XP_005845180.1
OG0000099	PSC67206.1, PSC68470.1	XP_005842832.1
OG0000099	PSC76010.1	XP_005848110.1
