Orthogroup	a99_genome_proteins	c_sorokiniana_genome_proteins
OG0000001	scaffold1.g5704.t1	PRW33016.1, PRW32527.1
OG0000001	scaffold15.g4297.t1	PRW44897.1
OG0000002	scaffold14.g1341.t1	PRW61567.1, PRW61566.1
OG0000004	scaffold7.g3547.t1, scaffold7.g3553.t1	PRW60518.1
OG0000005	scaffold5.g723.t1	PRW57849.1, PRW44271.1
OG0000005	scaffold12.g8111.t1	PRW33991.1
OG0000006	scaffold7.g3528.t1, scaffold7.g3599.t1, scaffold7.g3546.t1, scaffold7.g3645.t1, scaffold7.g3571.t1, scaffold7.g3511.t1, scaffold14.g1226.t1, scaffold14.g1245.t1	PRW50900.1
OG0000008	scaffold7.g3644.t1, scaffold7.g3600.t1, scaffold7.g3570.t1, scaffold7.g3593.t1, scaffold7.g3554.t1, scaffold14.g1227.t1	PRW57429.1, PRW56937.1, PRW57408.1, PRW33072.1, PRW20324.1, PRW57308.1, PRW56936.1, PRW33046.1, PRW56968.1, PRW33081.1, PRW32997.1, PRW32979.1, PRW57107.1
OG0000009	scaffold12.g8226.t1, scaffold7.g3585.t1	PRW57167.1
OG0000009	scaffold7.g3591.t1, scaffold7.g3594.t1	PRW32923.1, PRW33013.1, PRW57495.1
OG0000009	scaffold7.g3529.t1	PRW57273.1
OG0000009	scaffold22.g6140.t1	PRW57296.1
OG0000010	scaffold16.g47.t1, scaffold7.g3432.t1, scaffold9.g3009.t1, scaffold16.g46.t1, scaffold20.g7655.t1, scaffold9.g3010.t1, scaffold2.g6818.t1, scaffold3.g6691.t1	PRW56397.1, PRW58582.1, PRW60753.1, PRW59695.1, PRW45267.1, PRW45268.1
OG0000011	scaffold3.g6663.t1, scaffold29.g5950.t1, scaffold10.g2394.t1, scaffold5.g760.t1	PRW56453.1
OG0000011	scaffold19.g1876.t1	PRW58506.1
OG0000014	scaffold10.g2399.t1	PRW20255.1
OG0000015	scaffold1.g5297.t1	PRW57245.1
OG0000019	scaffold2.g6946.t1	PRW44257.1
OG0000021	scaffold34.g4500.t1, scaffold26.g3343.t1	PRW21126.1
OG0000021	scaffold10.g2361.t1	PRW39362.1
OG0000021	scaffold4.g5023.t1, scaffold2.g7439.t1	PRW33856.1
OG0000021	scaffold1.g5875.t1	PRW33522.1, PRW33901.1
OG0000023	scaffold15.g4350.t1	PRW21073.1
OG0000024	scaffold2.g7134.t1	PRW20503.1, PRW45644.1, PRW45379.1, PRW55998.1
OG0000025	scaffold14.g1127.t1, scaffold29.g5947.t1	PRW45427.1, PRW45604.1, PRW45530.1, PRW57488.1, PRW45737.1, PRW56392.1, PRW56577.1, PRW45707.1, PRW21008.1
OG0000030	scaffold14.g1160.t1	PRW51015.1, PRW51016.1, PRW51017.1
OG0000030	scaffold1.g5289.t1	PRW58127.1
OG0000030	scaffold12.g8257.t1	PRW20326.1
OG0000031	scaffold20.g7840.t1, scaffold2.g7253.t1	PRW33008.1
OG0000031	scaffold2.g6947.t1	PRW60879.1
OG0000035	scaffold14.g1284.t1	PRW33070.1, PRW32837.1, PRW60633.1
OG0000035	scaffold12.g8277.t1	PRW60763.1, PRW58370.1
OG0000036	scaffold23.g4187.t1	PRW56132.1, PRW33982.1, PRW45185.1, PRW58293.1, PRW57219.1
OG0000036	scaffold2.g7080.t1, scaffold6.g2820.t1, scaffold4.g4897.t1, scaffold11.g4019.t1, scaffold4.g4873.t1, scaffold4.g4868.t1, scaffold11.g4061.t1, scaffold11.g4034.t1, scaffold4.g4870.t1	PRW57115.1
OG0000037	scaffold5.g879.t1, scaffold5.g888.t1	PRW44497.1
OG0000037	scaffold53.g4536.t1, scaffold42.g4469.t1	PRW59185.1, PRW59186.1
OG0000037	scaffold32.g3812.t1	PRW32982.1
OG0000038	scaffold7.g3762.t1	PRW20764.1
OG0000040	scaffold2.g6952.t1	PRW61474.1
OG0000040	scaffold23.g4092.t1, scaffold16.g118.t1	PRW33669.1
OG0000040	scaffold4.g4783.t1	PRW33672.1, PRW20825.1
OG0000043	scaffold9.g3233.t1	PRW56763.1
OG0000046	scaffold13.g353.t1	PRW20580.1
OG0000046	scaffold12.g8235.t1, scaffold13.g346.t1	PRW20481.1, PRW20571.1
OG0000048	scaffold2.g7380.t1, scaffold14.g1178.t1	PRW33060.1, PRW39120.1, PRW39118.1
OG0000049	scaffold25.g5108.t1	PRW57986.1
OG0000049	scaffold25.g5121.t1	PRW39333.1
OG0000049	scaffold25.g5120.t1, scaffold25.g5123.t1	PRW57916.1, PRW57724.1
OG0000051	scaffold1.g5290.t1	PRW58244.1
OG0000051	scaffold2.g6823.t1	PRW56493.1
