Orthogroup	m_conductrix_genome_proteins	a99_genome_proteins
OG0000001	PSC72944.1, PSC67170.1	scaffold1.g5704.t1
OG0000001	PSC70961.1, PSC70962.1	scaffold15.g4297.t1
OG0000002	PSC69379.1, PSC68653.1, PSC67207.1, PSC67713.1, PSC76226.1, PSC76225.1, PSC75096.1, PSC68713.1, PSC67759.1, PSC67744.1, PSC67600.1, PSC69326.1, PSC74416.1, PSC67044.1, PSC74555.1, PSC67725.1, PSC67019.1, PSC74768.1, PSC67580.1, PSC67599.1, PSC68659.1, PSC67063.1, PSC67030.1, PSC73936.1, PSC67709.1, PSC67710.1, PSC68225.1, PSC69623.1, PSC76734.1, PSC67010.1, PSC67032.1, PSC67003.1, PSC75691.1, PSC67636.1, PSC75692.1, PSC68535.1	scaffold14.g1341.t1
OG0000005	PSC74167.1	scaffold5.g723.t1
OG0000005	PSC70242.1	scaffold12.g8111.t1
OG0000006	PSC69436.1	scaffold16.g70.t1
OG0000008	PSC72315.1, PSC72134.1, PSC68331.1, PSC68365.1, PSC71283.1, PSC72316.1, PSC72209.1, PSC72107.1, PSC71158.1, PSC71210.1, PSC72154.1	scaffold7.g3644.t1, scaffold7.g3600.t1, scaffold7.g3570.t1, scaffold7.g3593.t1, scaffold7.g3554.t1, scaffold14.g1227.t1
OG0000009	PSC72060.1	scaffold12.g8226.t1, scaffold7.g3585.t1
OG0000009	PSC72347.1	scaffold7.g3582.t1
OG0000009	PSC74522.1	scaffold7.g3591.t1, scaffold7.g3594.t1
OG0000009	PSC71213.1	scaffold7.g3601.t1
OG0000010	PSC68096.1, PSC75343.1, PSC72894.1, PSC72893.1, PSC71318.1, PSC76891.1, PSC73416.1, PSC75050.1, PSC68081.1	scaffold16.g47.t1, scaffold7.g3432.t1, scaffold9.g3009.t1, scaffold16.g46.t1, scaffold20.g7655.t1, scaffold9.g3010.t1, scaffold2.g6818.t1, scaffold3.g6691.t1
OG0000011	PSC67696.1	scaffold24.g2985.t1, scaffold20.g7743.t1, scaffold20.g7808.t1, scaffold24.g2967.t1, scaffold24.g2953.t1, scaffold6.g2703.t1, scaffold20.g7717.t1, scaffold10.g2309.t1, scaffold24.g2947.t1
OG0000011	PSC67610.1, PSC73305.1, PSC73306.1	scaffold19.g1876.t1
OG0000014	PSC68771.1	scaffold13.g355.t1
OG0000014	PSC75847.1	scaffold10.g2399.t1
OG0000019	PSC74002.1	scaffold2.g6946.t1
OG0000021	PSC71778.1	scaffold34.g4500.t1, scaffold26.g3343.t1
OG0000021	PSC68117.1	scaffold10.g2361.t1
OG0000021	PSC70082.1	scaffold1.g5875.t1
OG0000021	PSC68562.1	scaffold11.g3886.t1, scaffold11.g3887.t1
OG0000023	PSC71672.1	scaffold15.g4350.t1
OG0000023	PSC72679.1	scaffold25.g5131.t1, scaffold15.g4230.t1
OG0000024	PSC76211.1, PSC71709.1, PSC71250.1, PSC69133.1, PSC69134.1, PSC69132.1, PSC72580.1, PSC69137.1, PSC68456.1	scaffold2.g7134.t1
OG0000025	PSC68631.1	scaffold21.g2183.t1
OG0000025	PSC67255.1, PSC74018.1, PSC74345.1, PSC74150.1, PSC75510.1, PSC76854.1	scaffold14.g1127.t1, scaffold29.g5947.t1
OG0000030	PSC75952.1	scaffold14.g1160.t1
OG0000030	PSC75445.1	scaffold1.g5289.t1
OG0000030	PSC74731.1	scaffold12.g8257.t1
OG0000031	PSC73989.1	scaffold2.g6947.t1
OG0000032	PSC73918.1	scaffold3.g6605.t1
OG0000035	PSC76707.1	scaffold1.g5602.t1
OG0000035	PSC71028.1, PSC67024.1, PSC67392.1	scaffold14.g1284.t1, scaffold12.g8277.t1
OG0000036	PSC70122.1	scaffold1.g5666.t1, scaffold6.g2812.t1, scaffold23.g4187.t1, scaffold2.g7080.t1, scaffold6.g2820.t1, scaffold4.g4897.t1, scaffold11.g4019.t1, scaffold4.g4873.t1, scaffold4.g4868.t1, scaffold11.g4061.t1, scaffold11.g4034.t1, scaffold4.g4870.t1
OG0000037	PSC76570.1	scaffold5.g879.t1, scaffold5.g888.t1
OG0000037	PSC76396.1	scaffold53.g4536.t1, scaffold42.g4469.t1
OG0000037	PSC72948.1, PSC73066.1	scaffold20.g7767.t1
OG0000038	PSC68793.1	scaffold7.g3762.t1
OG0000040	PSC74046.1	scaffold2.g6952.t1
OG0000040	PSC74912.1, PSC76673.1	scaffold4.g4783.t1
OG0000041	PSC73047.1	scaffold8.g1449.t1, scaffold7.g3697.t1, scaffold4.g4769.t1, scaffold15.g4358.t1, scaffold15.g4258.t1, scaffold7.g3706.t1, scaffold18.g2040.t1, scaffold9.g3149.t1, scaffold7.g3665.t1, scaffold8.g1401.t1, scaffold5.g868.t1, scaffold23.g4159.t1, scaffold2.g7446.t1, scaffold2.g7218.t1, scaffold7.g3708.t1, scaffold7.g3514.t1, scaffold13.g302.t1, scaffold13.g298.t1, scaffold13.g299.t1, scaffold20.g7699.t1, scaffold7.g3664.t1, scaffold7.g3663.t1
OG0000046	PSC67991.1	scaffold13.g353.t1
OG0000046	PSC71916.1, PSC67962.1	scaffold13.g346.t1
OG0000049	PSC69102.1	scaffold25.g5108.t1
OG0000049	PSC69089.1, PSC69129.1, PSC69181.1	scaffold25.g5120.t1, scaffold25.g5123.t1
OG0000051	PSC75643.1	scaffold1.g5290.t1
OG0000051	PSC74693.1	scaffold13.g405.t1, scaffold8.g1581.t1
OG0000052	PSC73613.1, PSC74551.1	scaffold26.g3362.t1, scaffold11.g4068.t1
OG0000052	PSC74792.1	scaffold26.g3342.t1, scaffold26.g3341.t1, scaffold26.g3340.t1
