Orthogroup	c_variabilis_genome_proteins	m_conductrix_genome_proteins
OG0000001	XP_005847914.1	PSC75051.1
OG0000001	XP_005842812.1	PSC70012.1, PSC75858.1, PSC75652.1, PSC67960.1, PSC68043.1, PSC74541.1, PSC74472.1, PSC70550.1, PSC75027.1, PSC73278.1, PSC68101.1, PSC71940.1, PSC76691.1, PSC74199.1, PSC74200.1, PSC69971.1, PSC75634.1, PSC72491.1, PSC76111.1, PSC69931.1, PSC74026.1, PSC75228.1, PSC68649.1, PSC67793.1, PSC74450.1, PSC76489.1, PSC67850.1, PSC73286.1, PSC70757.1, PSC70172.1, PSC74298.1, PSC67976.1, PSC68457.1, PSC71968.1, PSC70408.1, PSC71764.1, PSC68084.1, PSC75439.1, PSC73791.1, PSC70902.1, PSC70867.1, PSC67146.1, PSC73472.1, PSC68013.1, PSC76472.1, PSC70085.1, PSC76601.1, PSC71289.1, PSC71686.1, PSC74826.1, PSC76069.1, PSC74507.1, PSC76013.1, PSC69411.1, PSC68719.1, PSC68720.1, PSC67142.1, PSC72915.1, PSC73629.1, PSC67107.1, PSC67602.1, PSC68622.1, PSC67910.1, PSC74394.1, PSC70238.1, PSC71372.1, PSC67890.1, PSC75022.1, PSC67614.1, PSC67498.1, PSC68983.1, PSC67492.1, PSC73330.1, PSC74890.1, PSC68576.1, PSC75113.1, PSC73701.1, PSC75697.1, PSC75698.1, PSC68129.1, PSC72436.1, PSC75540.1, PSC69351.1, PSC69859.1, PSC75172.1, PSC75173.1, PSC72032.1, PSC67727.1, PSC70610.1, PSC73039.1, PSC73086.1, PSC73817.1, PSC71196.1, PSC68194.1, PSC71370.1, PSC71093.1, PSC76202.1, PSC76136.1, PSC70182.1, PSC68796.1, PSC74508.1, PSC74552.1, PSC67417.1, PSC67416.1
OG0000002	XP_005849439.1, XP_005843843.1, XP_005849438.1, XP_005842730.1, XP_005842564.1, XP_005848796.1, XP_005848587.1	PSC69335.1, PSC67096.1
OG0000004	XP_005843639.1	PSC71135.1, PSC68309.1
OG0000004	XP_005852293.1	PSC71170.1
OG0000004	XP_005843099.1	PSC71329.1
OG0000004	XP_005843701.1	PSC67885.1
OG0000004	XP_005847291.1	PSC72265.1
OG0000005	XP_005844803.1, XP_005845485.1, XP_005846952.1, XP_005847493.1	PSC74167.1
OG0000005	XP_005847828.1	PSC70242.1
OG0000006	XP_005843094.1, XP_005847129.1, XP_005843702.1	PSC71104.1, PSC71088.1
OG0000006	XP_005843647.1, XP_005843638.1	PSC71227.1, PSC68329.1, PSC68321.1, PSC72080.1, PSC71167.1, PSC72071.1, PSC72098.1, PSC72210.1, PSC72168.1
OG0000006	XP_005852170.1	PSC69436.1
OG0000008	XP_005843694.1, XP_005851845.1, XP_005846939.1, XP_005843134.1, XP_005843124.1, XP_005843643.1, XP_005843706.1	PSC72315.1, PSC72134.1, PSC68331.1, PSC68365.1, PSC71283.1, PSC72316.1, PSC72209.1, PSC72107.1, PSC71158.1, PSC71210.1, PSC72154.1, PSC73921.1, PSC75933.1
OG0000009	XP_005843707.1, XP_005846938.1, XP_005847450.1	PSC72060.1
OG0000009	XP_005843696.1	PSC74522.1
OG0000010	XP_005850407.1, XP_005850406.1	PSC68096.1, PSC75343.1
OG0000010	XP_005850707.1	PSC72894.1, PSC72893.1
OG0000010	XP_005847441.1	PSC71318.1, PSC76891.1
OG0000010	XP_005850412.1	PSC68081.1
OG0000011	XP_005844733.1	PSC67696.1
OG0000011	XP_005843129.1, XP_005843130.1, XP_005843132.1, XP_005843699.1, XP_005843126.1, XP_005843131.1, XP_005843709.1, XP_005843650.1, XP_005843646.1, XP_005843649.1, XP_005843644.1, XP_005843637.1, XP_005843098.1	PSC67610.1, PSC73305.1, PSC73306.1
OG0000015	XP_005847071.1, XP_005847753.1, XP_005850273.1	PSC73768.1
OG0000015	XP_005850561.1	PSC67771.1
OG0000015	XP_005852287.1, XP_005847070.1, XP_005847472.1, XP_005850922.1, XP_005846738.1, XP_005850346.1	PSC73546.1
OG0000016	XP_005843185.1, XP_005843183.1	PSC67495.1
OG0000019	XP_005845649.1	PSC74002.1
OG0000019	XP_005847661.1, XP_005851528.1, XP_005846203.1, XP_005842724.1, XP_005847755.1, XP_005846610.1, XP_005852300.1, XP_005851426.1, XP_005850151.1, XP_005845970.1, XP_005851650.1, XP_005849864.1, XP_005846352.1, XP_005850394.1, XP_005845506.1, XP_005851404.1, XP_005848389.1, XP_005847915.1, XP_005845234.1, XP_005842989.1, XP_005848688.1	PSC75324.1
OG0000020	XP_005848711.1	PSC67560.1, PSC73204.1
OG0000020	XP_005843490.1	PSC77018.1
OG0000021	XP_005844764.1	PSC71778.1
OG0000021	XP_005846125.1, XP_005850397.1	PSC68117.1
OG0000021	XP_005845820.1	PSC70082.1
OG0000021	XP_005851970.1	PSC68562.1
OG0000022	XP_005843051.1	PSC75755.1
OG0000022	XP_005843054.1, XP_005843056.1, XP_005843060.1, XP_005846817.1, XP_005843085.1, XP_005843055.1, XP_005843086.1, XP_005843058.1	PSC77010.1
OG0000022	XP_005843744.1	PSC75388.1, PSC70833.1, PSC71860.1, PSC75505.1
OG0000023	XP_005844756.1	PSC71672.1
OG0000023	XP_005847353.1, XP_005846085.1, XP_005846086.1, XP_005845946.1, XP_005849194.1, XP_005847189.1, XP_005851357.1, XP_005844829.1, XP_005846078.1, XP_005846080.1, XP_005845964.1, XP_005846105.1, XP_005845948.1, XP_005845945.1, XP_005845947.1, XP_005843455.1, XP_005845965.1, XP_005845963.1, XP_005846074.1, XP_005845962.1, XP_005846079.1	PSC72679.1
OG0000024	XP_005849248.1, XP_005851469.1	PSC76211.1
OG0000024	XP_005844033.1, XP_005852265.1	PSC71709.1, PSC71250.1
OG0000024	XP_005843727.1	PSC72580.1
OG0000024	XP_005847991.1	PSC69137.1
OG0000024	XP_005843197.1	PSC68456.1
OG0000025	XP_005846834.1	PSC68631.1
OG0000025	XP_005851991.1, XP_005850391.1	PSC67255.1, PSC74018.1, PSC74345.1, PSC74150.1, PSC75510.1
OG0000025	XP_005849172.1	PSC76854.1
OG0000027	XP_005845589.1, XP_005845031.1	PSC74578.1
OG0000028	XP_005850762.1, XP_005842615.1, XP_005843458.1, XP_005850528.1, XP_005845519.1, XP_005843447.1, XP_005842754.1, XP_005851042.1, XP_005847720.1, XP_005844673.1, XP_005846096.1, XP_005852046.1, XP_005846333.1, XP_005850440.1, XP_005848398.1, XP_005842981.1, XP_005842673.1, XP_005849107.1, XP_005844546.1, XP_005843452.1, XP_005843419.1, XP_005849189.1, XP_005849016.1	PSC69773.1
OG0000030	XP_005848732.1	PSC75952.1
OG0000030	XP_005851069.1	PSC75445.1
OG0000030	XP_005848479.1	PSC70423.1
OG0000030	XP_005843734.1	PSC74731.1
OG0000031	XP_005845612.1, XP_005845710.1	PSC74088.1
OG0000031	XP_005845648.1	PSC73989.1
OG0000032	XP_005851040.1	PSC69079.1
OG0000032	XP_005851799.1, XP_005852139.1, XP_005848147.1	PSC75203.1
OG0000032	XP_005847190.1, XP_005850761.1, XP_005850759.1, XP_005852236.1	PSC73918.1
OG0000033	XP_005851083.1, XP_005844670.1, XP_005845033.1	PSC69555.1
OG0000033	XP_005843209.1	PSC67144.1
OG0000033	XP_005851084.1, XP_005851377.1, XP_005851383.1, XP_005851085.1, XP_005843074.1, XP_005844674.1, XP_005852310.1, XP_005845797.1	PSC74771.1, PSC74773.1
OG0000033	XP_005844128.1, XP_005842747.1	PSC70368.1
OG0000034	XP_005844823.1, XP_005844824.1	PSC71116.1
OG0000034	XP_005843280.1	PSC74160.1
OG0000035	XP_005851604.1	PSC76707.1
OG0000035	XP_005842825.1, XP_005844092.1, XP_005844000.1, XP_005846442.1, XP_005851603.1	PSC71028.1, PSC67024.1, PSC67392.1
OG0000036	XP_005847288.1	PSC69855.1
OG0000037	XP_005849659.1	PSC76570.1
OG0000037	YP_004347745.1, XP_005849913.1	PSC76396.1
OG0000037	XP_005845536.1	PSC72948.1, PSC73066.1
OG0000038	XP_005843853.1	PSC68793.1
OG0000039	XP_005849058.1	PSC76689.1
OG0000039	XP_005847858.1	PSC70148.1
OG0000040	XP_005845715.1	PSC74046.1
OG0000040	XP_005845876.1	PSC74912.1
OG0000040	XP_005847722.1	PSC76673.1
OG0000040	XP_005842790.1, XP_005845768.1, XP_005842681.1	PSC74047.1
OG0000043	XP_005850306.1	PSC72584.1
OG0000043	XP_005850305.1	PSC72525.1, PSC72526.1
OG0000044	XP_005850876.1	PSC71479.1
OG0000044	XP_005843698.1	PSC73088.1
OG0000044	XP_005846123.1, XP_005845576.1	PSC74020.1
OG0000044	XP_005844470.1	PSC69092.1
OG0000044	XP_005844469.1	PSC76522.1
OG0000046	XP_005844605.1	PSC67991.1
OG0000046	XP_005844510.1, XP_005844599.1	PSC67952.1
OG0000046	XP_005843816.1, XP_005844507.1	PSC71916.1, PSC67962.1
OG0000047	XP_005845628.1	PSC74261.1
OG0000047	XP_005843303.1	PSC76097.1
OG0000049	XP_005849431.1	PSC69102.1
OG0000049	XP_005849436.1	PSC69089.1, PSC69129.1, PSC69181.1
OG0000051	XP_005842772.1	PSC75643.1
OG0000051	XP_005848471.1	PSC70405.1, PSC70406.1
OG0000051	XP_005850065.1, XP_005843891.1	PSC74693.1
OG0000052	XP_005847910.1	PSC69473.1
OG0000053	XP_005843048.1	PSC76825.1
OG0000053	XP_005845925.1, XP_005845811.1, XP_005849094.1, XP_005845524.1	PSC74369.1
OG0000054	XP_005848670.1, XP_005848668.1	PSC72551.1
OG0000055	XP_005844276.1, XP_005844197.1	PSC70561.1
OG0000055	XP_005844281.1	PSC73287.1
OG0000056	XP_005851238.1	PSC68161.1
OG0000056	XP_005851822.1	PSC69376.1, PSC69377.1
OG0000056	XP_005845298.1, XP_005851756.1, XP_005845426.1	PSC69400.1
OG0000057	XP_005850592.1, XP_005847290.1, XP_005850969.1	PSC72637.1
OG0000057	XP_005842654.1, XP_005850996.1, XP_005850995.1, XP_005842566.1	PSC69656.1
OG0000058	XP_005844489.1	PSC75293.1
OG0000059	XP_005842866.1	PSC74049.1
OG0000059	XP_005845679.1	PSC74182.1
OG0000060	XP_005845787.1	PSC70063.1
OG0000060	XP_005843014.1, XP_005843015.1	PSC75854.1, PSC75765.1
OG0000061	XP_005847147.1	PSC71155.1
OG0000061	XP_005848612.1	PSC73672.1, PSC73671.1
OG0000061	XP_005848615.1	PSC74930.1
OG0000062	XP_005848139.1	PSC76977.1
OG0000062	XP_005843178.1	PSC67774.1
OG0000063	XP_005849368.1	PSC73178.1, PSC73177.1
OG0000063	XP_005849369.1	PSC75904.1, PSC73067.1
OG0000064	XP_005846850.1	PSC72115.1
OG0000064	XP_005843039.1	PSC74270.1
OG0000064	XP_005844636.1	PSC70134.1
OG0000065	XP_005851870.1	PSC67563.1
OG0000066	XP_005845861.1	PSC69007.1
OG0000066	XP_005847799.1	PSC74727.1
OG0000067	XP_005845131.1	PSC74990.1
OG0000068	XP_005845574.1	PSC74192.1
OG0000068	XP_005843102.1	PSC74475.1
OG0000068	XP_005852257.1	PSC69541.1
