Orthogroup	c_variabilis_genome_proteins	c_sorokiniana_genome_proteins
OG0000001	XP_005846747.1	PRW32527.1
OG0000002	XP_005849439.1, XP_005843843.1, XP_005849438.1	PRW61031.1, PRW58690.1
OG0000002	XP_005842730.1, XP_005842564.1	PRW60221.1
OG0000004	XP_005843639.1	PRW57428.1, PRW57192.1, PRW57380.1
OG0000004	XP_005843780.1	PRW59210.1
OG0000004	XP_005850420.1	PRW60518.1
OG0000004	XP_005852293.1	PRW32917.1
OG0000004	XP_005843701.1	PRW57532.1
OG0000005	XP_005844803.1, XP_005845485.1, XP_005846952.1	PRW57849.1
OG0000005	XP_005847493.1	PRW44271.1
OG0000005	XP_005843205.1	PRW32834.1
OG0000005	XP_005848611.1	PRW33300.1
OG0000005	XP_005845997.1, XP_005845995.1, XP_005851910.1, XP_005848072.1	PRW44563.1, PRW05806.1, PRW50860.1, PRW57024.1, PRW60541.1, PRW51177.1, PRW39272.1
OG0000005	XP_005847828.1	PRW33991.1
OG0000005	XP_005847121.1	PRW60877.1
OG0000005	XP_005847536.1	PRW57831.1
OG0000005	XP_005847535.1	PRW57695.1
OG0000006	XP_005843094.1, XP_005847129.1, XP_005843702.1	PRW57065.1, PRW57021.1, PRW20423.1, PRW32953.1, PRW32875.1, PRW56969.1, PRW20373.1, PRW57122.1, PRW33066.1, PRW56948.1, PRW57339.1
OG0000006	XP_005843647.1, XP_005843638.1	PRW32926.1
OG0000006	XP_005848689.1	PRW50900.1
OG0000008	XP_005843694.1, XP_005851845.1, XP_005846939.1, XP_005843134.1, XP_005843124.1, XP_005843643.1, XP_005843706.1	PRW57429.1, PRW56937.1, PRW57408.1, PRW33072.1, PRW20324.1, PRW57308.1, PRW56936.1, PRW33046.1, PRW56968.1, PRW33081.1, PRW32997.1, PRW32979.1, PRW57107.1, PRW60378.1
OG0000009	XP_005843707.1, XP_005846938.1, XP_005847450.1	PRW57167.1
OG0000009	XP_005843696.1	PRW32923.1, PRW33013.1
OG0000010	XP_005850407.1	PRW56397.1
OG0000010	XP_005851305.1	PRW58582.1
OG0000010	XP_005847434.1	PRW60753.1
OG0000010	XP_005847441.1	PRW59695.1
OG0000010	XP_005850412.1	PRW45267.1, PRW45268.1
OG0000011	XP_005842597.1	PRW56453.1
OG0000011	XP_005843129.1, XP_005843130.1, XP_005843132.1, XP_005843699.1, XP_005843126.1, XP_005843131.1, XP_005843709.1, XP_005843650.1, XP_005843646.1, XP_005843649.1, XP_005843644.1	PRW44256.1
OG0000011	XP_005843637.1, XP_005843098.1	PRW58506.1
OG0000015	XP_005847071.1, XP_005847753.1	PRW59527.1
OG0000015	XP_005850273.1	PRW58153.1, PRW57045.1
OG0000015	XP_005850561.1	PRW45638.1
OG0000015	XP_005852287.1, XP_005847070.1, XP_005847472.1, XP_005850922.1, XP_005846738.1, XP_005850346.1	PRW33966.1
OG0000015	XP_005843588.1, XP_005847339.1	PRW57245.1
OG0000016	XP_005843185.1, XP_005843183.1	PRW05921.1, PRW05910.1, PRW05902.1
OG0000019	XP_005843396.1	PRW32912.1
OG0000019	XP_005845649.1	PRW44257.1
OG0000019	XP_005847661.1, XP_005851528.1, XP_005846203.1, XP_005842724.1, XP_005847755.1, XP_005846610.1, XP_005852300.1, XP_005851426.1, XP_005850151.1, XP_005845970.1, XP_005851650.1, XP_005849864.1, XP_005846352.1, XP_005850394.1, XP_005845506.1, XP_005851404.1, XP_005848389.1, XP_005847915.1, XP_005845234.1, XP_005842989.1, XP_005848688.1	PRW50812.1
OG0000020	XP_005848711.1	PRW39187.1, PRW58101.1, PRW45161.1, PRW57589.1, PRW58358.1, PRW56662.1
OG0000020	XP_005844773.1, XP_005844722.1	PRW60147.1, PRW21076.1
OG0000020	XP_005843490.1	PRW20905.1, PRW20904.1, PRW60463.1, PRW60340.1, PRW60239.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1, PRW56827.1, PRW33756.1, PRW59495.1
OG0000021	XP_005844764.1	PRW21126.1
OG0000021	XP_005846125.1	PRW39362.1
OG0000021	XP_005844589.1	PRW21099.1
OG0000021	XP_005845820.1	PRW33522.1
OG0000021	XP_005851655.1	PRW33901.1
OG0000022	XP_005843051.1	PRW45511.1
OG0000022	XP_005852085.1	PRW56545.1, PRW33266.1
OG0000022	XP_005843054.1, XP_005843056.1, XP_005843060.1, XP_005846817.1, XP_005843085.1, XP_005843055.1, XP_005843086.1, XP_005843058.1	PRW32643.1
OG0000022	XP_005843744.1	PRW58888.1
OG0000023	XP_005844756.1	PRW21073.1
OG0000024	XP_005848195.1, XP_005844521.1	PRW20503.1
OG0000024	XP_005843727.1	PRW55998.1
OG0000025	XP_005851991.1, XP_005850391.1, XP_005849172.1	PRW45427.1, PRW45604.1, PRW45530.1, PRW57488.1, PRW45737.1, PRW56392.1, PRW56577.1, PRW45707.1, PRW21008.1
OG0000027	XP_005851663.1, XP_005845589.1, XP_005845031.1	PRW57555.1
OG0000028	XP_005850762.1, XP_005842615.1, XP_005843458.1, XP_005850528.1, XP_005845519.1, XP_005843447.1, XP_005842754.1, XP_005851042.1, XP_005847720.1, XP_005844673.1, XP_005846096.1, XP_005852046.1, XP_005846333.1, XP_005850440.1, XP_005848398.1, XP_005842981.1, XP_005842673.1, XP_005849107.1, XP_005844546.1, XP_005843452.1, XP_005843419.1, XP_005849189.1, XP_005849016.1	PRW50752.1
OG0000030	XP_005848732.1	PRW51015.1, PRW51016.1, PRW51017.1
OG0000030	XP_005851069.1	PRW58127.1
OG0000030	XP_005848479.1	PRW20327.1, PRW20328.1, PRW61549.1, PRW44907.1, PRW44910.1, PRW45179.1
OG0000030	XP_005843734.1	PRW20326.1
OG0000031	XP_005845612.1, XP_005845710.1	PRW61339.1, PRW61198.1
OG0000031	XP_005843386.1	PRW33008.1
OG0000031	XP_005845648.1	PRW60879.1
OG0000032	XP_005851040.1	PRW56123.1
OG0000032	XP_005848978.1	PRW58679.1, PRW33721.1
OG0000032	XP_005851799.1, XP_005852139.1, XP_005848147.1	PRW56247.1
OG0000033	XP_005851083.1, XP_005844670.1, XP_005845033.1	PRW45736.1
OG0000033	XP_005843209.1, XP_005851084.1, XP_005851377.1, XP_005851383.1, XP_005851085.1, XP_005843074.1, XP_005844674.1, XP_005852310.1, XP_005845797.1, XP_005844128.1, XP_005842747.1	PRW58712.1, PRW58414.1
OG0000034	XP_005846961.1	PRW57195.1
OG0000035	XP_005843088.1	PRW32494.1
OG0000035	XP_005844092.1, XP_005844000.1	PRW32856.1, PRW32855.1
OG0000035	XP_005846442.1	PRW33070.1, PRW32837.1, PRW60633.1
OG0000035	XP_005851603.1	PRW60763.1, PRW58370.1
OG0000036	XP_005847288.1	PRW44420.1
OG0000037	XP_005849659.1	PRW59067.1, PRW59066.1, PRW44497.1
OG0000037	YP_004347745.1, XP_005849913.1	PRW59185.1, PRW59186.1
OG0000038	XP_005843853.1	PRW20764.1
OG0000039	XP_005849058.1	PRW57373.1, PRW59763.1, PRW32946.1
OG0000039	XP_005847858.1	PRW56085.1, PRW57256.1, PRW57466.1, PRW33961.1, PRW33960.1, PRW20716.1, PRW33854.1, PRW33843.1, PRW58322.1, PRW58189.1, PRW59858.1, PRW44441.1, PRW33771.1, PRW34070.1
