# BUSCO version is: 5.3.2 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Duplicated	PRW60964.1	4199.7	2008	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
15at3041	Duplicated	PRW60965.1	4199.3	2008	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	PRW57649.1	2207.2	1173	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	PRW20477.1	2519.4	1576	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	PRW61204.1	2477.5	1427	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Duplicated	PRW56585.1	1457.3	2203	https://www.orthodb.org/v10?query=64at3041	predicted protein
64at3041	Duplicated	PRW56584.1	1456.1	2195	https://www.orthodb.org/v10?query=64at3041	predicted protein
64at3041	Duplicated	PRW56583.1	1456.1	2195	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Duplicated	PRW20522.1	1597.5	1450	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
66at3041	Duplicated	PRW20523.1	1597.5	1450	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	PRW58675.1	1629.0	1010	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	PRW60751.1	1495.4	836	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	PRW33984.1	1674.5	911	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	PRW58281.1	1447.0	887	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	PRW61378.1	1828.6	1074	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	PRW39247.1	4802.4	4729	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Duplicated	PRW20618.1	738.6	565	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
118at3041	Duplicated	PRW20624.1	632.5	526	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	PRW59037.1	1700.9	1058	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	PRW20787.1	1185.7	742	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	PRW56402.1	1768.1	929	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	PRW21042.1	1644.5	889	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	PRW56792.1	1519.6	821	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	PRW57398.1	1652.5	1004	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	PRW59996.1	1070.9	623	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	PRW56325.1	1382.2	668	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Duplicated	PRW33897.1	1106.9	760	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
175at3041	Duplicated	PRW33896.1	1106.8	760	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	PRW20218.1	1025.0	632	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	PRW20647.1	1373.2	707	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	PRW57449.1	1165.3	690	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	PRW18348.1	1379.4	826	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	PRW32515.1	1233.3	926	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	PRW56476.1	1299.0	810	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Duplicated	PRW50843.1	2352.8	2018	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
228at3041	Duplicated	PRW50844.1	2349.8	1979	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	PRW20658.1	1475.1	865	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	PRW20607.1	1117.3	557	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	PRW20820.1	912.3	976	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Duplicated	PRW34057.1	833.6	676	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
239at3041	Duplicated	PRW34058.1	823.3	684	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	PRW60697.1	1195.2	861	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	PRW44609.1	880.9	677	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	PRW57046.1	1344.7	1098	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	PRW57265.1	1335.6	764	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	PRW57974.1	1405.8	782	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Complete	PRW59585.1	927.4	528	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Duplicated	PRW45405.1	891.9	574	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
295at3041	Duplicated	PRW45404.1	891.9	574	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	PRW33713.1	1171.0	726	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Complete	PRW58959.1	1115.5	818	https://www.orthodb.org/v10?query=322at3041	Ribosome biogenesis protein BMS1
324at3041	Complete	PRW60183.1	1186.4	626	https://www.orthodb.org/v10?query=324at3041	ATP-dependent helicase, C-terminal
336at3041	Complete	PRW60325.1	1166.0	606	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
345at3041	Complete	PRW33093.1	1194.4	588	https://www.orthodb.org/v10?query=345at3041	Membrane AAA-metalloprotease
346at3041	Complete	PRW58260.1	1073.2	1111	https://www.orthodb.org/v10?query=346at3041	SMCs flexible hinge
363at3041	Complete	PRW58550.1	1248.8	704	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
366at3041	Complete	PRW57227.1	594.7	411	https://www.orthodb.org/v10?query=366at3041	predicted protein
381at3041	Complete	PRW59214.1	969.7	565	https://www.orthodb.org/v10?query=381at3041	NADH
388at3041	Complete	PRW32964.1	1150.1	628	https://www.orthodb.org/v10?query=388at3041	dynamin-related GTPase
391at3041	Complete	PRW57087.1	1015.8	629	https://www.orthodb.org/v10?query=391at3041	transcription-coupled DNA repair protein
406at3041	Complete	PRW57509.1	1021.9	570	https://www.orthodb.org/v10?query=406at3041	Transketolase
412at3041	Complete	PRW57058.1	959.8	492	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
415at3041	Duplicated	PRW57301.1	627.4	426	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
415at3041	Duplicated	PRW57300.1	627.3	426	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
416at3041	Complete	PRW58427.1	748.1	389	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
417at3041	Complete	PRW61530.1	933.4	706	https://www.orthodb.org/v10?query=417at3041	transportin
424at3041	Complete	PRW60975.1	1230.7	920	https://www.orthodb.org/v10?query=424at3041	DNA polymerase
425at3041	Duplicated	PRW56878.1	966.5	692	https://www.orthodb.org/v10?query=425at3041	Cation-transporting ATPase
425at3041	Duplicated	PRW56879.1	966.5	692	https://www.orthodb.org/v10?query=425at3041	Cation-transporting ATPase
427at3041	Complete	PRW44903.1	941.8	549	https://www.orthodb.org/v10?query=427at3041	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, atypical
433at3041	Duplicated	PRW32907.1	984.7	577	https://www.orthodb.org/v10?query=433at3041	DNA ligase
433at3041	Duplicated	PRW32906.1	979.0	561	https://www.orthodb.org/v10?query=433at3041	DNA ligase
439at3041	Duplicated	PRW61562.1	1192.4	1043	https://www.orthodb.org/v10?query=439at3041	SMCs flexible hinge
439at3041	Duplicated	PRW61563.1	1192.4	1043	https://www.orthodb.org/v10?query=439at3041	SMCs flexible hinge
440at3041	Duplicated	PRW61517.1	1247.1	916	https://www.orthodb.org/v10?query=440at3041	Importin beta
440at3041	Duplicated	PRW61518.1	1233.1	916	https://www.orthodb.org/v10?query=440at3041	Importin beta
443at3041	Complete	PRW60017.1	658.1	535	https://www.orthodb.org/v10?query=443at3041	set domain protein
477at3041	Complete	PRW57767.1	861.6	514	https://www.orthodb.org/v10?query=477at3041	predicted protein
495at3041	Complete	PRW56239.1	1144.0	728	https://www.orthodb.org/v10?query=495at3041	Pre-mRNA-processing factor 6
505at3041	Complete	PRW61196.1	1048.9	537	https://www.orthodb.org/v10?query=505at3041	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
510at3041	Complete	PRW59294.1	833.3	450	https://www.orthodb.org/v10?query=510at3041	Importin subunit alpha
522at3041	Complete	PRW20730.1	897.3	681	https://www.orthodb.org/v10?query=522at3041	Eukaryotic translation initiation factor 3 subunit C
524at3041	Complete	PRW45270.1	716.9	507	https://www.orthodb.org/v10?query=524at3041	Sec1-like protein
534at3041	Complete	PRW59596.1	876.2	481	https://www.orthodb.org/v10?query=534at3041	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
550at3041	Duplicated	PRW05900.1	888.3	499	https://www.orthodb.org/v10?query=550at3041	Acetolactate synthase
550at3041	Duplicated	PRW05899.1	887.8	497	https://www.orthodb.org/v10?query=550at3041	Acetolactate synthase
561at3041	Complete	PRW60662.1	1030.1	533	https://www.orthodb.org/v10?query=561at3041	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
570at3041	Complete	PRW45196.1	1165.8	781	https://www.orthodb.org/v10?query=570at3041	26S proteasome non-ATPase regulatory subunit 1 homolog
581at3041	Complete	PRW58088.1	846.6	424	https://www.orthodb.org/v10?query=581at3041	Myo-inositol-1-phosphate synthase
587at3041	Complete	PRW57409.1	1105.9	750	https://www.orthodb.org/v10?query=587at3041	cellular apoptosis susceptibility protein
593at3041	Complete	PRW05873.1	598.8	385	https://www.orthodb.org/v10?query=593at3041	predicted protein
594at3041	Duplicated	PRW58235.1	985.2	587	https://www.orthodb.org/v10?query=594at3041	Peptidase S8/S53 domain
594at3041	Duplicated	PRW58236.1	967.9	587	https://www.orthodb.org/v10?query=594at3041	Peptidase S8/S53 domain
599at3041	Complete	PRW59930.1	710.7	431	https://www.orthodb.org/v10?query=599at3041	Starch synthase, chloroplastic/amyloplastic
617at3041	Duplicated	PRW61200.1	765.8	501	https://www.orthodb.org/v10?query=617at3041	Glucosamine--fructose-6-phosphateaminotransferase (Isomerizing)
617at3041	Duplicated	PRW61540.1	754.7	495	https://www.orthodb.org/v10?query=617at3041	Glucosamine--fructose-6-phosphateaminotransferase (Isomerizing)
617at3041	Duplicated	PRW61541.1	754.6	495	https://www.orthodb.org/v10?query=617at3041	Glucosamine--fructose-6-phosphateaminotransferase (Isomerizing)
619at3041	Complete	PRW20709.1	660.0	486	https://www.orthodb.org/v10?query=619at3041	Protein phosphatase 2A regulatory subunit
629at3041	Complete	PRW61091.1	568.0	464	https://www.orthodb.org/v10?query=629at3041	chloroplast envelope protein translocase family
633at3041	Complete	PRW58351.1	737.5	444	https://www.orthodb.org/v10?query=633at3041	AP-1 complex subunit gamma
635at3041	Complete	PRW32901.1	829.5	670	https://www.orthodb.org/v10?query=635at3041	DNA-directed RNA polymerase
639at3041	Complete	PRW57187.1	888.8	528	https://www.orthodb.org/v10?query=639at3041	Formate-tetrahydrofolate ligase
643at3041	Complete	PRW20680.1	828.0	608	https://www.orthodb.org/v10?query=643at3041	Selenide, water dikinase
652at3041	Complete	PRW60433.1	891.4	619	https://www.orthodb.org/v10?query=652at3041	ATP-dependent RNA helicase DDX1
676at3041	Complete	PRW59881.1	1102.6	796	https://www.orthodb.org/v10?query=676at3041	FACT complex subunit SPT16
681at3041	Complete	PRW61345.1	675.4	398	https://www.orthodb.org/v10?query=681at3041	Type II secretory pathway family
697at3041	Duplicated	PRW56286.1	934.4	645	https://www.orthodb.org/v10?query=697at3041	Beta-galactosidase
697at3041	Duplicated	PRW56287.1	924.7	672	https://www.orthodb.org/v10?query=697at3041	Beta-galactosidase
714at3041	Complete	PRW34081.1	1124.9	890	https://www.orthodb.org/v10?query=714at3041	predicted protein
721at3041	Complete	PRW39281.1	845.1	387	https://www.orthodb.org/v10?query=721at3041	NADH dehydrogenase 
727at3041	Complete	PRW32898.1	1082.9	818	https://www.orthodb.org/v10?query=727at3041	P-loop containing nucleoside triphosphate hydrolase protein
731at3041	Complete	PRW56256.1	934.4	541	https://www.orthodb.org/v10?query=731at3041	Glycyl-tRNA synthetase
733at3041	Complete	PRW59592.1	737.9	396	https://www.orthodb.org/v10?query=733at3041	Phospho-2-dehydro-3-deoxyheptonate aldolase
743at3041	Complete	PRW05865.1	838.7	546	https://www.orthodb.org/v10?query=743at3041	subunit of mRNA cleavage and polyadenylation specificity factor
761at3041	Duplicated	PRW45481.1	693.5	456	https://www.orthodb.org/v10?query=761at3041	arginyl-tRNA synthetase
761at3041	Duplicated	PRW45480.1	693.5	456	https://www.orthodb.org/v10?query=761at3041	arginyl-tRNA synthetase
763at3041	Complete	PRW60885.1	922.9	593	https://www.orthodb.org/v10?query=763at3041	3-hydroxyacyl-CoA dehydrogenase
766at3041	Complete	PRW57995.1	675.0	444	https://www.orthodb.org/v10?query=766at3041	Kinesin-like protein
767at3041	Complete	PRW57927.1	1027.5	801	https://www.orthodb.org/v10?query=767at3041	Importin 7
768at3041	Complete	PRW60798.1	800.0	451	https://www.orthodb.org/v10?query=768at3041	Aspartyl-tRNA synthetase
769at3041	Complete	PRW32976.1	863.6	510	https://www.orthodb.org/v10?query=769at3041	long-chain acyl-CoA synthetase 7
776at3041	Complete	PRW32480.1	1106.1	1063	https://www.orthodb.org/v10?query=776at3041	Structural maintenance of chromosomes protein
779at3041	Complete	PRW61595.1	917.0	477	https://www.orthodb.org/v10?query=779at3041	Dihydroxy-acid dehydratase
781at3041	Duplicated	PRW32492.1	881.9	485	https://www.orthodb.org/v10?query=781at3041	Nitrite/Sulfite reductase ferredoxin-like domain
781at3041	Duplicated	PRW32491.1	881.9	485	https://www.orthodb.org/v10?query=781at3041	Nitrite/Sulfite reductase ferredoxin-like domain
782at3041	Complete	PRW61211.1	629.2	424	https://www.orthodb.org/v10?query=782at3041	Putative inactive serine/threonine-protein kinase scy1
784at3041	Complete	PRW58556.1	721.7	357	https://www.orthodb.org/v10?query=784at3041	Geranylgeranyl reductase
796at3041	Complete	PRW20900.1	1179.0	1192	https://www.orthodb.org/v10?query=796at3041	S1 domain
799at3041	Complete	PRW59582.1	688.2	632	https://www.orthodb.org/v10?query=799at3041	component of oligomeric golgi complex 5
803at3041	Complete	PRW44926.1	688.5	395	https://www.orthodb.org/v10?query=803at3041	Phenylalanyl-tRNA synthetase alphachain
810at3041	Duplicated	PRW34039.1	682.7	415	https://www.orthodb.org/v10?query=810at3041	Cytochrome P450
810at3041	Duplicated	PRW34040.1	676.1	415	https://www.orthodb.org/v10?query=810at3041	Cytochrome P450
812at3041	Duplicated	PRW44623.1	855.9	449	https://www.orthodb.org/v10?query=812at3041	Ketol-acid reductoisomerase
812at3041	Duplicated	PRW44622.1	817.6	418	https://www.orthodb.org/v10?query=812at3041	Ketol-acid reductoisomerase
815at3041	Complete	PRW59429.1	859.8	579	https://www.orthodb.org/v10?query=815at3041	pantothenate kinase
818at3041	Duplicated	PRW33222.1	652.6	399	https://www.orthodb.org/v10?query=818at3041	Coatomer subunit delta
818at3041	Duplicated	PRW33221.1	652.5	399	https://www.orthodb.org/v10?query=818at3041	Coatomer subunit delta
820at3041	Complete	PRW39230.1	731.6	444	https://www.orthodb.org/v10?query=820at3041	phenylalanyl-tRNA synthetase
830at3041	Complete	PRW56977.1	652.4	349	https://www.orthodb.org/v10?query=830at3041	WD40-repeat-containing domain
832at3041	Complete	PRW57305.1	797.5	398	https://www.orthodb.org/v10?query=832at3041	Vacuolar ATP synthase subunit B
863at3041	Complete	PRW59010.1	759.3	753	https://www.orthodb.org/v10?query=863at3041	chloroplast envelope anion channel-forming Tic110 family
872at3041	Complete	PRW50899.1	817.2	461	https://www.orthodb.org/v10?query=872at3041	GroEL-like apical domain superfamily
878at3041	Complete	PRW44911.1	853.4	456	https://www.orthodb.org/v10?query=878at3041	GMP synthase 
879at3041	Complete	PRW32576.1	796.6	438	https://www.orthodb.org/v10?query=879at3041	Methylglyoxal synthase-like domain
884at3041	Complete	PRW59690.1	641.7	419	https://www.orthodb.org/v10?query=884at3041	WD40-repeat-containing domain
885at3041	Duplicated	PRW39387.1	840.2	530	https://www.orthodb.org/v10?query=885at3041	DNA topoisomerase 2
885at3041	Duplicated	PRW39388.1	838.2	518	https://www.orthodb.org/v10?query=885at3041	DNA topoisomerase 2
890at3041	Complete	PRW58138.1	568.2	405	https://www.orthodb.org/v10?query=890at3041	RBR-type E3 ubiquitin transferase
891at3041	Duplicated	PRW39068.1	712.7	389	https://www.orthodb.org/v10?query=891at3041	predicted protein
891at3041	Duplicated	PRW39067.1	690.7	368	https://www.orthodb.org/v10?query=891at3041	predicted protein
894at3041	Complete	PRW61534.1	758.2	418	https://www.orthodb.org/v10?query=894at3041	Iron-sulfur cluster assembly protein
897at3041	Complete	PRW34103.1	882.6	480	https://www.orthodb.org/v10?query=897at3041	CTP synthase
900at3041	Complete	PRW60838.1	877.2	488	https://www.orthodb.org/v10?query=900at3041	2-isopropylmalate synthase
911at3041	Complete	PRW57397.1	682.6	364	https://www.orthodb.org/v10?query=911at3041	Translation initiation factor 2 gamma subunit
918at3041	Complete	PRW58028.1	470.8	449	https://www.orthodb.org/v10?query=918at3041	tetratricopeptide repeat-containing protein
919at3041	Complete	PRW32849.1	811.5	424	https://www.orthodb.org/v10?query=919at3041	Adenosylhomocysteinase
926at3041	Duplicated	PRW20983.1	762.2	661	https://www.orthodb.org/v10?query=926at3041	Zinc finger, CTCHY-type
926at3041	Duplicated	PRW20982.1	762.2	661	https://www.orthodb.org/v10?query=926at3041	Zinc finger, CTCHY-type
928at3041	Duplicated	PRW33235.1	934.3	571	https://www.orthodb.org/v10?query=928at3041	Nucleolar GTP-binding protein 1
928at3041	Duplicated	PRW33236.1	929.4	548	https://www.orthodb.org/v10?query=928at3041	Nucleolar GTP-binding protein 1
930at3041	Complete	PRW59332.1	901.0	563	https://www.orthodb.org/v10?query=930at3041	predicted protein
943at3041	Complete	PRW33209.1	741.7	484	https://www.orthodb.org/v10?query=943at3041	ABC transporter F family member 5
948at3041	Complete	PRW56077.1	722.2	421	https://www.orthodb.org/v10?query=948at3041	tRNA-splicing ligase RtcB homolog
957at3041	Complete	PRW58480.1	791.0	449	https://www.orthodb.org/v10?query=957at3041	Imidazole glycerol phosphate synthase hisHF
963at3041	Complete	PRW59579.1	507.3	374	https://www.orthodb.org/v10?query=963at3041	ATPase, V1 complex, subunit H, C-terminal
965at3041	Complete	PRW57263.1	846.5	599	https://www.orthodb.org/v10?query=965at3041	Heat shock protein 70
969at3041	Complete	PRW56475.1	780.1	461	https://www.orthodb.org/v10?query=969at3041	GroEL-like apical domain superfamily
988at3041	Complete	PRW20323.1	544.2	397	https://www.orthodb.org/v10?query=988at3041	Spliceosome component, nuclear pre-mRNA splicing factor
992at3041	Complete	PRW56600.1	770.1	356	https://www.orthodb.org/v10?query=992at3041	ATPase, AAA-type, conserved site
1005at3041	Duplicated	PRW33976.1	636.9	516	https://www.orthodb.org/v10?query=1005at3041	Cysteinyl-tRNA synthetase
1005at3041	Duplicated	PRW33975.1	636.4	517	https://www.orthodb.org/v10?query=1005at3041	Cysteinyl-tRNA synthetase
1005at3041	Duplicated	PRW33977.1	631.6	507	https://www.orthodb.org/v10?query=1005at3041	Cysteinyl-tRNA synthetase
1027at3041	Complete	PRW59562.1	881.2	559	https://www.orthodb.org/v10?query=1027at3041	Phosphatidylinositol 3-kinase
1029at3041	Duplicated	PRW58066.1	684.1	367	https://www.orthodb.org/v10?query=1029at3041	Argininosuccinate synthase
1029at3041	Duplicated	PRW58065.1	677.0	354	https://www.orthodb.org/v10?query=1029at3041	Argininosuccinate synthase
1032at3041	Duplicated	PRW60453.1	621.5	510	https://www.orthodb.org/v10?query=1032at3041	Pre-mRNA-splicing factor CDC5/CEF1
1032at3041	Duplicated	PRW60454.1	621.4	510	https://www.orthodb.org/v10?query=1032at3041	Pre-mRNA-splicing factor CDC5/CEF1
1047at3041	Complete	PRW32950.1	548.8	316	https://www.orthodb.org/v10?query=1047at3041	WD40-repeat-containing domain
1056at3041	Complete	PRW59363.1	754.5	424	https://www.orthodb.org/v10?query=1056at3041	6-phosphogluconate dehydrogenase, decarboxylating
1057at3041	Complete	PRW58650.1	719.7	415	https://www.orthodb.org/v10?query=1057at3041	Amidophosphoribosyltransferase
1071at3041	Complete	PRW57872.1	768.7	480	https://www.orthodb.org/v10?query=1071at3041	glutamate-1-semialdehyde 2,1-aminomutase
1072at3041	Complete	PRW20555.1	587.6	375	https://www.orthodb.org/v10?query=1072at3041	Eukaryotic translation initiation factor 3 subunit E
1080at3041	Complete	PRW56441.1	859.1	452	https://www.orthodb.org/v10?query=1080at3041	membrane AAA-metalloprotease
1084at3041	Complete	PRW61072.1	559.9	285	https://www.orthodb.org/v10?query=1084at3041	Glycogen synthase kinase 3
1089at3041	Complete	PRW57040.1	617.1	404	https://www.orthodb.org/v10?query=1089at3041	Non-discriminatory gln-glu-trna synthetase
1090at3041	Complete	PRW18415.1	593.4	360	https://www.orthodb.org/v10?query=1090at3041	COP9 signalosome complex subunit 2
1093at3041	Complete	PRW58972.1	560.6	382	https://www.orthodb.org/v10?query=1093at3041	Cleft lip and palate transmembrane protein 1
1094at3041	Complete	PRW56567.1	648.9	516	https://www.orthodb.org/v10?query=1094at3041	Protein ROOT HAIR DEFECTIVE 3 homolog
1103at3041	Complete	PRW57564.1	795.0	404	https://www.orthodb.org/v10?query=1103at3041	ATPase, AAA-type, conserved site
1108at3041	Complete	PRW60850.1	674.9	328	https://www.orthodb.org/v10?query=1108at3041	Eukaryotic initiation factor
1116at3041	Complete	PRW45131.1	609.2	508	https://www.orthodb.org/v10?query=1116at3041	p-loop containing nucleoside triphosphate hydrolase
1128at3041	Missing
1133at3041	Complete	PRW58237.1	921.3	702	https://www.orthodb.org/v10?query=1133at3041	WD40-repeat-containing domain
1139at3041	Complete	PRW59107.1	825.4	548	https://www.orthodb.org/v10?query=1139at3041	RNA helicase
1142at3041	Complete	PRW45510.1	560.8	324	https://www.orthodb.org/v10?query=1142at3041	Pyridoxal phosphate-dependent transferase
