#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PRW05686.1	3055.EDO95775	1.44e-11	73.6	2CV60@1|root,2RRD1@2759|Eukaryota,37XZC@33090|Viridiplantae,34NDV@3041|Chlorophyta	3041|Chlorophyta	S	to PB402069.00.0	-	-	-	-	-	-	-	-	-	-	-	-	-
PRW05688.1	554065.XP_005850290.1	0.0	939.0	COG4581@1|root,KOG0947@2759|Eukaryota,37IIE@33090|Viridiplantae,34GYQ@3041|Chlorophyta	3041|Chlorophyta	A	DSHCT	-	-	-	-	-	-	-	-	-	-	-	-	DEAD,DSHCT
PRW05741.1	3055.EDP10003	5.11e-24	102.0	COG2801@1|root,KOG0017@2759|Eukaryota,37THH@33090|Viridiplantae,34MIE@3041|Chlorophyta	3041|Chlorophyta	L	Mitochondrial protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2
PRW05744.1	554065.XP_005850856.1	4.07e-303	881.0	KOG2054@1|root,KOG2054@2759|Eukaryota,37KBA@33090|Viridiplantae,34H38@3041|Chlorophyta	3041|Chlorophyta	J	Nrap protein domain 3	-	-	-	ko:K14544	ko03008,map03008	-	-	-	ko00000,ko00001,ko03009	-	-	-	Nrap,Nrap_D2,Nrap_D3,Nrap_D4,Nrap_D5,Nrap_D6
PRW05746.1	554065.XP_005848098.1	7.67e-53	178.0	28J72@1|root,2QRJB@2759|Eukaryota,37JWF@33090|Viridiplantae,34MAE@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRW05747.1	554065.XP_005848097.1	3.44e-41	152.0	KOG2147@1|root,KOG2147@2759|Eukaryota,37IN3@33090|Viridiplantae,34H27@3041|Chlorophyta	3041|Chlorophyta	J	Nop14-like family	-	-	-	ko:K14766	-	-	-	-	ko00000,ko03009	-	-	-	Nop14
PRW05754.1	554065.XP_005845937.1	1.09e-165	533.0	2C769@1|root,2QQKG@2759|Eukaryota,37K0F@33090|Viridiplantae,34N0K@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF3730)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3730
PRW05755.1	554065.XP_005846092.1	1.68e-108	312.0	COG0652@1|root,KOG0881@2759|Eukaryota,37S28@33090|Viridiplantae,34HN8@3041|Chlorophyta	3041|Chlorophyta	O	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	-	-	5.2.1.8	ko:K12733	ko03040,map03040	M00355	-	-	ko00000,ko00001,ko00002,ko01000,ko03041,ko03110	-	-	-	Pro_isomerase
PRW05758.1	554065.XP_005845976.1	3.99e-183	514.0	COG1957@1|root,KOG2938@2759|Eukaryota,37HXM@33090|Viridiplantae,34HKK@3041|Chlorophyta	3041|Chlorophyta	F	Inosine-uridine preferring nucleoside hydrolase	-	-	3.2.2.3	ko:K01240	ko00240,ko00760,map00240,map00760	-	R01080,R01273,R10046	RC00033,RC00063,RC00318,RC00485	ko00000,ko00001,ko01000	-	-	-	IU_nuc_hydro
PRW05759.1	554065.XP_005845938.1	3.2e-218	629.0	KOG2847@1|root,KOG2847@2759|Eukaryota,37I0T@33090|Viridiplantae,34JHR@3041|Chlorophyta	3041|Chlorophyta	I	Phosphate acyltransferases	-	-	-	ko:K13511	ko00564,map00564	-	R09037	RC00004,RC00037	ko00000,ko00001,ko01000,ko01004	-	-	-	Acyltransferase
