#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PSC67004.1	554065.XP_005844570.1	7.49e-93	288.0	KOG2479@1|root,KOG2479@2759|Eukaryota,37KXQ@33090|Viridiplantae,34J47@3041|Chlorophyta	3041|Chlorophyta	J	mRNA cap-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. In the eIF-3 complex, eif3d specifically recognizes and binds the 7-methylguanosine cap of a subset of mRNAs	-	-	-	ko:K03251	ko03013,map03013	-	-	-	ko00000,ko00001,ko03012	-	-	-	eIF-3_zeta
PSC67005.1	554065.XP_005848110.1	3.89e-29	118.0	2CMA6@1|root,2QPS4@2759|Eukaryota,37KNR@33090|Viridiplantae,34N89@3041|Chlorophyta	3041|Chlorophyta	S	Glyoxal or galactose oxidase	-	-	1.2.3.15	ko:K20929	-	-	-	-	ko00000,ko01000	-	-	-	DUF1929,Glyoxal_oxid_N
PSC67006.1	554065.XP_005844381.1	5.02e-174	509.0	COG1204@1|root,COG5407@1|root,KOG0721@2759|Eukaryota,KOG0951@2759|Eukaryota,37RE2@33090|Viridiplantae,34GWE@3041|Chlorophyta	3041|Chlorophyta	AO	DnaJ domains (J-domains) are associated with hsp70 heat-shock system and it is thought that this domain mediates the interaction	-	-	-	ko:K09540	ko03060,ko04141,map03060,map04141	-	-	-	ko00000,ko00001,ko02044,ko03110	3.A.5.8,3.A.5.9	-	-	DnaJ,Sec63
PSC67008.1	554065.XP_005844416.1	3.91e-88	269.0	KOG1471@1|root,KOG1471@2759|Eukaryota,37M0B@33090|Viridiplantae,34K4P@3041|Chlorophyta	3041|Chlorophyta	I	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)	-	-	-	-	-	-	-	-	-	-	-	-	CRAL_TRIO
PSC67012.1	554065.XP_005843560.1	6.92e-135	412.0	KOG2050@1|root,KOG2050@2759|Eukaryota,37IYI@33090|Viridiplantae,34GVM@3041|Chlorophyta	3041|Chlorophyta	J	Pumilio-like repeats	-	-	-	ko:K14844	-	-	-	-	ko00000,ko03009,ko03019	-	-	-	CPL,PUF
PSC67016.1	554065.XP_005846390.1	3.52e-73	223.0	KOG4401@1|root,KOG4401@2759|Eukaryota,37IMV@33090|Viridiplantae,34N0V@3041|Chlorophyta	3041|Chlorophyta	S	Anticodon-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	AD
PSC67017.1	554065.XP_005848110.1	4.88e-34	135.0	2CMA6@1|root,2QPS4@2759|Eukaryota,37KNR@33090|Viridiplantae,34N89@3041|Chlorophyta	3041|Chlorophyta	S	Glyoxal or galactose oxidase	-	-	1.2.3.15	ko:K20929	-	-	-	-	ko00000,ko01000	-	-	-	DUF1929,Glyoxal_oxid_N
PSC67028.1	554065.XP_005851194.1	2.67e-253	729.0	COG3540@1|root,2QTGZ@2759|Eukaryota,37SBN@33090|Viridiplantae,34ISV@3041|Chlorophyta	3041|Chlorophyta	P	PhoD-like phosphatase	-	-	3.1.3.1	ko:K01113	ko00790,ko01100,ko02020,map00790,map01100,map02020	M00126	R04620	RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	PhoD
PSC67029.1	554065.XP_005851194.1	1.93e-254	734.0	COG3540@1|root,2QTGZ@2759|Eukaryota,37SBN@33090|Viridiplantae,34ISV@3041|Chlorophyta	3041|Chlorophyta	P	PhoD-like phosphatase	-	-	3.1.3.1	ko:K01113	ko00790,ko01100,ko02020,map00790,map01100,map02020	M00126	R04620	RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	PhoD
PSC67030.1	3055.EDP10003	1.09e-89	293.0	COG2801@1|root,KOG0017@2759|Eukaryota,37THH@33090|Viridiplantae,34MIE@3041|Chlorophyta	3041|Chlorophyta	L	Mitochondrial protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2
PSC67041.1	554065.XP_005851700.1	3.89e-138	439.0	2CMM0@1|root,2QQSA@2759|Eukaryota,37N93@33090|Viridiplantae,34KP1@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF4101)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4101
PSC67042.1	554065.XP_005842684.1	5.43e-85	275.0	2CRG7@1|root,2S477@2759|Eukaryota,37W85@33090|Viridiplantae,34NE5@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PSC67045.1	554065.XP_005851700.1	4.72e-131	411.0	2CMM0@1|root,2QQSA@2759|Eukaryota,37N93@33090|Viridiplantae,34KP1@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF4101)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4101
PSC67047.1	554065.XP_005846058.1	2.74e-46	149.0	KOG4779@1|root,KOG4779@2759|Eukaryota,37W2V@33090|Viridiplantae,34IWH@3041|Chlorophyta	3041|Chlorophyta	S	Yos1-like	-	-	-	-	-	-	-	-	-	-	-	-	Yos1
PSC67049.1	3075.A0A087SQD0	1.9e-134	393.0	COG0024@1|root,KOG2776@2759|Eukaryota,37M9B@33090|Viridiplantae,34HAZ@3041|Chlorophyta	3041|Chlorophyta	J	Metallopeptidase family M24	-	-	3.4.11.18	ko:K01265	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M24
PSC67050.1	554065.XP_005844416.1	1.25e-103	329.0	KOG1471@1|root,KOG1471@2759|Eukaryota,37M0B@33090|Viridiplantae,34K4P@3041|Chlorophyta	3041|Chlorophyta	I	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)	-	-	-	-	-	-	-	-	-	-	-	-	CRAL_TRIO
PSC67052.1	554065.XP_005844381.1	3.33e-300	838.0	COG1204@1|root,COG5407@1|root,KOG0721@2759|Eukaryota,KOG0951@2759|Eukaryota,37RE2@33090|Viridiplantae,34GWE@3041|Chlorophyta	3041|Chlorophyta	AO	DnaJ domains (J-domains) are associated with hsp70 heat-shock system and it is thought that this domain mediates the interaction	-	-	-	ko:K09540	ko03060,ko04141,map03060,map04141	-	-	-	ko00000,ko00001,ko02044,ko03110	3.A.5.8,3.A.5.9	-	-	DnaJ,Sec63
PSC67054.1	554065.XP_005851204.1	1.17e-146	442.0	2E7HY@1|root,2SE3S@2759|Eukaryota,380QH@33090|Viridiplantae,34MBN@3041|Chlorophyta	3041|Chlorophyta	A	K homology RNA-binding domain	-	-	-	ko:K13210	-	-	-	-	ko00000,ko03019,ko03041	-	-	-	KH_1
PSC67055.1	554065.XP_005851497.1	2.62e-83	256.0	2CNGJ@1|root,2QW5C@2759|Eukaryota,37PY9@33090|Viridiplantae,34HSF@3041|Chlorophyta	3041|Chlorophyta	S	TPR repeat	-	-	-	-	-	-	-	-	-	-	-	-	TPR_1,TPR_2
PSC67060.1	554065.XP_005851837.1	1.07e-180	568.0	KOG2238@1|root,KOG2238@2759|Eukaryota,37R25@33090|Viridiplantae,34NTJ@3041|Chlorophyta	3041|Chlorophyta	S	lipid binding	-	-	-	ko:K06236	ko04151,ko04510,ko04512,ko04611,ko04926,ko04933,ko04974,ko05146,ko05165,map04151,map04510,map04512,map04611,map04926,map04933,map04974,map05146,map05165	-	-	-	ko00000,ko00001,ko00536,ko04516	-	-	-	-
PSC67061.1	554065.XP_005852164.1	0.0	968.0	COG5329@1|root,KOG1888@2759|Eukaryota,37R6R@33090|Viridiplantae,34HK6@3041|Chlorophyta	3041|Chlorophyta	I	SacI homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Syja_N,WW
PSC67064.1	554065.XP_005852164.1	2.98e-266	798.0	COG5329@1|root,KOG1888@2759|Eukaryota,37R6R@33090|Viridiplantae,34HK6@3041|Chlorophyta	3041|Chlorophyta	I	SacI homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Syja_N,WW
PSC67066.1	554065.XP_005848110.1	1.19e-42	157.0	2CMA6@1|root,2QPS4@2759|Eukaryota,37KNR@33090|Viridiplantae,34N89@3041|Chlorophyta	3041|Chlorophyta	S	Glyoxal or galactose oxidase	-	-	1.2.3.15	ko:K20929	-	-	-	-	ko00000,ko01000	-	-	-	DUF1929,Glyoxal_oxid_N
PSC67068.1	554065.XP_005851421.1	3.46e-32	112.0	KOG1603@1|root,KOG1603@2759|Eukaryota,37W28@33090|Viridiplantae,34IRX@3041|Chlorophyta	3041|Chlorophyta	P	Heavy-metal-associated domain	-	-	-	ko:K07213	ko04978,map04978	-	-	-	ko00000,ko00001	-	-	-	HMA
PSC67069.1	554065.XP_005851123.1	5.17e-111	332.0	COG0637@1|root,KOG2914@2759|Eukaryota,388KW@33090|Viridiplantae,34IVG@3041|Chlorophyta	3041|Chlorophyta	S	pseudouridine 5'-phosphatase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
PSC67070.1	554065.XP_005851124.1	4.47e-158	456.0	KOG2130@1|root,KOG2130@2759|Eukaryota,37N5H@33090|Viridiplantae,34GW6@3041|Chlorophyta	3041|Chlorophyta	BT	A domain family that is part of the cupin metalloenzyme superfamily.	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_8
PSC67071.1	554065.XP_005851121.1	7.64e-55	186.0	KOG4115@1|root,KOG4115@2759|Eukaryota,37XBB@33090|Viridiplantae,34IM4@3041|Chlorophyta	3041|Chlorophyta	DN	Dynein Light Chain	-	-	-	ko:K10419	-	-	-	-	ko00000,ko04131,ko04812	-	-	-	Robl_LC7
PSC67075.1	3075.A0A087SEX9	6.7e-40	154.0	COG0548@1|root,KOG2436@2759|Eukaryota,37MWE@33090|Viridiplantae,34JAG@3041|Chlorophyta	3041|Chlorophyta	E	Amino acid kinase family	-	-	2.3.1.1	ko:K14682	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230	M00028	R00259	RC00004,RC00064	ko00000,ko00001,ko00002,ko01000	-	-	-	AA_kinase,Acetyltransf_1
PSC67078.1	554065.XP_005851121.1	2.3e-56	186.0	KOG4115@1|root,KOG4115@2759|Eukaryota,37XBB@33090|Viridiplantae,34IM4@3041|Chlorophyta	3041|Chlorophyta	DN	Dynein Light Chain	-	-	-	ko:K10419	-	-	-	-	ko00000,ko04131,ko04812	-	-	-	Robl_LC7
PSC67080.1	554065.XP_005851396.1	1.11e-229	695.0	COG0548@1|root,KOG4341@1|root,KOG2436@2759|Eukaryota,KOG4341@2759|Eukaryota,37MWE@33090|Viridiplantae,34JAG@3041|Chlorophyta	3041|Chlorophyta	E	Amino acid kinase family	-	-	2.3.1.1	ko:K14682	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230	M00028	R00259	RC00004,RC00064	ko00000,ko00001,ko00002,ko01000	-	-	-	AA_kinase,Acetyltransf_1
PSC67084.1	3075.A0A087SKE6	1.09e-198	607.0	COG5049@1|root,KOG2045@2759|Eukaryota,37V4D@33090|Viridiplantae,34JU1@3041|Chlorophyta	3041|Chlorophyta	DL	XRN 5'-3' exonuclease N-terminus	-	-	-	ko:K12618,ko:K12619	ko03008,ko03018,map03008,map03018	-	-	-	ko00000,ko00001,ko01000,ko03009,ko03016,ko03019,ko03021,ko03036	-	-	-	XRN_N
PSC67085.1	554065.XP_005849611.1	3.37e-121	353.0	2CRKT@1|root,2R8D8@2759|Eukaryota,380I9@33090|Viridiplantae,34MF2@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4HBT
PSC67086.1	554065.XP_005843560.1	4.42e-186	552.0	KOG2050@1|root,KOG2050@2759|Eukaryota,37IYI@33090|Viridiplantae,34GVM@3041|Chlorophyta	3041|Chlorophyta	J	Pumilio-like repeats	-	-	-	ko:K14844	-	-	-	-	ko00000,ko03009,ko03019	-	-	-	CPL,PUF
PSC67088.1	554065.XP_005843609.1	2.25e-71	226.0	COG0724@1|root,KOG0113@2759|Eukaryota,37MZZ@33090|Viridiplantae,34K8Q@3041|Chlorophyta	3041|Chlorophyta	A	U1 small nuclear ribonucleoprotein	snRNP	-	-	ko:K11093	ko03040,map03040	M00351	-	-	ko00000,ko00001,ko00002,ko03041	-	-	-	RRM_1,U1snRNP70_N
PSC67090.1	554065.XP_005843560.1	7.09e-125	382.0	KOG2050@1|root,KOG2050@2759|Eukaryota,37IYI@33090|Viridiplantae,34GVM@3041|Chlorophyta	3041|Chlorophyta	J	Pumilio-like repeats	-	-	-	ko:K14844	-	-	-	-	ko00000,ko03009,ko03019	-	-	-	CPL,PUF
PSC67091.1	554065.XP_005851700.1	2.85e-188	578.0	2CMM0@1|root,2QQSA@2759|Eukaryota,37N93@33090|Viridiplantae,34KP1@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF4101)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4101
PSC67092.1	554065.XP_005852164.1	1.47e-225	689.0	COG5329@1|root,KOG1888@2759|Eukaryota,37R6R@33090|Viridiplantae,34HK6@3041|Chlorophyta	3041|Chlorophyta	I	SacI homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Syja_N,WW
PSC67093.1	554065.XP_005851837.1	9.35e-198	625.0	KOG2238@1|root,KOG2238@2759|Eukaryota,37R25@33090|Viridiplantae,34NTJ@3041|Chlorophyta	3041|Chlorophyta	S	lipid binding	-	-	-	ko:K06236	ko04151,ko04510,ko04512,ko04611,ko04926,ko04933,ko04974,ko05146,ko05165,map04151,map04510,map04512,map04611,map04926,map04933,map04974,map05146,map05165	-	-	-	ko00000,ko00001,ko00536,ko04516	-	-	-	-
PSC67095.1	554065.XP_005848331.1	2.2e-202	594.0	COG1331@1|root,KOG2244@2759|Eukaryota,37MEB@33090|Viridiplantae,34J25@3041|Chlorophyta	3041|Chlorophyta	O	Spermatogenesis-associated protein	-	-	-	-	-	-	-	-	-	-	-	-	Thioredox_DsbH
PSC67098.1	554065.XP_005845132.1	3.33e-121	380.0	KOG2327@1|root,KOG2327@2759|Eukaryota,37MTX@33090|Viridiplantae,34I9D@3041|Chlorophyta	3041|Chlorophyta	L	Ku70/Ku80 C-terminal arm	-	-	-	ko:K10884	ko03450,map03450	M00297	-	-	ko00000,ko00001,ko00002,ko03041,ko03400	-	-	-	Ku,Ku_C,Ku_N,SAP
