Orthogroup	oneline_c_variabilis_genome_proteins	oneline_A99_genome_proteins
OG0000000	XP_005844990.1, XP_005844991.1	scaffold12.g8193.t1
OG0000004	XP_005850420.1	scaffold7.g3553.t1, scaffold7.g3547.t1
OG0000004	XP_005843095.1	scaffold14.g1247.t1
OG0000005	XP_005843500.1, XP_005844803.1, XP_005845485.1, XP_005846952.1, XP_005847493.1	scaffold5.g723.t1
OG0000006	XP_005852170.1	scaffold16.g70.t1
OG0000006	XP_005848689.1	scaffold14.g1226.t1, scaffold14.g1245.t1, scaffold7.g3645.t1, scaffold7.g3571.t1, scaffold7.g3511.t1, scaffold7.g3546.t1, scaffold7.g3528.t1, scaffold7.g3599.t1
OG0000008	XP_005847450.1, XP_005846938.1	scaffold7.g3601.t1
OG0000008	XP_005843707.1	scaffold7.g3591.t1, scaffold7.g3585.t1, scaffold22.g6140.t1, scaffold7.g3582.t1, scaffold7.g3569.t1, scaffold7.g3513.t1, scaffold12.g8226.t1, scaffold7.g3594.t1
OG0000009	XP_005843694.1, XP_005843706.1, XP_005843643.1, XP_005846939.1, XP_005843134.1, XP_005843124.1	scaffold14.g1227.t1, scaffold7.g3554.t1, scaffold7.g3570.t1, scaffold7.g3600.t1, scaffold7.g3644.t1, scaffold7.g3593.t1
OG0000010	XP_005847434.1, XP_005847441.1, XP_005847999.1, XP_005852056.1, XP_005852188.1, XP_005851305.1, XP_005850407.1, XP_005850406.1, XP_005850707.1, XP_005850412.1	scaffold2.g6818.t1, scaffold9.g3010.t1, scaffold16.g46.t1, scaffold9.g3009.t1, scaffold16.g47.t1, scaffold7.g3432.t1, scaffold20.g7655.t1, scaffold3.g6691.t1
OG0000011	XP_005843098.1, XP_005843637.1	scaffold19.g1876.t1
OG0000011	XP_005842597.1	scaffold29.g5950.t1, scaffold3.g6663.t1, scaffold10.g2394.t1, scaffold5.g760.t1
OG0000011	XP_005844733.1	scaffold24.g2947.t1, scaffold10.g2309.t1, scaffold24.g2985.t1, scaffold20.g7743.t1, scaffold20.g7717.t1, scaffold6.g2703.t1, scaffold24.g2953.t1, scaffold20.g7808.t1, scaffold24.g2967.t1
OG0000015	XP_005843588.1, XP_005847339.1	scaffold1.g5297.t1
OG0000015	XP_005849910.1, XP_005848623.1, XP_005848827.1	scaffold14.g1028.t1, scaffold9.g3134.t1
OG0000019	XP_005845649.1	scaffold2.g6946.t1
OG0000021	XP_005845820.1, XP_005851655.1	scaffold4.g5023.t1, scaffold2.g7439.t1
OG0000021	XP_005846125.1, XP_005850397.1	scaffold10.g2361.t1
OG0000021	XP_005844764.1	scaffold34.g4499.t1, scaffold34.g4500.t1, scaffold26.g3343.t1
OG0000021	XP_005851970.1	scaffold11.g3886.t1, scaffold11.g3887.t1
OG0000022	XP_005844756.1	scaffold15.g4350.t1
OG0000022	XP_005847189.1, XP_005851357.1, XP_005844829.1, XP_005846080.1, XP_005846105.1, XP_005845948.1, XP_005845947.1, XP_005845945.1, XP_005845962.1, XP_005846074.1, XP_005845965.1, XP_005845963.1, XP_005846079.1, XP_005843455.1, XP_005845964.1, XP_005846078.1, XP_005846085.1, XP_005845946.1, XP_005846086.1, XP_005849194.1, XP_005847353.1	scaffold15.g4230.t1, scaffold25.g5131.t1
OG0000023	XP_005844521.1, XP_005848195.1, XP_005849248.1, XP_005851469.1, XP_005852265.1, XP_005844033.1, XP_005847991.1, XP_005843521.1, XP_005844034.1, XP_005843727.1, XP_005843197.1	scaffold2.g7134.t1
OG0000025	XP_005845715.1	scaffold2.g6952.t1
OG0000025	XP_005851635.1	scaffold2.g7449.t1
OG0000025	XP_005845876.1	scaffold4.g4783.t1
OG0000025	XP_005842791.1	scaffold16.g118.t1, scaffold23.g4092.t1
OG0000026	XP_005846834.1	scaffold21.g2183.t1
OG0000026	XP_005851991.1, XP_005850391.1, XP_005849172.1	scaffold14.g1127.t1, scaffold29.g5947.t1
OG0000026	XP_005845012.1	scaffold4.g4862.t1
OG0000031	XP_005851069.1	scaffold1.g5289.t1
OG0000031	XP_005843734.1	scaffold12.g8257.t1
OG0000031	XP_005848732.1	scaffold14.g1160.t1
OG0000033	XP_005845648.1	scaffold2.g6947.t1
OG0000033	XP_005846045.1	scaffold25.g5109.t1, scaffold2.g7252.t1
OG0000033	XP_005843386.1	scaffold20.g7840.t1, scaffold2.g7253.t1
OG0000034	XP_005847190.1	scaffold3.g6605.t1
OG0000037	XP_005851604.1	scaffold1.g5602.t1
OG0000037	XP_005851603.1	scaffold12.g8277.t1
OG0000037	XP_005846442.1	scaffold14.g1284.t1
OG0000040	XP_005843853.1	scaffold7.g3762.t1
OG0000043	XP_005843633.1, XP_005843100.1, XP_005842784.1	scaffold23.g4174.t1, scaffold318.g5142.t1, scaffold2.g7093.t1, scaffold9.g3314.t1, scaffold241.g5079.t1, scaffold2.g7123.t1, scaffold2.g7124.t1, scaffold14.g1186.t1
OG0000043	XP_005843536.1	scaffold2.g7122.t1, scaffold8.g1731.t1, scaffold6.g2495.t1
OG0000043	XP_005844315.1	scaffold27.g6006.t1, scaffold36.g5061.t1
OG0000044	XP_005843524.1, XP_005843312.1, XP_005843034.1, XP_005847924.1, XP_005847157.1, XP_005843495.1, XP_005847646.1	scaffold9.g3233.t1
OG0000045	XP_005844605.1	scaffold13.g353.t1
OG0000045	XP_005843816.1, XP_005844507.1	scaffold13.g346.t1
OG0000047	XP_005849706.1	scaffold14.g1178.t1
OG0000047	XP_005844087.1	scaffold2.g7380.t1
OG0000048	XP_005846468.1	scaffold1.g5727.t1
OG0000048	XP_005843537.1	scaffold14.g1322.t1
OG0000049	XP_005849431.1	scaffold25.g5108.t1
OG0000049	XP_005849226.1	scaffold25.g5122.t1
OG0000049	XP_005849436.1	scaffold25.g5120.t1, scaffold25.g5123.t1
