# BUSCO version is: 5.3.2 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Complete	PSC73537.1	4179.2	2008	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	PSC69084.1	2178.3	1174	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	PSC70212.1	2446.3	1594	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	PSC73488.1	2466.1	1427	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	PSC72540.1	1331.1	2225	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	PSC67998.1	1508.2	1398	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	PSC68726.1	1578.5	1008	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	PSC68918.1	1441.3	829	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	PSC67724.1	1663.0	910	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	PSC68910.1	1428.1	887	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	PSC73466.1	1799.0	1073	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Duplicated	PSC67588.1	4396.0	5034	https://www.orthodb.org/v10?query=117at3041	Midasin
117at3041	Duplicated	PSC67589.1	4395.6	4949	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	PSC68760.1	2593.3	2767	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	PSC75527.1	1630.6	1050	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	PSC75171.1	1156.3	687	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	PSC72562.1	1763.6	933	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	PSC71723.1	1621.1	938	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	PSC71277.1	1503.7	811	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Duplicated	PSC69544.1	1612.1	1003	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
144at3041	Duplicated	PSC69547.1	1612.0	1003	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
144at3041	Duplicated	PSC69546.1	1611.9	1003	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
144at3041	Duplicated	PSC69545.1	1606.4	1008	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	PSC71439.1	1068.9	623	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	PSC71455.1	1385.6	668	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	PSC76246.1	1071.3	788	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	PSC68247.1	1002.8	635	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	PSC67480.1	1368.1	703	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	PSC71149.1	1150.8	691	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	PSC71316.1	1345.8	815	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	PSC68711.1	1220.6	808	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	PSC72381.1	1284.1	800	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	PSC75595.1	2264.6	2248	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	PSC74395.1	1452.7	860	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	PSC74684.1	1177.2	604	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	PSC76972.1	840.5	933	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Duplicated	PSC76171.1	803.1	642	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
239at3041	Duplicated	PSC76172.1	803.1	642	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	PSC68559.1	1189.4	871	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	PSC75516.1	855.2	676	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	PSC72157.1	1338.4	1024	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	PSC72264.1	1328.2	765	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Duplicated	PSC72964.1	1395.3	780	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
290at3041	Duplicated	PSC72965.1	1395.3	780	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Complete	PSC68332.1	935.7	528	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Complete	PSC73885.1	882.7	560	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	PSC70049.1	1138.0	725	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Complete	PSC76713.1	1102.8	804	https://www.orthodb.org/v10?query=322at3041	Ribosome biogenesis protein BMS1
324at3041	Complete	PSC69609.1	1180.2	625	https://www.orthodb.org/v10?query=324at3041	ATP-dependent helicase, C-terminal
336at3041	Complete	PSC68167.1	1154.5	607	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
345at3041	Complete	PSC69213.1	1197.5	577	https://www.orthodb.org/v10?query=345at3041	Membrane AAA-metalloprotease
346at3041	Complete	PSC68878.1	1051.5	1210	https://www.orthodb.org/v10?query=346at3041	SMCs flexible hinge
363at3041	Complete	PSC67354.1	1216.8	700	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
366at3041	Duplicated	PSC71050.1	581.0	442	https://www.orthodb.org/v10?query=366at3041	predicted protein
366at3041	Duplicated	PSC71051.1	579.2	442	https://www.orthodb.org/v10?query=366at3041	predicted protein
381at3041	Complete	PSC71880.1	931.6	558	https://www.orthodb.org/v10?query=381at3041	NADH
388at3041	Complete	PSC76576.1	1142.4	628	https://www.orthodb.org/v10?query=388at3041	dynamin-related GTPase
391at3041	Complete	PSC72105.1	1004.7	631	https://www.orthodb.org/v10?query=391at3041	transcription-coupled DNA repair protein
406at3041	Complete	PSC72061.1	1017.0	573	https://www.orthodb.org/v10?query=406at3041	Transketolase
412at3041	Duplicated	PSC71080.1	949.0	493	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
412at3041	Duplicated	PSC71081.1	949.0	493	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
415at3041	Duplicated	PSC71021.1	580.5	425	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
415at3041	Duplicated	PSC71020.1	580.5	425	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
416at3041	Duplicated	PSC67241.1	741.0	389	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
416at3041	Duplicated	PSC67240.1	741.0	389	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
417at3041	Complete	PSC74648.1	889.2	695	https://www.orthodb.org/v10?query=417at3041	transportin
424at3041	Complete	PSC73303.1	1186.9	919	https://www.orthodb.org/v10?query=424at3041	DNA polymerase
425at3041	Complete	PSC72522.1	947.8	703	https://www.orthodb.org/v10?query=425at3041	Cation-transporting ATPase
427at3041	Complete	PSC67520.1	925.8	549	https://www.orthodb.org/v10?query=427at3041	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, atypical
433at3041	Complete	PSC72994.1	957.7	559	https://www.orthodb.org/v10?query=433at3041	DNA ligase
439at3041	Complete	PSC74142.1	1165.8	1104	https://www.orthodb.org/v10?query=439at3041	SMCs flexible hinge
440at3041	Complete	PSC74524.1	1239.1	901	https://www.orthodb.org/v10?query=440at3041	Importin beta
443at3041	Complete	PSC71147.1	633.0	761	https://www.orthodb.org/v10?query=443at3041	set domain protein
477at3041	Complete	PSC73140.1	848.5	511	https://www.orthodb.org/v10?query=477at3041	predicted protein
495at3041	Complete	PSC71481.1	1139.3	729	https://www.orthodb.org/v10?query=495at3041	Pre-mRNA-processing factor 6
505at3041	Complete	PSC74637.1	1045.6	537	https://www.orthodb.org/v10?query=505at3041	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
510at3041	Complete	PSC73643.1	837.5	448	https://www.orthodb.org/v10?query=510at3041	Importin subunit alpha
522at3041	Complete	PSC74602.1	887.3	661	https://www.orthodb.org/v10?query=522at3041	Eukaryotic translation initiation factor 3 subunit C
524at3041	Complete	PSC71004.1	678.7	490	https://www.orthodb.org/v10?query=524at3041	Sec1-like protein
534at3041	Complete	PSC71409.1	865.1	481	https://www.orthodb.org/v10?query=534at3041	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
550at3041	Duplicated	PSC68409.1	878.0	491	https://www.orthodb.org/v10?query=550at3041	Acetolactate synthase
550at3041	Duplicated	PSC68410.1	878.0	491	https://www.orthodb.org/v10?query=550at3041	Acetolactate synthase
561at3041	Complete	PSC68525.1	1015.0	522	https://www.orthodb.org/v10?query=561at3041	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
570at3041	Complete	PSC73344.1	1154.7	764	https://www.orthodb.org/v10?query=570at3041	26S proteasome non-ATPase regulatory subunit 1 homolog
581at3041	Complete	PSC73941.1	839.7	424	https://www.orthodb.org/v10?query=581at3041	Myo-inositol-1-phosphate synthase
587at3041	Complete	PSC72253.1	1037.3	703	https://www.orthodb.org/v10?query=587at3041	cellular apoptosis susceptibility protein
593at3041	Complete	PSC75519.1	592.8	385	https://www.orthodb.org/v10?query=593at3041	predicted protein
594at3041	Complete	PSC67247.1	984.1	562	https://www.orthodb.org/v10?query=594at3041	Peptidase S8/S53 domain
599at3041	Complete	PSC71300.1	709.6	430	https://www.orthodb.org/v10?query=599at3041	Starch synthase, chloroplastic/amyloplastic
