Orthogroup	oneline_A99_genome_proteins	oneline_m_conductrix_genome_proteins
OG0000001	scaffold15.g4297.t1	PSC70961.1, PSC70962.1
OG0000002	scaffold14.g1341.t1	PSC68659.1, PSC69379.1, PSC67600.1, PSC69326.1, PSC67744.1, PSC67759.1, PSC68713.1, PSC75096.1, PSC76225.1, PSC76226.1, PSC67713.1, PSC67207.1, PSC68653.1, PSC74416.1, PSC67044.1, PSC74555.1, PSC67725.1, PSC67019.1, PSC74768.1, PSC67580.1, PSC67599.1, PSC67063.1, PSC69623.1, PSC67710.1, PSC68225.1, PSC76734.1, PSC73936.1, PSC67030.1, PSC67709.1, PSC67010.1, PSC67032.1, PSC67003.1, PSC67636.1, PSC75692.1, PSC68535.1, PSC75691.1
OG0000004	scaffold7.g3512.t1, scaffold7.g3592.t1, scaffold7.g3568.t1, scaffold7.g3584.t1, scaffold12.g8225.t1, scaffold12.g8236.t1, scaffold7.g3602.t1, scaffold30.g4444.t1	PSC72335.1
OG0000005	scaffold5.g723.t1	PSC74167.1
OG0000006	scaffold16.g70.t1	PSC69436.1
OG0000008	scaffold7.g3601.t1	PSC71213.1
OG0000008	scaffold22.g6140.t1	PSC72347.1
OG0000008	scaffold7.g3582.t1	PSC72279.1, PSC71092.1
OG0000008	scaffold7.g3513.t1	PSC68363.1
OG0000008	scaffold12.g8226.t1	PSC72143.1
OG0000009	scaffold14.g1227.t1, scaffold7.g3554.t1, scaffold7.g3570.t1, scaffold7.g3600.t1, scaffold7.g3644.t1, scaffold7.g3593.t1	PSC72315.1, PSC72134.1, PSC71283.1, PSC68331.1, PSC68365.1, PSC72107.1, PSC72154.1, PSC71158.1, PSC71210.1, PSC72316.1, PSC72209.1
OG0000010	scaffold2.g6818.t1, scaffold9.g3010.t1, scaffold16.g46.t1, scaffold9.g3009.t1, scaffold16.g47.t1, scaffold7.g3432.t1, scaffold20.g7655.t1, scaffold3.g6691.t1	PSC71318.1, PSC76891.1, PSC68096.1, PSC75343.1, PSC72894.1, PSC72893.1, PSC73416.1, PSC75050.1, PSC68081.1
OG0000011	scaffold19.g1876.t1	PSC67610.1, PSC73305.1, PSC73306.1
OG0000011	scaffold24.g2947.t1, scaffold10.g2309.t1, scaffold24.g2985.t1, scaffold20.g7743.t1, scaffold20.g7717.t1, scaffold6.g2703.t1, scaffold24.g2953.t1, scaffold20.g7808.t1, scaffold24.g2967.t1	PSC67696.1
OG0000014	scaffold13.g355.t1	PSC75847.1
OG0000015	scaffold1.g5297.t1, scaffold14.g1028.t1, scaffold9.g3134.t1	PSC73768.1
OG0000019	scaffold2.g6946.t1	PSC74002.1
OG0000021	scaffold4.g5023.t1, scaffold2.g7439.t1	PSC70082.1
OG0000021	scaffold10.g2361.t1	PSC68117.1
